Player,Nation,Pos,Squad,Age,Born,MP,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Florian Wirtz\Florian-Wirtz,de GER,MF,Leverkusen,17-361,2003,26,1980,22,4,6,4,0,0,1,0,0.18,0.27,0.45,0.18,0.45,Matches
Axel Witsel\Axel-Witsel,be BEL,MF,Dortmund,32-107,1989,15,1130,12.6,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Hannes Wolf\Hannes-Wolf,at AUT,FWMF,M'Gladbach,22-013,1999,29,1243,13.8,3,1,3,0,0,0,0,0.22,0.07,0.29,0.22,0.29,Matches
Marius Wolf\Marius-Wolf,de GER,DFMF,Köln,25-337,1995,28,2389,26.5,2,2,2,0,0,3,0,0.08,0.08,0.15,0.08,0.15,Matches
Nick Woltemade\Nick-Woltemade,de GER,MFFW,Werder Bremen,19-074,2002,6,147,1.6,0,1,0,0,0,1,0,0,0.61,0.61,0,0.61,Matches
Jeong Woo-yeong\Jeong-Woo-yeong,kr KOR,FWMF,Freiburg,21-221,1999,23,775,8.6,3,0,3,0,0,0,0,0.35,0,0.35,0.35,0.35,Matches
Joscha Wosz\Joscha-Wosz,de GER,DFFW,RB Leipzig,18-283,2002,2,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Reinhold Yabo\Reinhold-Yabo,de GER,MFFW,Arminia,29-078,1992,13,647,7.2,1,0,1,0,0,1,0,0.14,0,0.14,0.14,0.14,Matches
Amin Younes\Amin-Younes,de GER,MFFW,Eint Frankfurt,27-266,1993,24,1299,14.4,3,2,3,0,0,5,0,0.21,0.14,0.35,0.21,0.35,Matches
Dan-Axel Zagadou\Dan-Axel-Zagadou,fr FRA,DF,Dortmund,21-330,1999,9,276,3.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Denis Zakaria\Denis-Zakaria,ch SUI,MFDF,M'Gladbach,24-160,1996,22,1226,13.6,1,1,1,0,0,3,0,0.07,0.07,0.15,0.07,0.15,Matches
Deyovaisio Zeefuik\Deyovaisio-Zeefuik,nl NED,DFMF,Hertha BSC,23-049,1998,18,772,8.6,1,0,1,0,0,4,1,0.12,0,0.12,0.12,0.12,Matches
Robin Zentner\Robin-Zentner,de GER,GK,Mainz 05,26-183,1994,29,2610,29,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Ron-Robert Zieler\Ron-Robert-Zieler,de GER,GK,Köln,32-076,1989,1,51,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Joshua Zirkzee\Joshua-Zirkzee,nl NED,FW,Bayern Munich,19-342,2001,3,92,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Steven Zuber\Steven-Zuber,ch SUI,DF,Eint Frankfurt,29-255,1991,17,497,5.5,0,3,0,0,0,1,0,0,0.54,0.54,0,0.54,Matches
