Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Ignazio Abate\Ignazio-Abate,it ITA,DF,Milan,31,1986,19,15,1302,14.5,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,30,1988,37,37,3309,36.8,3,1,3,0,0,4,1,0.08,0.03,0.11,0.08,0.11,Matches
Afriyie Acquah\Afriyie-Acquah,gh GHA,MF,Empoli,26,1992,28,19,1510,16.8,2,0,2,0,0,4,0,0.12,0,0.12,0.12,0.12,Matches
Claud Adjapong\Claud-Adjapong,it ITA,MFDF,Sassuolo,20,1998,5,3,270,3,1,0,1,0,0,1,0,0.33,0,0.33,0.33,0.33,Matches
Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,MFDF,Atalanta,24,1993,3,2,166,1.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu,gh GHA,MF,Udinese,27,1990,4,2,161,1.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ola Aina\Ola-Aina,ng NGA,DFMF,Torino,21,1996,30,22,2160,24,1,3,1,0,0,5,1,0.04,0.12,0.17,0.04,0.17,Matches
Luis Alberto\Luis-Alberto,es ESP,MFFW,Lazio,25,1992,27,25,1990,22.1,4,5,3,1,1,5,1,0.18,0.23,0.41,0.14,0.36,Matches
Raúl Albiol\Raul-Albiol,es ESP,DF,Napoli,32,1985,20,19,1713,19,1,0,1,0,0,4,0,0.05,0,0.05,0.05,0.05,Matches
Allan\Allan,br BRA,MF,Napoli,27,1991,33,28,2616,29.1,1,3,1,0,0,10,0,0.03,0.1,0.14,0.03,0.14,Matches
Bruno Alves\Bruno-Alves,pt POR,DF,Parma,36,1981,33,33,2922,32.5,4,1,4,0,0,9,1,0.12,0.03,0.15,0.12,0.15,Matches
Joachim Andersen\Joachim-Andersen,dk DEN,DF,Sampdoria,22,1996,32,32,2880,32,0,1,0,0,0,7,0,0,0.03,0.03,0,0.03,Matches
Marco Andreolli\Marco-Andreolli,it ITA,DF,Cagliari,32,1986,3,1,106,1.2,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Marco Andreolli\Marco-Andreolli,it ITA,DF,Chievo,32,1986,8,7,646,7.2,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DFMF,Torino,31,1986,24,23,1807,20.1,3,2,3,0,0,3,0,0.15,0.1,0.25,0.15,0.25,Matches
Mirco Antenucci\Mirco-Antenucci,it ITA,FW,SPAL,33,1984,35,22,2133,23.7,5,0,4,1,2,0,0,0.21,0,0.21,0.17,0.17,Matches
Luca Antonelli\Luca-Antonelli,it ITA,DFMF,Empoli,31,1987,13,10,755,8.4,0,1,0,0,0,1,0,0,0.12,0.12,0,0.12,Matches
Mauro Antonio Burruchaga\Mauro-Antonio-Burruchaga,ar ARG,MF,Chievo,20,1998,1,0,58,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Joaquín Ardaiz\Joaquin-Ardaiz,uy URU,FW,Frosinone,19,1999,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Lorenzo Ariaudo\Lorenzo-Ariaudo,it ITA,DF,Frosinone,29,1989,19,19,1682,18.7,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Nicolò Armini\Nicolo-Armini,it ITA,DF,Lazio,17,2001,1,0,38,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DF,Inter,29,1988,32,30,2671,29.7,0,1,0,0,0,6,0,0,0.03,0.03,0,0.03,Matches
Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,21,1997,36,36,3240,36,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Khouma Babacar\Khouma-Babacar,sn SEN,FW,Sassuolo,25,1993,29,16,1488,16.5,7,2,5,2,2,0,0,0.42,0.12,0.54,0.3,0.42,Matches
Milan Badelj\Milan-Badelj,hr CRO,MF,Lazio,29,1989,23,14,1141,12.7,1,0,1,0,0,6,0,0.08,0,0.08,0.08,0.08,Matches
Tiemoué Bakayoko\Tiemoue-Bakayoko,fr FRA,MF,Milan,23,1994,31,26,2301,25.6,1,1,1,0,0,6,1,0.04,0.04,0.08,0.04,0.08,Matches
Keita Baldé\Keita-Balde,sn SEN,FWMF,Inter,23,1995,24,8,889,9.9,5,2,5,0,0,2,1,0.51,0.2,0.71,0.51,0.71,Matches
Andrija Bali?\Andrija-Balic,hr CRO,FWMF,Udinese,20,1997,4,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mattia Bani\Mattia-Bani,it ITA,DF,Chievo,24,1993,30,29,2610,29,0,0,0,0,0,8,1,0,0,0,0,0,Matches
Antonín Barák\Antonin-Barak,cz CZE,MFFW,Udinese,23,1994,8,4,329,3.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Federico Barba\Federico-Barba,it ITA,DF,Chievo,24,1993,30,29,2483,27.6,0,0,0,0,0,6,2,0,0,0,0,0,Matches
Francesco Bardi\Francesco-Bardi,it ITA,GK,Frosinone,26,1992,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Nicolò Barella\Nicolo-Barella,it ITA,MFFW,Cagliari,21,1997,35,35,3107,34.5,1,3,1,0,1,10,2,0.03,0.09,0.12,0.03,0.12,Matches
Antonino Barillà\Antonino-Barilla,it ITA,MF,Parma,30,1988,31,30,2618,29.1,3,2,3,0,0,10,0,0.1,0.07,0.17,0.1,0.17,Matches
Édgar Barreto\Edgar-Barreto,py PAR,MF,Sampdoria,34,1984,12,9,785,8.7,0,2,0,0,0,2,0,0,0.23,0.23,0,0.23,Matches
