Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Lorenzo Insigne\Lorenzo-Insigne,it ITA,FWMF,Napoli,27,1991,23,6,1,0,7,17,18,39,9,5,0,0,0,109,2,9,18.2,Matches
Artur Ioni??\Artur-Ionita,md MDA,MF,Cagliari,27,1990,33,4,1,0,68,15,2,21,23,50,1,0,0,256,78,67,53.8,Matches
Armando Izzo\Armando-Izzo,it ITA,DF,Torino,26,1992,36.3,6,0,0,56,61,2,17,71,63,1,0,0,486,103,37,73.6,Matches
Jandrei\Jandrei,br BRA,GK,Genoa,25,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
Marko Jankovi?\Marko-Jankovic,me MNE,MFDF,SPAL,23,1995,0.6,1,0,0,3,4,0,1,0,2,0,0,0,4,0,2,0,Matches
Jakub Jankto\Jakub-Jankto,cz CZE,MF,Sampdoria,22,1996,10.7,2,0,0,9,6,0,29,6,5,0,0,0,90,5,9,35.7,Matches
Pawe? Jaroszy?ski\Pawel-Jaroszynski,pl POL,DFMF,Chievo,23,1994,15,2,0,0,20,18,0,49,18,27,0,0,0,131,16,10,61.5,Matches
Juan Jesus\Juan-Jesus,br BRA,DF,Roma,27,1991,15.6,4,0,0,18,9,0,0,14,24,0,1,1,136,16,16,50,Matches
Bruno Jordão\Bruno-Jordao,pt POR,MF,Lazio,19,1998,1,0,0,0,2,0,1,1,1,2,0,0,0,7,2,2,50,Matches
Hamed Junior Traorè\Hamed-Junior-Traore,ci CIV,MF,Empoli,18,2000,25.1,4,0,0,39,24,7,17,30,43,0,0,0,205,11,35,23.9,Matches
Musa Juwara\Musa-Juwara,gm GAM,FW,Chievo,16,2001,0.1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,Matches
Yann Karamoh\Yann-Karamoh,fr FRA,MF,Inter,20,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Ibrahim Karamoko\Ibrahim-Karamoko,fr FRA,MF,Chievo,17,2001,0.7,0,0,0,4,0,0,2,0,1,0,0,0,6,1,0,100,Matches
Orestis Karnezis\Orestis-Karnezis,gr GRE,GK,Napoli,33,1985,9,0,0,0,0,1,0,0,0,0,0,0,0,43,0,0,,Matches
Rick Karsdorp\Rick-Karsdorp,nl NED,DF,Roma,23,1995,6.6,1,0,0,5,2,0,23,6,5,0,0,0,74,2,6,25,Matches
Grigoris Kastanos\Grigoris-Kastanos,cy CYP,MF,Juventus,20,1998,0.7,0,0,0,1,2,0,0,2,1,0,0,0,3,0,1,0,Matches
Moise Kean\Moise-Kean,it ITA,FW,Juventus,18,2000,6,2,0,0,9,6,3,1,3,1,1,0,0,27,4,3,57.1,Matches
Franck Kessié\Franck-Kessie,ci CIV,MF,Milan,21,1996,33.5,8,0,0,47,32,3,28,27,50,0,1,0,289,29,29,50,Matches
Sami Khedira\Sami-Khedira,de GER,MF,Juventus,31,1987,7.8,0,0,0,5,5,0,10,5,8,0,0,0,58,5,1,83.3,Matches
Sofian Kiyine\Sofian-Kiyine,ma MAR,MFDF,Chievo,20,1997,9.1,7,0,0,32,12,0,22,9,22,0,0,0,59,11,13,45.8,Matches
Ragnar Klavan\Ragnar-Klavan,ee EST,DF,Cagliari,32,1985,13.7,2,0,0,7,4,0,2,3,8,0,0,0,137,24,16,60,Matches
Justin Kluivert\Justin-Kluivert,nl NED,FW,Roma,19,1999,14.9,2,0,0,25,22,2,51,4,19,0,0,0,97,9,11,45,Matches
Aleksandar Kolarov\Aleksandar-Kolarov,rs SRB,DF,Roma,32,1985,32.3,7,1,1,28,39,1,118,34,27,0,1,0,303,28,20,58.3,Matches
Christian Kouamé\Christian-Kouame,ci CIV,FWMF,Genoa,20,1997,34.1,4,0,0,37,82,18,36,25,25,0,0,0,190,160,155,50.8,Matches
Kalidou Koulibaly\Kalidou-Koulibaly,sn SEN,DF,Napoli,27,1991,34.8,10,1,1,49,20,1,4,20,39,0,1,0,402,77,35,68.8,Matches
Dawid Kownacki\Dawid-Kownacki,pl POL,FW,Sampdoria,21,1997,1.9,0,0,0,3,2,1,4,0,1,1,0,0,11,2,4,33.3,Matches
Luka Krajnc\Luka-Krajnc,si SVN,DF,Frosinone,23,1994,8.8,3,0,0,5,4,0,2,2,10,0,0,0,68,13,6,68.4,Matches
Ladislav Krej?í\Ladislav-Krejci,cz CZE,MFDF,Bologna,26,1992,11.8,2,0,0,13,12,3,25,5,6,0,0,0,78,5,25,16.7,Matches
Rade Kruni?\Rade-Krunic,ba BIH,MF,Empoli,24,1993,30.8,7,1,0,48,76,0,28,15,28,0,0,0,242,44,63,41.1,Matches
Juraj Kucka\Juraj-Kucka,sk SVK,MF,Parma,31,1987,17.1,5,1,1,42,27,1,14,20,41,0,0,0,139,69,44,61.1,Matches
Dejan Kulusevski\Dejan-Kulusevski,se SWE,DFMF,Atalanta,18,2000,1.2,0,0,0,4,1,0,2,0,2,0,0,0,3,1,4,20,Matches
Jasmin Kurti?\Jasmin-Kurtic,si SVN,MF,SPAL,29,1989,28.4,9,0,0,36,55,1,65,22,16,0,0,0,176,51,54,48.6,Matches
Antonino La Gumina\Antonino-La-Gumina,it ITA,FW,Empoli,22,1996,12.1,1,0,0,17,21,20,3,7,8,1,0,0,34,8,24,25,Matches
Alban Lafont\Alban-Lafont,fr FRA,GK,Fiorentina,19,1999,33.5,2,0,0,0,8,0,0,0,0,0,0,1,174,0,0,,Matches
Abdou Lahat Diakhate\Abdou-Lahat-Diakhate,sn SEN,FW,Parma,19,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Gianluca Lapadula\Gianluca-Lapadula,pe PER,FWMF,Genoa,28,1990,4.5,1,0,0,16,9,10,3,0,4,0,0,0,27,18,31,36.7,Matches
Danilo Larangeira\Danilo-Larangeira,br BRA,DF,Bologna,34,1984,34.2,4,0,0,25,20,4,5,20,17,0,0,0,365,90,44,67.2,Matches
Kevin Lasagna\Kevin-Lasagna,it ITA,FW,Udinese,25,1992,27.3,2,0,0,33,35,23,20,12,7,4,0,0,119,68,87,43.9,Matches
Vincent Laurini\Vincent-Laurini,fr FRA,DF,Fiorentina,29,1989,10.2,4,0,0,16,21,0,26,10,19,0,0,0,102,13,11,54.2,Matches
Diego Laxalt\Diego-Laxalt,uy URU,DFMF,Milan,25,1993,7.2,2,0,0,17,6,0,21,3,19,0,0,0,70,3,9,25,Matches
Darko Lazovi?\Darko-Lazovic,rs SRB,MFDF,Genoa,27,1990,28.2,2,0,0,15,14,3,104,10,15,0,0,0,220,13,16,44.8,Matches
Manuel Lazzari\Manuel-Lazzari,it ITA,MFDF,SPAL,24,1993,31.5,7,0,0,31,63,0,173,15,21,1,0,0,211,6,16,27.3,Matches
Lucas Leiva\Lucas-Leiva,br BRA,MF,Lazio,31,1987,22.1,7,0,0,45,22,2,12,43,59,0,0,0,323,34,18,65.4,Matches
Mauricio Lemos\Mauricio-Lemos,uy URU,DF,Sassuolo,22,1995,2,0,0,0,2,1,0,0,0,1,0,0,0,16,3,1,75,Matches
Lukas Lerager\Lukas-Lerager,dk DEN,MF,Genoa,25,1993,12.5,4,0,0,27,22,1,14,16,28,0,0,0,123,22,22,50,Matches
Mehdi Léris\Mehdi-Leris,fr FRA,MFFW,Chievo,20,1998,17.9,5,0,0,42,15,1,32,33,37,0,0,0,165,26,29,47.3,Matches
Karol Linetty\Karol-Linetty,pl POL,MF,Sampdoria,23,1995,27.9,11,0,0,45,52,1,19,15,49,0,0,0,246,19,30,38.8,Matches
Pol Lirola\Pol-Lirola,es ESP,DFMF,Sassuolo,20,1997,33.1,2,0,0,17,11,3,119,23,24,0,0,2,284,12,22,35.3,Matches
Adem Ljaji?\Adem-Ljajic,rs SRB,FW,Torino,26,1991,0.3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,Matches
