Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Aymen Abdennour\Aymen-Abdennour,tn TUN,DF,Marseille,27,1989,8,6,500,5.6,0,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02,Matches
2,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Dijon,24,1992,19,14,1176,13.1,0,1,0,0,0,2,0,0,0.08,0.08,0,0.08,1,1,0.2,1.2,0.08,0.02,0.09,0.08,0.09,Matches
3,Khaled Adénon\Khaled-Adenon,bj BEN,DF,Amiens,32,1985,34,32,2921,32.5,0,1,0,0,0,9,0,0,0.03,0.03,0,0.03,0.5,0.5,0.3,0.8,0.02,0.01,0.03,0.02,0.03,Matches
4,Ruben Aguilar\Ruben-Aguilar,fr FRA,DFMF,Montpellier,24,1993,31,27,2459,27.3,0,3,0,0,0,2,0,0,0.11,0.11,0,0.11,0.7,0.7,2.6,3.3,0.03,0.09,0.12,0.03,0.12,Matches
5,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Strasbourg,23,1994,35,35,3006,33.4,5,0,5,0,0,4,0,0.15,0,0.15,0.15,0.15,2.9,2.9,0.6,3.6,0.09,0.02,0.11,0.09,0.11,Matches
6,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Caen,21,1996,27,25,2048,22.8,0,0,0,0,0,4,0,0,0,0,0,0,0.7,0.7,1.1,1.8,0.03,0.05,0.08,0.03,0.08,Matches
7,David Alcibiade\David-Alcibiade,fr FRA,DF,Nantes,25,1991,3,2,208,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.03,0.08,0.1,0.03,0.1,Matches
8,Júnior Alonso\Junior-Alonso,py PAR,DF,Lille,24,1993,34,30,2782,30.9,2,0,2,0,0,3,0,0.06,0,0.06,0.06,0.06,0.9,0.9,0.5,1.4,0.03,0.02,0.05,0.03,0.05,Matches
9,Dani Alves\Dani-Alves,br BRA,DF,Paris S-G,34,1983,25,23,2065,22.9,1,4,1,0,0,7,1,0.04,0.17,0.22,0.04,0.22,1.4,1.4,5.6,7,0.06,0.25,0.31,0.06,0.31,Matches
10,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MFDF,Lille,24,1993,30,30,2405,26.7,0,0,0,0,0,3,0,0,0,0,0,0,1.1,1.1,0.5,1.6,0.04,0.02,0.06,0.04,0.06,Matches
11,Morgan Amalfitano\Morgan-Amalfitano,fr FRA,MF,Rennes,32,1985,14,10,747,8.3,0,0,0,0,0,2,3,0,0,0,0,0,1.1,1.1,0.5,1.6,0.13,0.06,0.19,0.13,0.19,Matches
12,Romain Amalfitano\Romain-Amalfitano,fr FRA,MF,Dijon,27,1989,33,31,2703,30,0,1,0,0,0,5,0,0,0.03,0.03,0,0.03,0.4,0.4,2,2.4,0.01,0.07,0.08,0.01,0.08,Matches
13,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,23,1994,27,24,2193,24.4,0,3,0,0,0,7,0,0,0.12,0.12,0,0.12,0.5,0.5,1.4,1.9,0.02,0.06,0.08,0.02,0.08,Matches
14,Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,19,1998,36,35,3154,35,1,1,1,0,0,3,1,0.03,0.03,0.06,0.03,0.06,0.9,0.9,1,1.9,0.03,0.03,0.05,0.03,0.05,Matches
15,Benjamin André\Benjamin-Andre,fr FRA,MF,Rennes,26,1990,34,34,3012,33.5,3,2,3,0,0,11,2,0.09,0.06,0.15,0.09,0.15,3.7,3.7,1.7,5.4,0.11,0.05,0.16,0.11,0.16,Matches
16,Yoann Andreu\Yoann-Andreu,fr FRA,DF,Angers,28,1989,23,23,2070,23,1,2,1,0,0,4,0,0.04,0.09,0.13,0.04,0.13,0.2,0.2,1.8,2.1,0.01,0.08,0.09,0.01,0.09,Matches
17,Houssem Aouar\Houssem-Aouar,fr FRA,MFFW,Lyon,19,1998,32,27,2430,27,6,4,6,0,0,1,0,0.22,0.15,0.37,0.22,0.37,5.6,5.6,3.9,9.5,0.21,0.14,0.35,0.21,0.35,Matches
18,Luiz Araújo\Luiz-Araujo,br BRA,FWMF,Lille,21,1996,34,24,2017,22.4,5,2,5,0,0,5,0,0.22,0.09,0.31,0.22,0.31,3.8,3.8,2.3,6,0.17,0.1,0.27,0.17,0.27,Matches
19,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,24,1993,34,34,3060,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
20,Yoël Armougom\Yoel-Armougom,fr FRA,MFDF,Caen,19,1998,4,1,139,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
21,Benoît Assou-Ekotto\Benoit-Assou-Ekotto,cm CMR,DF,Metz,33,1984,13,13,1053,11.7,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0.3,0.4,0,0.03,0.03,0,0.03,Matches
22,Danilo Avelar\Danilo-Avelar,br BRA,DFFW,Amiens,28,1989,21,20,1727,19.2,1,0,1,0,0,2,0,0.05,0,0.05,0.05,0.05,0.4,0.4,1.9,2.4,0.02,0.1,0.12,0.02,0.12,Matches
23,Durel Avounou\Durel-Avounou,cg CGO,MFDF,Caen,19,1997,9,8,651,7.2,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0.7,1,0.05,0.09,0.14,0.05,0.14,Matches
24,Chidozie Awaziem\Chidozie-Awaziem,ng NGA,DF,Nantes,20,1997,22,16,1512,16.8,1,0,1,0,0,2,1,0.06,0,0.06,0.06,0.06,0.8,0.8,0.2,1,0.05,0.01,0.06,0.05,0.06,Matches
25,Karim Azamoum\Karim-Azamoum,fr FRA,MF,Troyes,27,1990,30,26,2278,25.3,1,0,1,0,0,5,1,0.04,0,0.04,0.04,0.04,1.4,1.4,2,3.4,0.05,0.08,0.13,0.05,0.13,Matches
26,Ludovic Baal\Ludovic-Baal,gf GUF,DF,Rennes,31,1986,17,14,1159,12.9,0,1,0,0,0,0,0,0,0.08,0.08,0,0.08,0,0,0.6,0.6,0,0.05,0.05,0,0.05,Matches
