Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Leonardo Ulloa\Leonardo-Ulloa,ar ARG,FW,Leicester City,31,1986,4,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0.11,0.11,0.11,Matches
Leonardo Ulloa\Leonardo-Ulloa,ar ARG,FW,Brighton,31,1986,10,2,267,3,1,0,1,0,0,0,0,0.34,0,0.34,0.34,0.34,0.4,0.4,0.3,0.7,0.15,0.09,0.23,0.15,0.23,Matches
Antonio Valencia\Antonio-Valencia,ec ECU,DF,Manchester Utd,31,1985,31,31,2740,30.4,3,1,3,0,0,7,0,0.1,0.03,0.13,0.1,0.13,0.5,0.5,1.8,2.3,0.02,0.06,0.07,0.02,0.07,Matches
Jamie Vardy\Jamie-Vardy,eng ENG,FW,Leicester City,30,1987,37,37,3247,36.1,20,1,15,5,6,3,0,0.55,0.03,0.58,0.42,0.44,15.7,11.1,2.7,13.8,0.43,0.07,0.51,0.31,0.38,Matches
Jan Vertonghen\Jan-Vertonghen,be BEL,DF,Tottenham,30,1987,36,36,3203,35.6,0,0,0,0,0,4,0,0,0,0,0,0,0.9,0.9,0.9,1.8,0.03,0.03,0.05,0.03,0.05,Matches
Nikola Vlaši?\Nikola-Vlasic,hr CRO,FWMF,Everton,19,1997,12,7,576,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.6,1,0.07,0.1,0.16,0.07,0.16,Matches
Sam Vokes\Sam-Vokes,wal WAL,FW,Burnley,27,1989,30,7,998,11.1,4,1,4,0,0,3,0,0.36,0.09,0.45,0.36,0.45,3.3,3.3,0.7,4,0.3,0.06,0.36,0.3,0.36,Matches
Michel Vorm\Michel-Vorm,nl NED,GK,Tottenham,33,1983,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Molla Wagué\Molla-Wague,ml MLI,DF,Watford,26,1991,6,5,438,4.9,1,0,1,0,0,0,0,0.21,0,0.21,0.21,0.21,0.8,0.8,0,0.8,0.17,0,0.17,0.17,0.17,Matches
Theo Walcott\Theo-Walcott,eng ENG,FWMF,Everton,28,1989,14,13,1152,12.8,3,3,3,0,0,2,0,0.23,0.23,0.47,0.23,0.47,3,3,1.6,4.6,0.23,0.12,0.36,0.23,0.36,Matches
Theo Walcott\Theo-Walcott,eng ENG,MFFW,Arsenal,28,1989,6,0,69,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Kyle Walker\Kyle-Walker,eng ENG,DF,Manchester City,27,1990,32,32,2785,30.9,0,6,0,0,0,3,2,0,0.19,0.19,0,0.19,0.8,0.8,4.7,5.6,0.03,0.15,0.18,0.03,0.18,Matches
Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Tottenham,20,1997,3,2,189,2.1,0,2,0,0,0,0,0,0,0.95,0.95,0,0.95,0,0,1.5,1.5,0,0.71,0.71,0,0.71,Matches
Jonathan Walters\Jonathan-Walters,ie IRL,FW,Burnley,33,1983,3,0,39,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.38,0,0.38,0.38,0.38,Matches
Aaron Wan-Bissaka\Aaron-Wan-Bissaka,eng ENG,DF,Crystal Palace,19,1997,7,7,627,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4,0.4,0,0.06,0.06,0,0.06,Matches
Victor Wanyama\Victor-Wanyama,ke KEN,MF,Tottenham,26,1991,18,8,846,9.4,1,0,1,0,0,2,0,0.11,0,0.11,0.11,0.11,0.5,0.5,0.1,0.6,0.05,0.01,0.06,0.05,0.06,Matches
Joel Ward\Joel-Ward,eng ENG,DF,Crystal Palace,27,1989,19,19,1613,17.9,0,1,0,0,0,4,0,0,0.06,0.06,0,0.06,0.3,0.3,1.2,1.5,0.02,0.06,0.08,0.02,0.08,Matches
Stephen Ward\Stephen-Ward,ie IRL,DF,Burnley,31,1985,28,28,2460,27.3,1,1,1,0,0,1,0,0.04,0.04,0.07,0.04,0.07,0.3,0.3,2.1,2.4,0.01,0.08,0.09,0.01,0.09,Matches
James Ward-Prowse\James-Ward-Prowse,eng ENG,FWMF,Southampton,22,1994,30,20,1716,19.1,3,3,3,0,0,3,0,0.16,0.16,0.31,0.16,0.31,2.1,2.1,2.8,5,0.11,0.15,0.26,0.11,0.26,Matches
