Rk,Squad,GF,GA,GD,Pts,Attendance
1,Atlético Madrid,60,22,38,73,
2,Real Madrid,56,24,32,71,
3,Barcelona,76,29,47,71,
4,Sevilla,49,26,23,70,
5,Real Sociedad,51,34,17,53,
6,Betis,42,45,-3,50,
7,Villarreal,50,38,12,49,
8,Granada,41,53,-12,42,
9,Athletic Club,43,36,7,42,
10,Celta Vigo,44,51,-7,41,
11,Osasuna,31,39,-8,40,
12,Levante,38,46,-8,38,
13,Cádiz,28,49,-21,37,
14,Valencia,41,48,-7,36,
15,Getafe,26,39,-13,34,
16,Alavés,28,49,-21,31,
17,Valladolid,31,45,-14,30,
18,Elche,29,49,-20,30,
19,Huesca,31,50,-19,27,
20,Eibar,23,46,-23,23,
