Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,29-105,1992,19,12,1052,11.7,1,1,1,0,0,3,0,0.09,0.09,0.17,0.09,0.17,Matches
Rhian Brewster\Rhian-Brewster,eng ENG,FW,Sheffield Utd,21-028,2000,24,11,1047,11.6,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Nathan Broadhead\Nathan-Broadhead,wal WAL,MF,Everton,23-024,1998,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,25-131,1995,28,27,2408,26.8,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Joe Bryan\Joe-Bryan,eng ENG,DFFW,Fulham,27-224,1993,13,5,475,5.3,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Kean Bryan\Kean-Bryan,eng ENG,DF,Sheffield Utd,24-179,1996,12,11,925,10.3,1,0,1,0,0,1,0,0.1,0,0.1,0.1,0.1,Matches
Oliver Burke\Oliver-Burke,sco SCO,FW,Sheffield Utd,24-022,1997,23,13,1160,12.9,1,1,1,0,0,2,0,0.08,0.08,0.16,0.08,0.16,Matches
Dan Burn\Dan-Burn,eng ENG,DF,Brighton,28-355,1992,22,18,1611,17.9,0,0,0,0,0,5,0,0,0,0,0,0,Matches
David Button\David-Button,eng ENG,GK,West Brom,32-061,1989,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Oskar Buur\Oskar-Buur,dk DEN,DF,Wolves,23-029,1998,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,39-213,1981,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,35-131,1985,16,16,1440,16,1,0,1,0,0,3,0,0.06,0,0.06,0.06,0.06,Matches
Tom Cairney\Tom-Cairney,sco SCO,MF,Fulham,30-099,1991,10,9,759,8.4,1,1,1,0,0,2,0,0.12,0.12,0.24,0.12,0.24,Matches
Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,24-044,1997,27,26,2331,25.9,14,0,14,0,0,3,0,0.54,0,0.54,0.54,0.54,Matches
João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,26-337,1994,24,23,2037,22.6,1,3,1,0,0,4,0,0.04,0.13,0.18,0.04,0.18,Matches
Ian Carlo Poveda\Ian-Carlo-Poveda,eng ENG,MFDF,Leeds United,21-079,2000,12,0,300,3.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,32-113,1989,17,4,386,4.3,1,0,1,0,0,1,0,0.23,0,0.23,0.23,0.23,Matches
Matty Cash\Matty-Cash,eng ENG,DF,Aston Villa,23-265,1997,25,25,2148,23.9,0,2,0,0,0,8,1,0,0.08,0.08,0,0.08,Matches
Kiko Casilla\Kiko-Casilla,es ESP,GK,Leeds United,34-209,1986,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Timothy Castagne\Timothy-Castagne,be BEL,DF,Leicester City,25-145,1995,22,22,1895,21.1,2,3,2,0,0,1,0,0.09,0.14,0.24,0.09,0.24,Matches
Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,27-057,1994,7,7,495,5.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Fulham,27-193,1993,31,22,2035,22.6,3,0,2,1,2,2,0,0.13,0,0.13,0.09,0.09,Matches
Edinson Cavani\Edinson-Cavani,uy URU,FW,Manchester Utd,34-074,1987,22,11,1148,12.8,8,2,8,0,0,3,0,0.63,0.16,0.78,0.63,0.78,Matches
Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,24-265,1996,23,15,1450,16.1,0,3,0,0,0,3,0,0,0.19,0.19,0,0.19,Matches
Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,26-099,1995,5,5,442,4.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ben Chilwell\Ben-Chilwell,eng ENG,DF,Chelsea,24-129,1996,23,23,1936,21.5,2,5,2,0,0,3,0,0.09,0.23,0.33,0.09,0.33,Matches
Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,23-210,1997,9,4,305,3.4,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,25-019,1996,15,13,1237,13.7,0,0,0,0,0,2,1,0,0,0,0,0,Matches
Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,31-215,1989,21,20,1808,20.1,1,0,1,0,0,3,0,0.05,0,0.05,0.05,0.05,Matches
Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Crystal Palace,30-024,1991,13,13,1145,12.7,0,1,0,0,0,2,0,0,0.08,0.08,0,0.08,Matches
Conor Coady\Conor-Coady,eng ENG,DF,Wolves,28-063,1993,32,32,2853,31.7,1,0,1,0,0,4,0,0.03,0,0.03,0.03,0.03,Matches
Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,32-200,1988,20,13,1188,13.2,0,3,0,0,0,0,0,0,0.23,0.23,0,0.23,Matches
Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,21-091,2000,16,9,746,8.3,2,1,2,0,0,0,0,0.24,0.12,0.36,0.24,0.36,Matches
Liam Cooper\Liam-Cooper,sco SCO,DF,Leeds United,29-242,1991,23,23,2005,22.3,1,0,1,0,0,3,1,0.04,0,0.04,0.04,0.04,Matches
Jack Cork\Jack-Cork,eng ENG,MF,Burnley,31-308,1989,11,10,915,10.2,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Hélder Costa\Helder-Costa,pt POR,MFFW,Leeds United,27-107,1994,22,13,1156,12.8,3,3,3,0,0,0,0,0.23,0.23,0.47,0.23,0.47,Matches
Vladimír Coufal\Vladimir-Coufal,cz CZE,DF,West Ham,28-250,1992,29,29,2604,28.9,0,5,0,0,0,3,0,0,0.17,0.17,0,0.17,Matches
Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,31-135,1989,31,31,2752,30.6,0,7,0,0,0,3,0,0,0.23,0.23,0,0.23,Matches
Patrick Cutrone\Patrick-Cutrone,it ITA,FWMF,Wolves,23-116,1998,2,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Stuart Dallas\Stuart-Dallas,nir NIR,DFMF,Leeds United,30-010,1991,33,33,2959,32.9,7,2,7,0,0,6,0,0.21,0.06,0.27,0.21,0.27,Matches
Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,34-074,1987,13,13,1170,13,1,0,1,0,0,1,0,0.08,0,0.08,0.08,0.08,Matches
Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,30-203,1990,25,25,2250,25,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,28-005,1993,20,14,1346,15,0,1,0,0,0,1,0,0,0.07,0.07,0,0.07,Matches
Tom Davies\Tom-Davies,eng ENG,MF,Everton,22-303,1998,22,15,1234,13.7,0,1,0,0,0,3,0,0,0.07,0.07,0,0.07,Matches
Keinan Davis\Keinan-Davis,eng ENG,FWMF,Aston Villa,23-075,1998,11,0,166,1.8,1,1,1,0,0,0,0,0.54,0.54,1.08,0.54,1.08,Matches
Leif Davis\Leif-Davis,eng ENG,DF,Leeds United,21-107,2000,2,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Craig Dawson\Craig-Dawson,eng ENG,DF,West Ham,30-358,1990,17,17,1475,16.4,3,0,3,0,0,3,1,0.18,0,0.18,0.18,0.18,Matches
Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,29-305,1991,24,22,1907,21.2,5,11,3,2,3,1,0,0.24,0.52,0.76,0.14,0.66,Matches
Liam Delap\Liam-Delap,eng ENG,FW,Manchester City,18-080,2003,1,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Fabian Delph\Fabian-Delph,eng ENG,MFDF,Everton,31-159,1989,6,2,239,2.7,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,26-014,1995,28,25,2239,24.9,1,0,1,0,0,3,0,0.04,0,0.04,0.04,0.04,Matches
Mbaye Diagne\Mbaye-Diagne,sn SEN,FW,West Brom,29-183,1991,13,12,1042,11.6,2,2,2,0,0,2,0,0.17,0.17,0.35,0.17,0.35,Matches
Ibrahima Diallo\Ibrahima-Diallo,fr FRA,MF,Southampton,22-052,1999,17,9,864,9.6,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Grady Diangana\Grady-Diangana,eng ENG,MFFW,West Brom,23-010,1998,16,14,1088,12.1,1,0,1,0,0,0,0,0.08,0,0.08,0.08,0.08,Matches
Raphael Dias Belloli\Raphael-Dias-Belloli,br BRA,MF,Leeds United,24-136,1996,26,23,2067,23,6,6,6,0,0,3,0,0.26,0.26,0.52,0.26,0.52,Matches
Rúben Dias\Ruben-Dias,pt POR,DF,Manchester City,23-350,1997,29,29,2573,28.6,1,0,1,0,0,3,0,0.03,0,0.03,0.03,0.03,Matches
Eric Dier\Eric-Dier,eng ENG,DF,Tottenham,27-104,1994,24,24,2160,24,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Lucas Digne\Lucas-Digne,fr FRA,DFMF,Everton,27-283,1993,24,24,2141,23.8,0,6,0,0,0,2,1,0,0.25,0.25,0,0.25,Matches
Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,29-295,1991,5,5,370,4.1,1,0,1,0,0,1,0,0.24,0,0.24,0.24,0.24,Matches
Issa Diop\Issa-Diop,fr FRA,DF,West Ham,24-110,1997,14,13,1198,13.3,2,0,2,0,0,3,0,0.15,0,0.15,0.15,0.15,Matches
Moussa Djenepo\Moussa-Djenepo,ml MLI,MF,Southampton,22-318,1998,25,14,1138,12.6,1,0,1,0,0,5,0,0.08,0,0.08,0.08,0.08,Matches
Matt Doherty\Matt-Doherty,ie IRL,DF,Tottenham,29-103,1992,15,12,1142,12.7,0,2,0,0,0,4,1,0,0.16,0.16,0,0.16,Matches
Gabriel Dos Santos\Gabriel-Dos-Santos,br BRA,DF,Arsenal,23-131,1997,18,17,1546,17.2,2,0,2,0,0,4,1,0.12,0,0.12,0.12,0.12,Matches
Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Everton,28-118,1993,25,25,2131,23.7,2,3,2,0,0,6,0,0.08,0.13,0.21,0.08,0.21,Matches
Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,32-104,1989,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,29-215,1991,10,9,805,8.9,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,29-159,1991,30,30,2699,30,4,0,4,0,0,5,1,0.13,0,0.13,0.13,0.13,Matches
Jimmy Dunne\Jimmy-Dunne,ie IRL,DF,Burnley,23-192,1997,2,2,180,2,1,0,1,0,0,0,0,0.5,0,0.5,0.5,0.5,Matches
Ederson\Ederson,br BRA,GK,Manchester City,27-255,1993,32,32,2880,32,0,1,0,0,0,3,0,0,0.03,0.03,0,0.03,Matches
Kyle Edwards\Kyle-Edwards,eng ENG,MFFW,West Brom,23-071,1998,5,1,118,1.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
John Egan\John-Egan,ie IRL,DF,Sheffield Utd,28-191,1992,26,25,2179,24.2,0,1,0,0,0,6,1,0,0.04,0.04,0,0.04,Matches
Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,33-232,1987,12,7,703,7.8,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Mohamed Elneny\Mohamed-Elneny,eg EGY,MF,Arsenal,28-292,1992,19,13,1184,13.2,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,33-116,1988,27,27,2383,26.5,1,2,1,0,0,7,0,0.04,0.08,0.11,0.04,0.11,Matches
Eberechi Eze\Eberechi-Eze,eng ENG,MF,Crystal Palace,22-304,1998,30,25,2199,24.4,3,4,3,0,0,3,0,0.12,0.16,0.29,0.12,0.29,Matches
?ukasz Fabia?ski\Lukasz-Fabianski,pl POL,GK,West Ham,36-011,1985,31,31,2790,31,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Fabinho\Fabinho,br BRA,DFMF,Liverpool,27-188,1993,25,23,2117,23.5,0,0,0,0,0,6,0,0,0,0,0,0,Matches
Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,26-233,1994,33,32,2821,31.3,16,11,8,8,9,5,0,0.51,0.35,0.86,0.26,0.61,Matches
Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,32-067,1989,19,19,1651,18.3,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Fernandinho\Fernandinho,br BRA,MF,Manchester City,35-360,1985,18,10,997,11.1,0,0,0,0,0,5,0,0,0,0,0,0,Matches
Sam Field\Sam-Field,eng ENG,MF,West Brom,22-356,1998,3,0,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Roberto Firmino\Roberto-Firmino,br BRA,FW,Liverpool,29-209,1991,31,29,2477,27.5,6,5,6,0,0,2,0,0.22,0.18,0.4,0.22,0.4,Matches
John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,29-248,1991,26,24,2125,23.6,0,2,0,0,0,3,0,0,0.08,0.08,0,0.08,Matches
Phil Foden\Phil-Foden,eng ENG,FWMF,Manchester City,20-336,2000,25,15,1450,16.1,7,5,7,0,0,0,0,0.43,0.31,0.74,0.43,0.74,Matches
Wesley Fofana\Wesley-Fofana,fr FRA,DF,Leicester City,20-133,2000,23,22,1927,21.4,0,0,0,0,0,6,0,0,0,0,0,0,Matches
Pablo Fornals\Pablo-Fornals,es ESP,FWMF,West Ham,25-066,1996,28,26,2124,23.6,3,3,3,0,0,3,0,0.13,0.13,0.25,0.13,0.25,Matches
Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,33-043,1988,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Manchester Utd,23-117,1998,1,1,80,0.9,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Ryan Fraser\Ryan-Fraser,sco SCO,FWMF,Newcastle Utd,27-064,1994,18,9,928,10.3,0,2,0,0,0,2,1,0,0.19,0.19,0,0.19,Matches
Fred\Fred,br BRA,MF,Manchester Utd,28-055,1993,27,24,2148,23.9,1,0,1,0,0,5,0,0.04,0,0.04,0.04,0.04,Matches
Ryan Fredericks\Ryan-Fredericks,eng ENG,DFFW,West Ham,28-201,1992,13,6,537,6,1,1,1,0,0,2,0,0.17,0.17,0.34,0.17,0.34,Matches
Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,35-022,1986,9,8,702,7.8,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Darnell Furlong\Darnell-Furlong,eng ENG,DF,West Brom,25-180,1995,30,27,2482,27.6,1,3,1,0,0,4,0,0.04,0.11,0.15,0.04,0.15,Matches
Conor Gallagher\Conor-Gallagher,eng ENG,MF,West Brom,21-082,2000,25,23,2081,23.1,2,2,2,0,0,9,0,0.09,0.09,0.17,0.09,0.17,Matches
Eric García\Eric-Garcia,es ESP,DF,Manchester City,20-110,2001,4,2,217,2.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Dwight Gayle\Dwight-Gayle,eng ENG,FWMF,Newcastle Utd,30-194,1990,14,4,433,4.8,1,1,1,0,0,0,0,0.21,0.21,0.42,0.21,0.42,Matches
Jean-Philippe Gbamin\Jean-Philippe-Gbamin,ci CIV,MF,Everton,25-216,1995,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
