Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-243,1990,21,20,1774,19.7,0,1,0,0,0,2,0,0,0.05,0.05,0,0.05,Matches
Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-209,1997,21,12,1025,11.4,6,1,6,0,0,0,0,0.53,0.09,0.61,0.53,0.61,Matches
Che Adams\Che-Adams,sco SCO,FW,Southampton,24-290,1996,31,25,2275,25.3,7,4,7,0,0,1,0,0.28,0.16,0.44,0.28,0.44,Matches
Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-217,1997,28,28,2520,28,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Adrián\Adrian,es ESP,GK,Liverpool,34-116,1987,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-331,1988,9,5,374,4.2,1,0,0,1,1,0,0,0.24,0,0.24,0,0,Matches
Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-203,1996,29,29,2513,27.9,2,1,2,0,0,2,0,0.07,0.04,0.11,0.07,0.11,Matches
Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-327,2001,17,12,1061,11.8,1,1,1,0,0,0,0,0.08,0.08,0.17,0.08,0.17,Matches
Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-171,1993,28,26,2330,25.9,2,0,2,0,0,3,1,0.08,0,0.08,0.08,0.08,Matches
Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,26-070,1995,7,6,527,5.9,1,0,1,0,0,4,0,0.17,0,0.17,0.17,0.17,Matches
Marc Albrighton\Marc-Albrighton,eng ENG,FWDF,Leicester City,31-162,1989,26,13,1399,15.5,0,4,0,0,0,2,0,0,0.26,0.26,0,0.26,Matches
Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,30-018,1991,19,15,1404,15.6,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,32-058,1989,20,20,1790,19.9,1,0,1,0,0,2,0,0.05,0,0.05,0.05,0.05,Matches
Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,26-070,1995,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,22-204,1998,31,29,2581,28.7,2,5,2,0,0,1,0,0.07,0.17,0.24,0.07,0.24,Matches
Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DF,Leeds United,29-076,1992,31,24,2056,22.8,2,1,2,0,0,7,0,0.09,0.04,0.13,0.09,0.13,Matches
Alisson\Alisson,br BRA,GK,Liverpool,28-209,1992,28,28,2520,28,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Allan\Allan,br BRA,MF,Everton,30-111,1991,18,17,1511,16.8,0,0,0,0,0,5,0,0,0,0,0,0,Matches
Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,25-018,1996,10,2,239,2.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,27-078,1994,29,23,2011,22.3,4,1,4,0,0,2,0,0.18,0.04,0.22,0.18,0.22,Matches
Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,30-122,1990,11,10,860,9.6,1,0,1,0,0,2,0,0.1,0,0.1,0.1,0.1,Matches
Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,22-233,1998,12,8,741,8.2,1,0,1,0,0,2,0,0.12,0,0.12,0.12,0.12,Matches
Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,26-129,1994,12,8,722,8,1,0,1,0,0,2,0,0.12,0,0.12,0.12,0.12,Matches
Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,20-227,2000,25,23,2089,23.2,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24-333,1996,27,27,2401,26.7,1,1,1,0,0,6,1,0.04,0.04,0.07,0.04,0.07,Matches
Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,18-174,2002,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,28-014,1993,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,31-032,1990,21,19,1546,17.2,7,5,7,0,0,3,0,0.41,0.29,0.7,0.41,0.7,Matches
Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,28-061,1993,32,32,2880,32,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,29-030,1992,27,26,2237,24.9,4,4,4,0,0,3,0,0.16,0.16,0.32,0.16,0.32,Matches
Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-208,1994,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31-315,1989,25,22,2009,22.3,9,1,7,2,2,2,0,0.4,0.04,0.45,0.31,0.36,Matches
Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,28-126,1992,17,17,1425,15.8,2,1,2,0,0,0,0,0.13,0.06,0.19,0.13,0.19,Matches
Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,31-298,1989,5,0,138,1.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,29-230,1991,28,21,1898,21.1,1,3,1,0,0,2,0,0.05,0.14,0.19,0.05,0.19,Matches
Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,29-247,1991,33,33,2949,32.8,0,0,0,0,0,6,0,0,0,0,0,0,Matches
César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,31-244,1989,22,20,1846,20.5,1,1,1,0,0,4,0,0.05,0.05,0.1,0.05,0.1,Matches
Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,27-017,1994,8,7,638,7.1,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,29-249,1991,14,13,1198,13.3,1,0,1,0,0,1,1,0.08,0,0.08,0.08,0.08,Matches
George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,28-051,1993,28,28,2427,27,0,2,0,0,0,5,0,0,0.07,0.07,0,0.07,Matches
Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,31-287,1989,15,7,650,7.2,6,2,6,0,0,1,0,0.83,0.28,1.11,0.83,1.11,Matches
Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,27-236,1993,33,33,2722,30.2,14,7,13,1,1,3,0,0.46,0.23,0.69,0.43,0.66,Matches
Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,35-305,1985,4,3,274,3,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,27-145,1993,2,0,42,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,27-145,1993,21,15,1301,14.5,3,1,3,0,0,0,0,0.21,0.07,0.28,0.21,0.28,Matches
Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,31-181,1989,18,15,1293,14.4,3,0,2,1,1,4,0,0.21,0,0.21,0.14,0.14,Matches
Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,23-141,1997,25,22,1945,21.6,9,4,9,0,0,0,0,0.42,0.19,0.6,0.42,0.6,Matches
Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,29-342,1991,25,23,2134,23.7,3,1,3,0,0,4,0,0.13,0.04,0.17,0.13,0.17,Matches
Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,32-283,1988,26,26,2126,23.6,0,1,0,0,0,3,0,0,0.04,0.04,0,0.04,Matches
Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,27-209,1993,17,7,709,7.9,2,1,2,0,0,0,0,0.25,0.13,0.38,0.25,0.38,Matches
Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,25-017,1996,32,32,2785,30.9,1,1,1,0,0,3,1,0.03,0.03,0.06,0.03,0.06,Matches
Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,Manchester Utd,24-011,1997,16,2,340,3.8,1,1,1,0,0,1,0,0.26,0.26,0.53,0.26,0.53,Matches
Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,26-041,1995,23,23,1977,22,1,2,1,0,0,8,0,0.05,0.09,0.14,0.05,0.14,Matches
Saïd Benrahma\Said-Benrahma,dz ALG,MFFW,West Ham,25-262,1995,25,11,1122,12.5,0,4,0,0,0,0,0,0,0.32,0.32,0,0.32,Matches
Josh Benson\Josh-Benson,eng ENG,MF,Burnley,21-145,1999,6,2,264,2.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,30-147,1990,25,16,1415,15.7,6,1,6,0,0,2,1,0.38,0.06,0.45,0.38,0.45,Matches
Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,30-184,1990,18,14,1148,12.8,2,0,2,0,0,1,0,0.16,0,0.16,0.16,0.16,Matches
Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,23-074,1998,13,12,1016,11.3,1,1,0,1,1,4,0,0.09,0.09,0.18,0,0.09,Matches
Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,23-203,1997,18,11,1054,11.7,0,2,0,0,0,2,0,0,0.17,0.17,0,0.17,Matches
Bernard\Bernard,br BRA,FWMF,Everton,28-233,1992,9,3,395,4.4,1,0,1,0,0,2,0,0.23,0,0.23,0.23,0.23,Matches
Bernardo\Bernardo,br BRA,DFMF,Brighton,25-350,1995,3,2,206,2.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,31-267,1989,29,29,2598,28.9,0,1,0,0,0,5,0,0,0.03,0.03,0,0.03,Matches
Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,24-242,1996,31,30,2662,29.6,1,0,1,0,0,6,1,0.03,0,0.03,0.03,0.03,Matches
Jayden Bogle\Jayden-Bogle,eng ENG,DF,Sheffield Utd,20-276,2000,14,10,976,10.8,2,0,2,0,0,2,0,0.18,0,0.18,0.18,0.18,Matches
Willy Boly\Willy-Boly,ci CIV,DF,Wolves,30-085,1991,19,19,1710,19,1,1,1,0,0,1,0,0.05,0.05,0.11,0.05,0.11,Matches
Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,24-130,1996,33,28,2336,26,8,5,8,0,0,0,0,0.31,0.19,0.5,0.31,0.5,Matches
