Rk,Squad,GF,GA,GD,Pts,Attendance
1,Manchester City,69,24,45,77,
2,Manchester Utd,64,35,29,67,
3,Leicester City,60,38,22,62,
4,Chelsea,51,31,20,58,125
5,West Ham,53,43,10,55,118
6,Liverpool,55,39,16,54,353
7,Tottenham,56,38,18,53,125
8,Everton,44,40,4,52,125
9,Leeds United,50,50,0,47,
10,Arsenal,44,37,7,46,118
11,Aston Villa,46,37,9,45,
12,Wolves,32,45,-13,41,
13,Crystal Palace,34,54,-20,38,125
14,Burnley,30,45,-15,36,
15,Southampton,40,58,-18,36,133
16,Newcastle Utd,36,54,-18,36,
17,Brighton,33,39,-6,34,125
18,Fulham,25,43,-18,27,118
19,West Brom,30,64,-34,25,
20,Sheffield Utd,18,56,-38,17,
