Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
27,Houssem Aouar\Houssem-Aouar,fr FRA,MF,Lyon,20,1998,37,35,3061,34,7,7,7,0,0,2,0,0.21,0.21,0.41,0.21,0.41,7.5,7.5,3.3,10.8,0.22,0.1,0.32,0.22,0.32,Matches
28,Luiz Araújo\Luiz-Araujo,br BRA,FWMF,Lille,22,1996,25,6,781,8.7,3,2,3,0,0,2,1,0.35,0.23,0.58,0.35,0.58,2.4,2.4,1.2,3.6,0.28,0.13,0.41,0.28,0.41,Matches
29,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,25,1993,21,21,1890,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
30,Yoël Armougom\Yoel-Armougom,fr FRA,DFMF,Caen,20,1998,29,20,1853,20.6,0,1,0,0,0,5,1,0,0.05,0.05,0,0.05,0.2,0.2,1.4,1.5,0.01,0.07,0.07,0.01,0.07,Matches
31,Youcef Attal\Youcef-Attal,dz ALG,DFMF,Nice,22,1996,29,25,2263,25.1,6,0,6,0,1,8,0,0.24,0,0.24,0.24,0.24,3.6,2.9,3.4,6.2,0.14,0.13,0.28,0.11,0.25,Matches
32,Ludovic Baal\Ludovic-Baal,gf GUF,DF,Rennes,32,1986,2,1,126,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
33,Stéphane Bahoken\Stephane-Bahoken,cm CMR,FW,Angers,26,1992,32,31,2469,27.4,11,1,9,2,3,3,0,0.4,0.04,0.44,0.33,0.36,8.9,6.6,2.9,9.5,0.32,0.11,0.43,0.24,0.35,Matches
34,Fodé Ballo-Touré\Fode-Ballo-Toure,sn SEN,DF,Monaco,21,1997,18,18,1594,17.7,0,3,0,0,0,4,0,0,0.17,0.17,0,0.17,0.3,0.3,2.6,2.9,0.02,0.14,0.16,0.02,0.16,Matches
35,Fodé Ballo-Touré\Fode-Ballo-Toure,sn SEN,DF,Lille,21,1997,18,18,1593,17.7,0,1,0,0,0,3,0,0,0.06,0.06,0,0.06,0.3,0.3,1.1,1.4,0.01,0.06,0.08,0.01,0.08,Matches
36,Florent Balmont\Florent-Balmont,fr FRA,MF,Dijon,38,1980,20,15,1076,12,0,1,0,0,0,3,0,0,0.08,0.08,0,0.08,0.1,0.1,0.9,1,0.01,0.08,0.09,0.01,0.09,Matches
37,Mario Balotelli\Mario-Balotelli,it ITA,FW,Marseille,27,1990,15,12,933,10.4,8,0,8,0,0,5,1,0.77,0,0.77,0.77,0.77,5.6,5.6,0.3,5.9,0.54,0.03,0.57,0.54,0.57,Matches
38,Mario Balotelli\Mario-Balotelli,it ITA,FW,Nice,27,1990,10,9,752,8.4,0,1,0,0,0,5,0,0,0.12,0.12,0,0.12,2.4,2.4,1,3.4,0.29,0.12,0.41,0.29,0.41,Matches
39,Abdoulaye Bamba\Abdoulaye-Bamba,ci CIV,DF,Angers,28,1990,30,29,2573,28.6,0,4,0,0,0,6,0,0,0.14,0.14,0,0.14,0.2,0.2,1.5,1.7,0.01,0.05,0.06,0.01,0.06,Matches
40,Jonathan Bamba\Jonathan-Bamba,fr FRA,FWMF,Lille,22,1996,38,35,3004,33.4,13,3,12,1,1,4,0,0.39,0.09,0.48,0.36,0.45,8.2,7.4,6,13.4,0.24,0.18,0.42,0.22,0.4,Matches
41,Yacine Bammou\Yacine-Bammou,ma MAR,FWMF,Caen,26,1991,17,9,923,10.3,2,0,1,1,1,2,0,0.2,0,0.2,0.1,0.1,1.2,0.5,0.5,1,0.12,0.05,0.17,0.04,0.09,Matches
42,Danilo Barbosa\Danilo-Barbosa,br BRA,MF,Nice,22,1996,22,18,1548,17.2,0,0,0,0,0,1,1,0,0,0,0,0,2.6,2.6,0.7,3.3,0.15,0.04,0.19,0.15,0.19,Matches
43,Antonio Barreca\Antonio-Barreca,it ITA,DF,Monaco,23,1995,7,7,593,6.6,0,1,0,0,0,0,0,0,0.15,0.15,0,0.15,0.1,0.1,0.4,0.6,0.02,0.07,0.09,0.02,0.09,Matches
44,Toma Baši?\Toma-Basic,hr CRO,MF,Bordeaux,21,1996,23,16,1333,14.8,2,0,2,0,0,3,0,0.14,0,0.14,0.14,0.14,1.3,1.3,2.2,3.5,0.09,0.15,0.23,0.09,0.23,Matches
