Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
108,Marcus Coco\Marcus-Coco,fr FRA,FWMF,Guingamp,22,1996,33,21,1840,20.4,1,2,1,0,0,3,1,0.05,0.1,0.15,0.05,0.15,2.4,2.4,1.3,3.7,0.12,0.06,0.18,0.12,0.18,Matches
109,Racine Coly\Racine-Coly,sn SEN,DFMF,Nice,22,1995,9,6,503,5.6,0,1,0,0,0,2,0,0,0.18,0.18,0,0.18,0.2,0.2,0.2,0.4,0.04,0.03,0.07,0.04,0.07,Matches
110,Daniel Congré\Daniel-Congre,fr FRA,DF,Montpellier,33,1985,37,37,3292,36.6,2,2,2,0,0,5,1,0.05,0.05,0.11,0.05,0.11,1.7,1.7,0.7,2.4,0.05,0.02,0.07,0.05,0.07,Matches
111,Benjamin Corgnet\Benjamin-Corgnet,fr FRA,MFFW,Strasbourg,31,1987,17,6,671,7.5,1,2,1,0,0,0,0,0.13,0.27,0.4,0.13,0.4,1.9,1.9,0.8,2.7,0.26,0.11,0.37,0.26,0.37,Matches
112,Andreas Cornelius\Andreas-Cornelius,dk DEN,FW,Bordeaux,25,1993,20,6,792,8.8,3,1,3,0,0,4,0,0.34,0.11,0.45,0.34,0.45,2,2,0.6,2.6,0.23,0.07,0.3,0.23,0.3,Matches
113,Maxwel Cornet\Maxwel-Cornet,ci CIV,FW,Lyon,21,1996,27,12,1281,14.2,7,5,7,0,0,2,0,0.49,0.35,0.84,0.49,0.84,7,7,3.9,10.9,0.49,0.28,0.77,0.49,0.77,Matches
114,Quentin Cornette\Quentin-Cornette,fr FRA,MFFW,Amiens,24,1994,5,3,209,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0.16,0,0.16,0.16,0.16,Matches
115,Nuno da Costa\Nuno-da-Costa,cv CPV,FW,Strasbourg,27,1991,34,22,2052,22.8,8,5,7,1,1,3,0,0.35,0.22,0.57,0.31,0.53,5.7,4.9,3.3,8.2,0.25,0.14,0.39,0.22,0.36,Matches
116,Benoît Costil\Benoit-Costil,fr FRA,GK,Bordeaux,31,1987,37,37,3330,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,Matches
117,Kalifa Coulibaly\Kalifa-Coulibaly,ml MLI,FW,Nantes,26,1991,32,19,1751,19.5,8,2,7,1,1,6,1,0.41,0.1,0.51,0.36,0.46,7.9,7.1,1.3,8.4,0.41,0.07,0.47,0.37,0.43,Matches
118,Senou Coulibaly\Senou-Coulibaly,ml MLI,DFMF,Dijon,23,1994,9,6,411,4.6,1,0,1,0,0,1,1,0.22,0,0.22,0.22,0.22,0.1,0.1,0.4,0.5,0.03,0.09,0.12,0.03,0.12,Matches
119,Nicolas Cozza\Nicolas-Cozza,fr FRA,DF,Montpellier,19,1999,12,11,984,10.9,0,1,0,0,0,0,0,0,0.09,0.09,0,0.09,0,0,0.4,0.4,0,0.04,0.04,0,0.04,Matches
120,Enzo Crivelli\Enzo-Crivelli,fr FRA,FW,Caen,23,1995,33,28,2260,25.1,6,1,6,0,0,7,0,0.24,0.04,0.28,0.24,0.28,5.4,5.4,0.8,6.2,0.21,0.03,0.25,0.21,0.25,Matches
121,Wylan Cyprien\Wylan-Cyprien,fr FRA,MF,Nice,23,1995,29,27,2360,26.2,4,1,3,1,2,2,1,0.15,0.04,0.19,0.11,0.15,5,3.4,3.8,7.3,0.19,0.15,0.34,0.13,0.28,Matches
122,Damien Da Silva\Damien-Da-Silva,fr FRA,DF,Rennes,30,1988,33,32,2874,31.9,2,1,2,0,0,4,0,0.06,0.03,0.09,0.06,0.09,1.3,1.3,0.1,1.5,0.04,0,0.05,0.04,0.05,Matches
123,Kouadio-Yves Dabila\Kouadio-Yves-Dabila,ci CIV,DF,Lille,21,1997,12,8,782,8.7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
124,Abdoulaye Dabo\Abdoulaye-Dabo,fr FRA,FW,Nantes,17,2001,2,2,116,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.14,0.14,0,0.14,Matches
125,Colin Dagba\Colin-Dagba,fr FRA,DF,Paris S-G,19,1998,17,9,918,10.2,0,2,0,0,0,2,0,0,0.2,0.2,0,0.2,0.1,0.1,1.4,1.5,0.01,0.14,0.14,0.01,0.14,Matches
126,Dante\Dante,br BRA,DF,Nice,34,1983,36,36,3226,35.8,1,1,1,0,0,11,0,0.03,0.03,0.06,0.03,0.06,1.2,1.2,0.3,1.5,0.03,0.01,0.04,0.03,0.04,Matches
127,Lucas Deaux\Lucas-Deaux,fr FRA,MF,Guingamp,29,1988,18,17,1188,13.2,3,1,3,0,0,4,0,0.23,0.08,0.3,0.23,0.3,1.7,1.7,1.2,2.9,0.13,0.09,0.22,0.13,0.22,Matches
128,Mathieu Debuchy\Mathieu-Debuchy,fr FRA,DF,Saint-Étienne,33,1985,24,23,1941,21.6,4,3,4,0,0,5,1,0.19,0.14,0.32,0.19,0.32,2.3,2.3,1.4,3.6,0.11,0.06,0.17,0.11,0.17,Matches
129,Romain Del Castillo\Romain-Del-Castillo,fr FRA,FWMF,Rennes,22,1996,29,15,1343,14.9,0,3,0,0,0,1,0,0,0.2,0.2,0,0.2,0.8,0.8,3.1,3.9,0.06,0.2,0.26,0.06,0.26,Matches
130,Andy Delort\Andy-Delort,dz ALG,FW,Montpellier,26,1991,36,36,3115,34.6,14,7,11,3,3,4,0,0.4,0.2,0.61,0.32,0.52,13.7,11.5,5.9,17.4,0.4,0.17,0.57,0.33,0.5,Matches
131,Moussa Dembélé\Moussa-Dembele,fr FRA,FW,Lyon,22,1996,33,21,2016,22.4,15,4,14,1,2,1,0,0.67,0.18,0.85,0.62,0.8,16.5,15,3.5,18.5,0.74,0.15,0.89,0.67,0.83,Matches
132,Jessy Deminguet\Jessy-Deminguet,fr FRA,MFFW,Caen,20,1998,20,15,1269,14.1,0,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0.2,0.5,0.02,0.01,0.04,0.02,0.04,Matches
133,Jason Denayer\Jason-Denayer,be BEL,DF,Lyon,23,1995,31,31,2754,30.6,2,0,2,0,0,2,0,0.07,0,0.07,0.07,0.07,1.3,1.3,0.1,1.4,0.04,0,0.05,0.04,0.05,Matches
134,Memphis Depay\Memphis-Depay,nl NED,FWMF,Lyon,24,1994,36,29,2737,30.4,10,10,10,0,2,5,0,0.33,0.33,0.66,0.33,0.66,13.8,12.3,11.5,23.8,0.45,0.38,0.83,0.4,0.78,Matches
135,Clément Depres\Clement-Depres,fr FRA,FW,Nîmes,23,1994,17,4,441,4.9,4,0,4,0,0,1,0,0.82,0,0.82,0.82,0.82,2.8,2.8,0.1,2.9,0.58,0.02,0.6,0.58,0.6,Matches
136,Ángel Di María\Angel-Di-Maria,ar ARG,FWMF,Paris S-G,30,1988,30,28,2324,25.8,12,11,12,0,0,2,0,0.46,0.43,0.89,0.46,0.89,9.5,9.5,8.7,18.1,0.37,0.34,0.7,0.37,0.7,Matches
137,Boulaye Dia\Boulaye-Dia,sn SEN,FW,Reims,21,1996,18,8,747,8.3,3,0,3,0,0,2,0,0.36,0,0.36,0.36,0.36,4.8,4.8,1.2,6,0.57,0.15,0.72,0.57,0.72,Matches
138,Moussa Diaby\Moussa-Diaby,fr FRA,MFFW,Paris S-G,19,1999,25,10,1141,12.7,2,6,2,0,0,1,0,0.16,0.47,0.63,0.16,0.63,2.3,2.3,4.2,6.5,0.18,0.33,0.51,0.18,0.51,Matches
139,Bafodé Diakité\Bafode-Diakite,fr FRA,DF,Toulouse,17,2001,9,7,633,7,1,0,1,0,0,2,0,0.14,0,0.14,0.14,0.14,0.1,0.1,0,0.2,0.02,0,0.03,0.02,0.03,Matches
140,Abdoulaye Diallo\Abdoulaye-Diallo,sn SEN,GK,Rennes,26,1992,6,6,495,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
141,Mustapha Diallo\Mustapha-Diallo,sn SEN,MF,Nîmes,32,1986,7,6,455,5.1,0,1,0,0,0,5,0,0,0.2,0.2,0,0.2,0.4,0.4,0.1,0.5,0.07,0.02,0.09,0.07,0.09,Matches
142,Lassana Diarra\Lassana-Diarra,fr FRA,MF,Paris S-G,33,1985,3,2,159,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
143,Bakaye Dibassy\Bakaye-Dibassy,ml MLI,DF,Amiens,28,1989,34,32,2942,32.7,1,1,1,0,0,5,1,0.03,0.03,0.06,0.03,0.06,1.3,1.3,0.3,1.6,0.04,0.01,0.05,0.04,0.05,Matches
144,Étienne Didot\Etienne-Didot,fr FRA,MF,Guingamp,35,1983,31,23,2105,23.4,1,1,1,0,0,4,0,0.04,0.04,0.09,0.04,0.09,0.6,0.6,1.5,2.1,0.03,0.06,0.09,0.03,0.09,Matches
145,Tristan Dingomé\Tristan-Dingome,cm CMR,MF,Reims,27,1991,20,17,1344,14.9,1,3,1,0,0,5,0,0.07,0.2,0.27,0.07,0.27,0.5,0.5,2.3,2.8,0.03,0.16,0.19,0.03,0.19,Matches
146,Ismaël Diomandé\Ismael-Diomande,ci CIV,MFDF,Caen,25,1992,18,14,1293,14.4,0,1,0,0,0,5,1,0,0.07,0.07,0,0.07,0.1,0.1,0.4,0.5,0.01,0.03,0.03,0.01,0.03,Matches
147,Lois Diony\Lois-Diony,fr FRA,FW,Saint-Étienne,25,1992,30,19,1591,17.7,5,1,5,0,0,3,0,0.28,0.06,0.34,0.28,0.34,6.6,6.6,1.3,7.9,0.37,0.07,0.45,0.37,0.45,Matches
148,Sofiane Diop\Sofiane-Diop,fr FRA,MFFW,Monaco,18,2000,13,9,741,8.2,0,0,0,0,0,1,0,0,0,0,0,0,1.1,1.1,0.5,1.6,0.13,0.06,0.19,0.13,0.19,Matches
149,Assane Dioussé\Assane-Diousse,sn SEN,MF,Saint-Étienne,20,1997,7,2,217,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.02,0.19,0.2,0.02,0.2,Matches
150,Axel Disasi\Axel-Disasi,fr FRA,DF,Reims,20,1998,4,1,159,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.06,0,0.06,0.06,0.06,Matches
151,Koffi Djidji\Koffi-Djidji,ci CIV,DF,Nantes,25,1992,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
152,Alexander Djiku\Alexander-Djiku,gh GHA,DF,Caen,23,1994,31,31,2754,30.6,1,0,1,0,0,9,1,0.03,0,0.03,0.03,0.03,0.9,0.9,0.2,1.1,0.03,0.01,0.03,0.03,0.03,Matches
153,Papy Djilobodji\Papy-Djilobodji,sn SEN,DFFW,Guingamp,29,1988,4,2,175,1.9,0,0,0,0,0,1,1,0,0,0,0,0,0.2,0.2,0,0.3,0.12,0.02,0.14,0.12,0.14,Matches
154,Keagan Dolly\Keagan-Dolly,za RSA,FW,Montpellier,25,1993,3,2,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.04,0.05,0.09,0.04,0.09,Matches
155,Gabriel Dos Santos\Gabriel-Dos-Santos,br BRA,DF,Lille,20,1997,14,11,1066,11.8,1,0,1,0,0,1,0,0.08,0,0.08,0.08,0.08,0.5,0.5,0.1,0.6,0.04,0.01,0.05,0.04,0.05,Matches
156,Mathieu Dossevi\Mathieu-Dossevi,tg TOG,FWMF,Toulouse,30,1988,35,30,2469,27.4,4,2,4,0,0,0,0,0.15,0.07,0.22,0.15,0.22,2.5,2.5,4.3,6.8,0.09,0.16,0.25,0.09,0.25,Matches
157,Moussa Doumbia\Moussa-Doumbia,ml MLI,FWMF,Reims,23,1994,28,18,1600,17.8,3,1,3,0,0,5,0,0.17,0.06,0.23,0.17,0.23,2,2,2.2,4.3,0.11,0.13,0.24,0.11,0.24,Matches
158,Souleyman Doumbia\Souleyman-Doumbia,ci CIV,DF,Rennes,21,1996,7,7,605,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
159,Julian Draxler\Julian-Draxler,de GER,MFFW,Paris S-G,24,1993,31,22,2046,22.7,3,7,3,0,0,6,0,0.13,0.31,0.44,0.13,0.44,4.8,4.8,5.4,10.2,0.21,0.24,0.45,0.21,0.45,Matches
160,Leo Dubois\Leo-Dubois,fr FRA,DF,Lyon,23,1994,25,21,2044,22.7,1,6,1,0,0,2,0,0.04,0.26,0.31,0.04,0.31,0.9,0.9,3.2,4.1,0.04,0.14,0.18,0.04,0.18,Matches
161,Maxime Dupé\Maxime-Dupe,fr FRA,GK,Nantes,25,1993,11,10,940,10.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
162,Jimmy Durmaz\Jimmy-Durmaz,se SWE,MFFW,Toulouse,29,1989,36,21,1899,21.1,4,1,2,2,2,5,0,0.19,0.05,0.24,0.09,0.14,4.6,3.1,2.9,6,0.22,0.14,0.36,0.15,0.29,Matches
163,Félix Eboa Eboa\Felix-Eboa-Eboa,cm CMR,DF,Guingamp,21,1997,27,27,2426,27,3,0,3,0,0,5,0,0.11,0,0.11,0.11,0.11,1.5,1.5,0.8,2.3,0.06,0.03,0.08,0.06,0.08,Matches
164,Björn Engels\Bjorn-Engels,be BEL,DF,Reims,23,1994,33,33,2970,33,1,1,1,0,0,4,0,0.03,0.03,0.06,0.03,0.06,1.1,1.1,0.8,1.9,0.03,0.02,0.06,0.03,0.06,Matches
165,Lucas Evangelista\Lucas-Evangelista,br BRA,FWMF,Nantes,23,1995,14,9,720,8,1,0,1,0,0,0,0,0.12,0,0.12,0.12,0.12,0.8,0.8,0.3,1.1,0.1,0.03,0.13,0.1,0.13,Matches
166,Valentin Eysseric\Valentin-Eysseric,fr FRA,MFFW,Nantes,26,1992,5,3,209,2.3,1,0,0,1,2,1,0,0.43,0,0.43,0,0,1.9,0.4,0.2,0.6,0.83,0.1,0.92,0.17,0.27,Matches
167,Fábio\Fabio,br BRA,DF,Nantes,28,1990,20,15,1276,14.2,0,2,0,0,0,4,1,0,0.14,0.14,0,0.14,0.2,0.2,0.4,0.7,0.02,0.03,0.05,0.02,0.05,Matches
168,Cesc Fàbregas\Cesc-Fabregas,es ESP,MF,Monaco,31,1987,13,12,966,10.7,1,0,1,0,0,2,0,0.09,0,0.09,0.09,0.09,1.7,1.7,0.9,2.6,0.16,0.08,0.24,0.16,0.24,Matches
169,Romain Faivre\Romain-Faivre,fr FRA,MFFW,Monaco,20,1998,1,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.19,0.04,0.23,0.19,0.23,Matches
170,Fayçal Fajr\Faycal-Fajr,ma MAR,MF,Caen,29,1988,36,36,3240,36,5,4,5,0,0,6,0,0.14,0.11,0.25,0.14,0.25,2.4,2.4,4.4,6.8,0.07,0.12,0.19,0.07,0.19,Matches
171,Radamel Falcao\Radamel-Falcao,co COL,FW,Monaco,32,1986,33,29,2557,28.4,15,2,12,3,4,10,0,0.53,0.07,0.6,0.42,0.49,15.3,12.3,1.8,14,0.54,0.06,0.6,0.43,0.49,Matches
172,Nabil Fekir\Nabil-Fekir,fr FRA,MF,Lyon,25,1993,29,24,1988,22.1,9,7,5,4,6,5,0,0.41,0.32,0.72,0.23,0.54,10.6,6,5.6,11.6,0.48,0.25,0.73,0.27,0.53,Matches
173,Yassin Fekir\Yassin-Fekir,fr FRA,FW,Lyon,21,1997,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.12,0.79,0.92,0.12,0.92,Matches
174,Juan Ferney Otero\Juan-Ferney-Otero,co COL,FWMF,Amiens,23,1995,33,24,2175,24.2,2,2,2,0,0,1,0,0.08,0.08,0.17,0.08,0.17,3.9,3.9,2.1,6.1,0.16,0.09,0.25,0.16,0.25,Matches
175,Jordan Ferri\Jordan-Ferri,fr FRA,MF,Nîmes,26,1992,24,21,1874,20.8,2,1,2,0,0,5,0,0.1,0.05,0.14,0.1,0.14,1.1,1.1,2.2,3.3,0.05,0.11,0.16,0.05,0.16,Matches
176,Jordan Ferri\Jordan-Ferri,fr FRA,MF,Lyon,26,1992,4,1,116,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
177,Guessouma Fofana\Guessouma-Fofana,fr FRA,MF,Amiens,25,1992,3,2,186,2.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
178,Guessouma Fofana\Guessouma-Fofana,fr FRA,MF,Guingamp,25,1992,10,4,479,5.3,0,0,0,0,0,2,0,0,0,0,0,0,0.5,0.5,0,0.5,0.09,0,0.09,0.09,0.09,Matches
179,Wesley Fofana\Wesley-Fofana,fr FRA,DF,Saint-Étienne,17,2000,2,1,161,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
180,Youssouf Fofana\Youssouf-Fofana,fr FRA,MF,Strasbourg,19,1999,17,10,912,10.1,2,1,2,0,0,0,0,0.2,0.1,0.3,0.2,0.3,0.8,0.8,0.4,1.2,0.08,0.04,0.12,0.08,0.12,Matches
181,Thomas Foket\Thomas-Foket,be BEL,DF,Reims,23,1994,32,32,2880,32,0,0,0,0,0,7,0,0,0,0,0,0,0.1,0.1,1,1,0,0.03,0.03,0,0.03,Matches
182,Thomas Fontaine\Thomas-Fontaine,mg MAD,DFMF,Reims,27,1991,7,4,420,4.7,0,1,0,0,0,1,0,0,0.21,0.21,0,0.21,0,0,0.4,0.5,0.01,0.09,0.1,0.01,0.1,Matches
183,José Fonte\Jose-Fonte,pt POR,DF,Lille,34,1983,36,36,3110,34.6,3,1,3,0,0,5,1,0.09,0.03,0.12,0.09,0.12,2.8,2.8,0.3,3.2,0.08,0.01,0.09,0.08,0.09,Matches
184,Rui Fonte\Rui-Fonte,pt POR,FW,Lille,28,1990,18,5,627,7,1,0,1,0,0,1,0,0.14,0,0.14,0.14,0.14,0.6,0.6,0.2,0.9,0.09,0.03,0.12,0.09,0.12,Matches
185,Steven Fortes\Steven-Fortes,cv CPV,DF,Toulouse,26,1992,3,1,136,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
186,Angelo Fulgini\Angelo-Fulgini,fr FRA,MFFW,Angers,21,1996,31,18,1635,18.2,4,1,4,0,0,1,0,0.22,0.06,0.28,0.22,0.28,3.2,3.2,2.9,6.1,0.18,0.16,0.34,0.18,0.34,Matches
187,Milan Gaji?\Milan-Gajic,rs SRB,DF,Bordeaux,22,1996,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
188,Ignatius Ganago\Ignatius-Ganago,cm CMR,FW,Nice,19,1999,20,9,1036,11.5,2,0,2,0,0,1,0,0.17,0,0.17,0.17,0.17,3.9,3.9,1.1,5.1,0.34,0.1,0.44,0.34,0.44,Matches
189,Ganso\Ganso,br BRA,MFFW,Amiens,28,1989,12,5,520,5.8,0,2,0,0,0,0,0,0,0.35,0.35,0,0.35,0.1,0.1,1.2,1.3,0.02,0.21,0.23,0.02,0.23,Matches
190,Manu García\Manu-Garcia,es ESP,MF,Toulouse,20,1998,31,21,1843,20.5,0,4,0,0,0,2,1,0,0.2,0.2,0,0.2,1,1,2,3,0.05,0.1,0.15,0.05,0.15,Matches
191,Jérémy Gélin\Jeremy-Gelin,fr FRA,DFMF,Rennes,21,1997,22,12,1278,14.2,0,0,0,0,0,3,1,0,0,0,0,0,0.7,0.7,0.1,0.9,0.05,0.01,0.06,0.05,0.06,Matches
192,Romain Genevois\Romain-Genevois,ht HAI,DF,Caen,30,1987,6,5,357,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
193,Valère Germain\Valere-Germain,fr FRA,FW,Marseille,28,1990,36,23,2170,24.1,8,2,8,0,0,1,0,0.33,0.08,0.41,0.33,0.41,4.7,4.7,1.8,6.5,0.2,0.07,0.27,0.2,0.27,Matches
194,Willem Geubbels\Willem-Geubbels,fr FRA,MF,Monaco,16,2001,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.62,0.62,0,0.62,Matches
195,Lamine Ghezali\Lamine-Ghezali,fr FRA,FWMF,Saint-Étienne,19,1999,6,0,44,0.5,1,0,1,0,0,1,0,2.05,0,2.05,2.05,2.05,0.4,0.4,0,0.4,0.88,0,0.88,0.88,0.88,Matches
196,Saman Ghoddos\Saman-Ghoddos,ir IRN,FWMF,Amiens,24,1993,27,20,1827,20.3,4,4,4,0,0,4,0,0.2,0.2,0.39,0.2,0.39,2.4,2.4,2.5,4.9,0.12,0.12,0.24,0.12,0.24,Matches
197,Andrei Girotto\Andrei-Girotto,br BRA,MF,Nantes,26,1992,20,18,1475,16.4,2,0,2,0,0,6,3,0.12,0,0.12,0.12,0.12,1.1,1.1,0.5,1.6,0.07,0.03,0.1,0.07,0.1,Matches
198,Kamil Glik\Kamil-Glik,pl POL,DF,Monaco,30,1988,33,33,2970,33,1,0,1,0,0,10,0,0.03,0,0.03,0.03,0.03,1.2,1.2,0.1,1.3,0.04,0,0.04,0.04,0.04,Matches
199,Eddy Gnahoré\Eddy-Gnahore,fr FRA,MF,Amiens,24,1993,34,24,2243,24.9,4,2,4,0,0,4,2,0.16,0.08,0.24,0.16,0.24,3.7,3.7,2.7,6.4,0.15,0.11,0.26,0.15,0.26,Matches
200,Mauro Goicoechea\Mauro-Goicoechea,uy URU,GK,Toulouse,30,1988,8,7,713,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
201,Aleksandr Golovin\Aleksandr-Golovin,ru RUS,MFFW,Monaco,22,1996,30,27,2290,25.4,3,3,3,0,0,7,1,0.12,0.12,0.24,0.12,0.24,4.7,4.7,2.4,7.1,0.18,0.1,0.28,0.18,0.28,Matches
202,Anthony Gonçalves\Anthony-Goncalves,fr FRA,MFFW,Strasbourg,32,1986,18,12,1058,11.8,5,2,5,0,0,3,0,0.43,0.17,0.6,0.43,0.6,1.4,1.4,1.4,2.8,0.11,0.12,0.23,0.11,0.23,Matches
203,Mathieu Gorgelin\Mathieu-Gorgelin,fr FRA,GK,Lyon,27,1990,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
204,Prince-Désir Gouano\Prince-Desir-Gouano,fr FRA,DF,Amiens,24,1993,30,30,2620,29.1,1,0,1,0,0,2,0,0.03,0,0.03,0.03,0.03,0.5,0.5,0.3,0.8,0.02,0.01,0.03,0.02,0.03,Matches
205,Yoann Gourcuff\Yoann-Gourcuff,fr FRA,MFFW,Dijon,32,1986,8,0,134,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,0.37,0.13,0.5,0.37,0.5,Matches
206,Max Gradel\Max-Gradel,ci CIV,FWMF,Toulouse,30,1987,36,36,3240,36,11,5,7,4,8,6,0,0.31,0.14,0.44,0.19,0.33,14.6,8.7,5.5,14.2,0.41,0.15,0.56,0.24,0.39,Matches
207,Jonathan Gradit\Jonathan-Gradit,fr FRA,DF,Caen,25,1992,24,23,2010,22.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.9,1,0,0.04,0.04,0,0.04,Matches
208,Samuel Grandsir\Samuel-Grandsir,fr FRA,FWMF,Strasbourg,21,1996,8,2,237,2.6,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0.1,0.1,0.2,0.02,0.04,0.07,0.02,0.07,Matches
209,Samuel Grandsir\Samuel-Grandsir,fr FRA,FWMF,Monaco,21,1996,12,4,469,5.2,0,1,0,0,0,1,1,0,0.19,0.19,0,0.19,0.2,0.2,1.7,1.9,0.04,0.33,0.37,0.04,0.37,Matches
210,Clément Grenier\Clement-Grenier,fr FRA,MF,Rennes,27,1991,33,29,2668,29.6,2,5,2,0,1,6,0,0.07,0.17,0.24,0.07,0.24,3.9,3,3.8,6.8,0.13,0.13,0.26,0.1,0.23,Matches
211,Jérémy Grimm\Jeremy-Grimm,fr FRA,MF,Strasbourg,31,1987,5,2,168,1.9,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0,0.03,0.03,0.03,Matches
212,Metehan Güçlü\Metehan-Guclu,tr TUR,FW,Paris S-G,19,1999,1,0,17,0.2,1,0,1,0,0,0,0,5.29,0,5.29,5.29,5.29,0.2,0.2,0.2,0.4,1.25,0.91,2.16,1.25,2.16,Matches
213,Makhtar Gueye\Makhtar-Gueye,sn SEN,FWMF,Saint-Étienne,20,1997,5,0,50,0.6,1,1,1,0,0,0,0,1.8,1.8,3.6,1.8,3.6,0.3,0.3,0.6,0.9,0.58,1.12,1.71,0.58,1.71,Matches
214,Frederic Guilbert\Frederic-Guilbert,fr FRA,DF,Caen,23,1994,34,33,2916,32.4,1,2,1,0,0,10,1,0.03,0.06,0.09,0.03,0.09,0.5,0.5,2.8,3.3,0.01,0.09,0.1,0.01,0.1,Matches
215,Baptiste Guillaume\Baptiste-Guillaume,be BEL,FW,Nîmes,23,1995,24,15,1183,13.1,2,1,2,0,0,4,0,0.15,0.08,0.23,0.15,0.23,3.6,3.6,0.7,4.4,0.28,0.05,0.33,0.28,0.33,Matches
216,Sehrou Guirassy\Sehrou-Guirassy,fr FRA,FW,Amiens,22,1996,13,13,1111,12.3,3,1,3,0,0,0,1,0.24,0.08,0.32,0.24,0.32,3.9,3.9,1,4.9,0.32,0.08,0.4,0.32,0.4,Matches
217,Régis Gurtner\Regis-Gurtner,fr FRA,GK,Amiens,31,1986,38,38,3420,38,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
218,Luiz Gustavo\Luiz-Gustavo,br BRA,MFDF,Marseille,31,1987,30,26,2436,27.1,2,0,2,0,0,8,0,0.07,0,0.07,0.07,0.07,2.4,2.4,0.5,2.9,0.09,0.02,0.11,0.09,0.11,Matches
219,Oussama Haddadi\Oussama-Haddadi,tn TUN,DFMF,Dijon,26,1992,32,30,2674,29.7,2,2,2,0,0,6,1,0.07,0.07,0.13,0.07,0.13,0.3,0.3,2.9,3.2,0.01,0.1,0.11,0.01,0.11,Matches
220,Oualid El Hajjam\Oualid-El-Hajjam,ma MAR,DFMF,Amiens,27,1991,11,6,544,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.2,0.01,0.02,0.03,0.01,0.03,Matches
221,Romain Hamouma\Romain-Hamouma,fr FRA,FWMF,Saint-Étienne,31,1987,27,19,1586,17.6,4,4,4,0,0,3,1,0.23,0.23,0.45,0.23,0.45,4,4,4.5,8.5,0.23,0.25,0.48,0.23,0.48,Matches
222,Féthi Harek\Fethi-Harek,dz ALG,DF,Nîmes,35,1982,3,2,177,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
223,Benjamin Henrichs\Benjamin-Henrichs,de GER,DFMF,Monaco,21,1997,22,21,1824,20.3,1,2,1,0,0,3,0,0.05,0.1,0.15,0.05,0.15,0.4,0.4,2.8,3.2,0.02,0.14,0.16,0.02,0.16,Matches
224,Christophe Hérelle\Christophe-Herelle,mq MTQ,DF,Nice,25,1992,33,33,2937,32.6,0,0,0,0,0,9,1,0,0,0,0,0,1.8,1.8,0.4,2.2,0.05,0.01,0.07,0.05,0.07,Matches
