Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Holger Badstuber\Holger-Badstuber,de GER,DFMF,Stuttgart,28,1989,27,24,2173,24.1,2,0,2,0,0,2,0,0.08,0,0.08,0.08,0.08,1.2,1.2,0,1.2,0.05,0,0.05,0.05,0.05,Matches
Daniel Baier\Daniel-Baier,de GER,MF,Augsburg,33,1984,29,29,2538,28.2,0,2,0,0,0,6,0,0,0.07,0.07,0,0.07,0.8,0.8,2,2.8,0.03,0.07,0.1,0.03,0.1,Matches
Leon Bailey\Leon-Bailey,jm JAM,FWDF,Leverkusen,19,1997,30,25,2215,24.6,9,6,9,0,0,2,0,0.37,0.24,0.61,0.37,0.61,6.7,6.7,5.8,12.5,0.27,0.23,0.51,0.27,0.51,Matches
Marvin Bakalorz\Marvin-Bakalorz,de GER,MF,Hannover 96,27,1989,28,23,2055,22.8,0,1,0,0,0,4,0,0,0.04,0.04,0,0.04,1.5,1.5,1.8,3.3,0.07,0.08,0.15,0.07,0.15,Matches
Ridle Baku\Ridle-Baku,de GER,MF,Mainz 05,19,1998,3,3,233,2.6,2,0,2,0,0,1,0,0.77,0,0.77,0.77,0.77,0.8,0.8,0.2,1,0.3,0.08,0.38,0.3,0.38,Matches
Leon Balogun\Leon-Balogun,ng NGA,DF,Mainz 05,29,1988,14,14,1173,13,0,0,0,0,0,5,1,0,0,0,0,0,0.3,0.3,0,0.3,0.02,0,0.02,0.02,0.02,Matches
Philipp Bargfrede\Philipp-Bargfrede,de GER,MF,Werder Bremen,28,1989,27,23,1859,20.7,1,1,1,0,0,5,0,0.05,0.05,0.1,0.05,0.1,0.5,0.5,0.7,1.2,0.02,0.04,0.06,0.02,0.06,Matches
Aymen Barkok\Aymen-Barkok,ma MAR,MFFW,Eint Frankfurt,19,1998,9,2,314,3.5,0,1,0,0,0,1,0,0,0.29,0.29,0,0.29,0.1,0.1,0.6,0.7,0.03,0.17,0.2,0.03,0.2,Matches
Fin Bartels\Fin-Bartels,de GER,FW,Werder Bremen,30,1987,14,14,1121,12.5,2,3,2,0,0,0,0,0.16,0.24,0.4,0.16,0.4,3,3,3.5,6.5,0.24,0.28,0.52,0.24,0.52,Matches
Marc Bartra\Marc-Bartra,es ESP,DF,Dortmund,26,1991,12,9,807,9,2,1,2,0,0,1,0,0.22,0.11,0.33,0.22,0.33,0.4,0.4,0.9,1.3,0.04,0.1,0.14,0.04,0.14,Matches
Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Dortmund,23,1993,10,9,839,9.3,7,1,7,0,0,2,0,0.75,0.11,0.86,0.75,0.86,5.9,5.9,0.5,6.4,0.64,0.05,0.69,0.64,0.69,Matches
Robert Bauer\Robert-Bauer,de GER,DF,Werder Bremen,22,1995,16,12,956,10.6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.2,0.2,0,0.01,0.02,0,0.02,Matches
Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,27,1990,34,34,3060,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Timo Baumgartl\Timo-Baumgartl,de GER,DF,Stuttgart,21,1996,29,29,2610,29,0,0,0,0,0,4,0,0,0,0,0,0,0.6,0.6,0.4,1,0.02,0.01,0.03,0.02,0.03,Matches
Julian Baumgartlinger\Julian-Baumgartlinger,at AUT,MFDF,Leverkusen,29,1988,22,17,1393,15.5,1,0,1,0,0,3,0,0.06,0,0.06,0.06,0.06,0.9,0.9,0.5,1.4,0.06,0.03,0.09,0.06,0.09,Matches
Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee,ng NGA,FWMF,Hannover 96,20,1996,7,0,118,1.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Riechedly Bazoer\Riechedly-Bazoer,nl NED,MF,Wolfsburg,20,1996,13,6,592,6.6,0,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0.05,0.01,0.06,0.05,0.06,Matches
Ihlas Bebou\Ihlas-Bebou,tg TOG,MFFW,Hannover 96,23,1994,30,20,2140,23.8,5,2,5,0,0,3,0,0.21,0.08,0.29,0.21,0.29,6,6,5.8,11.7,0.25,0.24,0.49,0.25,0.49,Matches
Andreas Beck\Andreas-Beck,de GER,DFMF,Stuttgart,30,1987,23,22,1927,21.4,1,1,1,0,0,5,0,0.05,0.05,0.09,0.05,0.09,0.3,0.3,1.5,1.7,0.01,0.07,0.08,0.01,0.08,Matches
Ishak Belfodil\Ishak-Belfodil,dz ALG,FW,Werder Bremen,25,1992,26,13,1350,15,4,1,4,0,0,1,0,0.27,0.07,0.33,0.27,0.33,5,5,2.1,7.1,0.33,0.14,0.48,0.33,0.48,Matches
Stefan Bell\Stefan-Bell,de GER,DF,Mainz 05,25,1991,25,24,2177,24.2,1,0,1,0,0,8,0,0.04,0,0.04,0.04,0.04,1.3,1.3,0.7,1.9,0.05,0.03,0.08,0.05,0.08,Matches
Karim Bellarabi\Karim-Bellarabi,de GER,FWMF,Leverkusen,27,1990,24,13,1146,12.7,1,3,1,0,0,2,0,0.08,0.24,0.31,0.08,0.31,3.2,3.2,4.7,8,0.25,0.37,0.63,0.25,0.63,Matches
Lars Bender\Lars-Bender,de GER,DFMF,Leverkusen,28,1989,21,20,1595,17.7,2,4,2,0,0,5,0,0.11,0.23,0.34,0.11,0.34,1.7,1.7,3.2,4.8,0.09,0.18,0.27,0.09,0.27,Matches
Sven Bender\Sven-Bender,de GER,DF,Leverkusen,28,1989,29,29,2345,26.1,2,0,2,0,0,0,0,0.08,0,0.08,0.08,0.08,1.7,1.7,0.4,2.1,0.07,0.02,0.08,0.07,0.08,Matches
László Bénes\Laszlo-Benes,sk SVK,MF,M'Gladbach,19,1997,2,0,38,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.09,0.2,0.29,0.09,0.29,Matches
Marcel Benger\Marcel-Benger,de GER,MF,M'Gladbach,19,1998,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Charlison Benschop\Charlison-Benschop,cw CUW,MFFW,Hannover 96,27,1989,7,2,184,2,1,0,1,0,0,0,0,0.49,0,0.49,0.49,0.49,0.4,0.4,0.1,0.5,0.22,0.03,0.25,0.22,0.25,Matches
Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Schalke 04,22,1994,16,12,1011,11.2,4,3,0,4,4,3,1,0.36,0.27,0.62,0,0.27,3.4,0.4,0.7,1.1,0.31,0.06,0.37,0.03,0.09,Matches
