Player,Nation,Pos,Squad,Age,Born,MP,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Rubén García\Ruben-Garcia,es ESP,MFFW,Osasuna,27-289,1993,33,2459,27.3,3,4,2,1,1,2,0,0.11,0.15,0.26,0.07,0.22,Matches
Sergi García\Sergi-Garcia,es ESP,MF,Alavés,22-015,1999,2,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Unai García\Unai-Garcia,es ESP,DF,Osasuna,29-085,1992,14,1009,11.2,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Mario Gaspar\Mario-Gaspar,es ESP,DF,Villarreal,30-156,1990,22,1671,18.6,0,2,0,0,0,3,0,0,0.11,0.11,0,0.11,Matches
Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Elche,29-117,1992,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,Matches
David Gil\David-Gil,es ESP,GK,Cádiz,27-108,1994,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Álvaro Giménez\Alvaro-Gimenez,es ESP,FWMF,Cádiz,29-345,1991,11,407,4.5,2,1,2,0,0,0,0,0.44,0.22,0.66,0.44,0.66,Matches
Dani Gómez\Dani-Gomez,es ESP,FW,Levante,22-273,1998,30,1425,15.8,2,1,2,0,0,3,0,0.13,0.06,0.19,0.13,0.19,Matches
Ibai Gómez\Ibai-Gomez,es ESP,MF,Athletic Club,31-169,1989,8,225,2.5,0,1,0,0,0,0,0,0,0.4,0.4,0,0.4,Matches
Maxi Gómez\Maxi-Gomez,uy URU,FW,Valencia,24-258,1996,26,2284,25.4,5,0,5,0,0,7,1,0.2,0,0.2,0.2,0.2,Matches
Moi Gómez\Moi-Gomez,es ESP,MFFW,Villarreal,26-310,1994,30,2237,24.9,3,0,2,1,1,1,0,0.12,0,0.12,0.08,0.08,Matches
Papu Gómez\Papu-Gomez,ar ARG,MFFW,Sevilla,33-073,1988,13,669,7.4,2,1,2,0,0,0,0,0.27,0.13,0.4,0.27,0.4,Matches
Sergi Gómez\Sergi-Gomez,es ESP,DF,Sevilla,29-032,1992,9,719,8,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Sergio Gómez\Sergio-Gomez,es ESP,FWMF,Huesca,20-237,2000,24,586,6.5,0,1,0,0,0,1,0,0,0.15,0.15,0,0.15,Matches
Maxime Gonalons\Maxime-Gonalons,fr FRA,MF,Granada,32-050,1989,20,1140,12.7,0,1,0,0,0,6,1,0,0.08,0.08,0,0.08,Matches
Bruno González\Bruno-Gonzalez,es ESP,DF,Valladolid,30-340,1990,26,2173,24.1,1,0,1,0,0,8,0,0.04,0,0.04,0.04,0.04,Matches
Diego González\Diego-Gonzalez,es ESP,DF,Elche,26-091,1995,16,1010,11.2,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Sergio González\Sergio-Gonzalez,es ESP,MF,Cádiz,23-350,1997,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Urko González\Urko-Gonzalez,es ESP,MF,Real Sociedad,20-040,2001,2,47,0.5,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Andoni Gorosabel\Andoni-Gorosabel,es ESP,DF,Real Sociedad,24-268,1996,28,2048,22.8,0,1,0,0,0,2,0,0,0.04,0.04,0,0.04,Matches
Antoine Griezmann\Antoine-Griezmann,fr FRA,FWMF,Barcelona,30-039,1991,30,2095,23.3,11,6,10,1,2,4,0,0.47,0.26,0.73,0.43,0.69,Matches
Andrés Guardado\Andres-Guardado,mx MEX,MF,Betis,34-213,1986,19,1083,12,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Sergi Guardiola\Sergi-Guardiola,es ESP,FW,Valladolid,29-335,1991,27,1730,19.2,1,2,0,1,2,4,0,0.05,0.1,0.16,0,0.1,Matches
Nemanja Gudelj\Nemanja-Gudelj,rs SRB,MFDF,Sevilla,29-164,1991,26,853,9.5,0,0,0,0,0,6,0,0,0,0,0,0,Matches
Gonçalo Guedes\Goncalo-Guedes,pt POR,MFFW,Valencia,24-151,1996,26,1865,20.7,3,5,3,0,0,3,1,0.14,0.24,0.39,0.14,0.39,Matches
Ander Guevara\Ander-Guevara,es ESP,MF,Real Sociedad,23-296,1997,27,1766,19.6,1,1,1,0,0,4,0,0.05,0.05,0.1,0.05,0.1,Matches
John Guidetti\John-Guidetti,se SWE,FWMF,Alavés,29-014,1992,7,102,1.1,1,0,1,0,0,0,0,0.88,0,0.88,0.88,0.88,Matches
Hugo Guillamón\Hugo-Guillamon,es ESP,DF,Valencia,21-088,2000,20,1564,17.4,1,0,1,0,0,7,0,0.06,0,0.06,0.06,0.06,Matches
Jon Guridi\Jon-Guridi,es ESP,MF,Real Sociedad,26-060,1995,15,696,7.7,0,1,0,0,0,2,0,0,0.13,0.13,0,0.13,Matches
Raúl Guti\Raul-Guti,es ESP,MF,Elche,24-120,1996,32,2582,28.7,2,0,2,0,0,3,0,0.07,0,0.07,0.07,0.07,Matches
Marcos Mauro López Gutiérrez\Marcos-Mauro-Lopez-Gutierrez,ar ARG,DF,Cádiz,30-110,1991,21,1555,17.3,1,0,1,0,0,2,1,0.06,0,0.06,0.06,0.06,Matches
