Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
René Adler\Rene-Adler,de GER,GK,Mainz 05,32,1985,14,14,1260,14,18,1.29,51,34,66.7,5,3,6,4,28.6,2,1,0,1,0,Matches
Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,27,1990,34,34,3060,34,48,1.41,146,104,69.2,15,10,9,10,29.4,4,3,1,0,25,Matches
Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,26,1990,33,33,2969,33,43,1.3,140,100,70.7,15,9,9,12,36.4,2,2,0,0,0,Matches
Koen Casteels\Koen-Casteels,be BEL,GK,Wolfsburg,25,1992,34,34,3060,34,48,1.41,143,102,70.6,6,15,13,8,23.5,10,6,3,1,33.3,Matches
Michael Esser\Michael-Esser,de GER,GK,Hannover 96,29,1987,3,3,270,3,9,3,21,12,57.1,1,0,2,0,0,1,0,0,1,,Matches
Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Schalke 04,28,1988,34,34,3015,33.5,37,1.1,121,87,71.9,18,9,7,12,35.3,6,3,2,1,40,Matches
Rafa? Gikiewicz\Rafal-Gikiewicz,pl POL,GK,Freiburg,29,1987,2,1,154,1.7,3,1.75,7,4,57.1,1,1,0,0,0,0,0,0,0,,Matches
Péter Gulácsi\Peter-Gulacsi,hu HUN,GK,RB Leipzig,27,1990,33,33,2970,33,52,1.58,143,95,67.1,15,8,10,6,18.2,5,5,0,0,0,Matches
Marwin Hitz\Marwin-Hitz,ch SUI,GK,Augsburg,29,1987,32,32,2880,32,42,1.31,159,118,74.2,10,10,12,9,28.1,2,1,1,0,50,Matches
Timo Horn\Timo-Horn,de GER,GK,Köln,24,1993,34,34,3060,34,70,2.06,197,135,68.5,5,7,22,5,14.7,9,8,1,0,11.1,Matches
Lukáš Hrádecký\Lukas-Hradecky,fi FIN,GK,Eint Frankfurt,27,1989,34,34,3060,34,45,1.32,133,91,67.7,14,7,13,7,20.6,3,2,0,1,0,Matches
Rune Jarstein\Rune-Jarstein,no NOR,GK,Hertha BSC,32,1984,31,31,2790,31,44,1.42,130,92,70,10,10,11,7,22.6,6,5,0,1,0,Matches
Thomas Kraft\Thomas-Kraft,de GER,GK,Hertha BSC,29,1988,3,3,270,3,2,0.67,12,11,91.7,0,3,0,1,33.3,1,1,0,0,0,Matches
