Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Claudio Marchisio\Claudio-Marchisio,it ITA,MF,Juventus,31,1986,15,9,817,9.1,0,1,0,0,0,1,0,0,0.11,0.11,0,0.11,0.3,0.3,0.8,1,0.03,0.08,0.11,0.03,0.11,Matches
Gian Marco Ferrari\Gian-Marco-Ferrari,it ITA,DF,Sampdoria,25,1992,30,29,2645,29.4,2,0,2,0,0,4,0,0.07,0,0.07,0.07,0.07,1,1,0.4,1.4,0.03,0.01,0.05,0.03,0.05,Matches
João Mário\Joao-Mario,pt POR,MFFW,Inter,24,1993,14,5,554,6.2,0,1,0,0,0,0,0,0,0.16,0.16,0,0.16,1.3,1.3,1.5,2.8,0.21,0.25,0.46,0.21,0.46,Matches
Bruno Martella\Bruno-Martella,it ITA,DF,Crotone,24,1992,30,30,2616,29.1,1,3,1,0,0,3,0,0.03,0.1,0.14,0.03,0.14,1.1,1.1,2.4,3.5,0.04,0.08,0.12,0.04,0.12,Matches
Adam Maruši?\Adam-Marusic,me MNE,DFMF,Lazio,24,1992,32,28,2523,28,3,4,3,0,0,3,1,0.11,0.14,0.25,0.11,0.25,3.2,3.2,3,6.2,0.11,0.11,0.22,0.11,0.22,Matches
Andrea Masiello\Andrea-Masiello,it ITA,DF,Atalanta,31,1986,31,30,2707,30.1,4,0,4,0,0,5,0,0.13,0,0.13,0.13,0.13,3,3,0.3,3.3,0.1,0.01,0.11,0.1,0.11,Matches
Adam Masina\Adam-Masina,ma MAR,DF,Bologna,23,1994,34,33,2830,31.4,0,1,0,0,0,8,1,0,0.03,0.03,0,0.03,2,2,1.8,3.8,0.06,0.06,0.12,0.06,0.12,Matches
Ryder Matos\Ryder-Matos,br BRA,FWMF,Hellas Verona,24,1993,14,11,978,10.9,0,1,0,0,0,1,0,0,0.09,0.09,0,0.09,1.3,1.3,0.9,2.2,0.12,0.08,0.21,0.12,0.21,Matches
Ryder Matos\Ryder-Matos,br BRA,MF,Udinese,24,1993,4,1,170,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.07,0.03,0.1,0.07,0.1,Matches
Alessandro Matri\Alessandro-Matri,it ITA,FW,Sassuolo,32,1984,23,7,914,10.2,3,0,2,1,3,1,0,0.3,0,0.3,0.2,0.2,7.3,5,0.8,5.8,0.73,0.08,0.8,0.5,0.58,Matches
Federico Mattiello\Federico-Mattiello,it ITA,DF,SPAL,22,1995,29,24,2204,24.5,0,0,0,0,0,7,2,0,0,0,0,0,0.8,0.8,0.6,1.4,0.03,0.03,0.06,0.03,0.06,Matches
Blaise Matuidi\Blaise-Matuidi,fr FRA,MF,Juventus,30,1987,32,27,2354,26.2,3,1,3,0,0,3,0,0.11,0.04,0.15,0.11,0.15,2.6,2.6,0.9,3.5,0.1,0.04,0.13,0.1,0.13,Matches
José Mauri\Jose-Mauri,it ITA,MF,Milan,21,1996,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.59,0,0.59,0.59,0.59,Matches
Maurício\Mauricio,br BRA,DF,Lazio,28,1988,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Luca Mazzitelli\Luca-Mazzitelli,it ITA,MF,Sassuolo,21,1995,20,10,1017,11.3,0,1,0,0,0,4,0,0,0.09,0.09,0,0.09,1.5,1.5,0.7,2.2,0.14,0.06,0.2,0.14,0.2,Matches
Ibrahima Mbaye\Ibrahima-Mbaye,sn SEN,DF,Bologna,22,1994,25,18,1760,19.6,1,0,1,0,0,4,2,0.05,0,0.05,0.05,0.05,1.2,1.2,0.4,1.6,0.06,0.02,0.08,0.06,0.08,Matches
Iuri Medeiros\Iuri-Medeiros,pt POR,FWMF,Genoa,23,1994,11,7,641,7.1,2,1,2,0,0,1,0,0.28,0.14,0.42,0.28,0.42,1.1,1.1,1.9,3,0.15,0.27,0.42,0.15,0.42,Matches
Riccardo Meggiorini\Riccardo-Meggiorini,it ITA,FW,Chievo,31,1985,15,10,786,8.7,0,0,0,0,0,2,0,0,0,0,0,0,1.2,1.2,0.8,1.9,0.13,0.09,0.22,0.13,0.22,Matches
Ledian Memushaj\Ledian-Memushaj,al ALB,MF,Benevento,30,1986,17,15,1258,14,0,0,0,0,0,3,0,0,0,0,0,0,0.9,0.9,1.4,2.2,0.06,0.1,0.16,0.06,0.16,Matches
Alex Meret\Alex-Meret,it ITA,GK,SPAL,20,1997,13,13,1158,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Dries Mertens\Dries-Mertens,be BEL,FW,Napoli,30,1987,38,35,3002,33.4,18,7,14,4,5,4,0,0.54,0.21,0.75,0.42,0.63,15.7,11.9,6.9,18.8,0.47,0.21,0.68,0.35,0.56,Matches
