Player,Nation,Pos,Squad,Age,Born,MP,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Valon Behrami\Valon-Behrami,ch SUI,MF,Genoa,36-011,1985,23,720,8,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Andrea Belotti\Andrea-Belotti,it ITA,FW,Torino,27-131,1993,30,2530,28.1,12,6,9,3,4,4,0,0.43,0.21,0.64,0.32,0.53,Matches
Ahmad Benali\Ahmad-Benali,ly LBY,MF,Crotone,29-082,1992,13,833,9.3,0,1,0,0,0,2,0,0,0.11,0.11,0,0.11,Matches
Ismaël Bennacer\Ismael-Bennacer,dz ALG,MF,Milan,23-150,1997,16,1033,11.5,0,1,0,0,0,2,0,0,0.09,0.09,0,0.09,Matches
Rodrigo Bentancur\Rodrigo-Bentancur,uy URU,MF,Juventus,23-329,1997,29,2085,23.2,0,4,0,0,0,6,0,0,0.17,0.17,0,0.17,Matches
Domenico Berardi\Domenico-Berardi,it ITA,FWMF,Sassuolo,26-272,1994,25,2035,22.6,14,5,9,5,5,4,0,0.62,0.22,0.84,0.4,0.62,Matches
Álex Berenguer\Alex-Berenguer,es ESP,MF,Torino,25-300,1995,2,131,1.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Bartosz Bereszy?ski\Bartosz-Bereszynski,pl POL,DF,Sampdoria,28-292,1992,27,2247,25,1,0,1,0,0,2,0,0.04,0,0.04,0.04,0.04,Matches
Federico Bernardeschi\Federico-Bernardeschi,it ITA,DFMF,Juventus,27-073,1994,25,891,9.9,0,2,0,0,0,3,0,0,0.2,0.2,0,0.2,Matches
Daniel Bessa\Daniel-Bessa,it ITA,MFFW,Hellas Verona,28-106,1993,15,409,4.5,0,2,0,0,0,1,0,0,0.44,0.44,0,0.44,Matches
Cristiano Biraghi\Cristiano-Biraghi,it ITA,DF,Fiorentina,28-241,1992,30,2401,26.7,1,4,1,0,0,8,0,0.04,0.15,0.19,0.04,0.19,Matches
Davide Biraschi\Davide-Biraschi,it ITA,DF,Genoa,26-302,1994,12,825,9.2,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Jeremie Boga\Jeremie-Boga,ci CIV,FWMF,Sassuolo,24-117,1997,23,1480,16.4,3,2,3,0,0,0,0,0.18,0.12,0.3,0.18,0.3,Matches
Giacomo Bonaventura\Giacomo-Bonaventura,it ITA,MF,Fiorentina,31-251,1989,29,1867,20.7,2,2,2,0,0,5,0,0.1,0.1,0.19,0.1,0.19,Matches
Federico Bonazzoli\Federico-Bonazzoli,it ITA,FW,Sampdoria,23-344,1997,2,131,1.5,0,1,0,0,0,0,0,0,0.69,0.69,0,0.69,Matches
Federico Bonazzoli\Federico-Bonazzoli,it ITA,FW,Torino,23-344,1997,17,455,5.1,2,2,2,0,0,2,0,0.4,0.4,0.79,0.4,0.79,Matches
Kevin Bonifazi\Kevin-Bonifazi,it ITA,DF,Udinese,24-346,1996,25,2026,22.5,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Leonardo Bonucci\Leonardo-Bonucci,it ITA,DF,Juventus,33-364,1987,23,1803,20,2,0,2,0,0,4,0,0.1,0,0.1,0.1,0.1,Matches
Mehdi Bourabia\Mehdi-Bourabia,ma MAR,MF,Sassuolo,29-266,1991,12,471,5.2,1,0,1,0,0,2,0,0.19,0,0.19,0.19,0.19,Matches
Jayden Braaf\Jayden-Braaf,nl NED,FW,Udinese,18-242,2002,4,116,1.3,1,0,1,0,0,0,0,0.78,0,0.78,0.78,0.78,Matches
Gleison Bremer\Gleison-Bremer,br BRA,DF,Torino,24-043,1997,27,2395,26.6,4,0,4,0,0,1,0,0.15,0,0.15,0.15,0.15,Matches
Marcelo Brozovi?\Marcelo-Brozovic,hr CRO,MF,Inter,28-165,1992,29,2277,25.3,1,6,1,0,0,6,0,0.04,0.24,0.28,0.04,0.28,Matches
Gastón Brugman\Gaston-Brugman,uy URU,MF,Parma,28-235,1992,23,1490,16.6,1,1,1,0,0,7,0,0.06,0.06,0.12,0.06,0.12,Matches
Juan Brunetta\Juan-Brunetta,ar ARG,FWMF,Parma,23-353,1997,8,290,3.2,0,2,0,0,0,2,0,0,0.62,0.62,0,0.62,Matches
Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,Juventus,43-092,1978,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Alessandro Buongiorno\Alessandro-Buongiorno,it ITA,DF,Torino,21-328,1999,8,560,6.2,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Maxime Busi\Maxime-Busi,be BEL,DF,Parma,21-198,1999,19,825,9.2,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Martín Cáceres\Martin-Caceres,uy URU,DF,Fiorentina,34-023,1987,24,1815,20.2,2,2,2,0,0,1,0,0.1,0.1,0.2,0.1,0.2,Matches
Felipe Caicedo\Felipe-Caicedo,ec ECU,FW,Lazio,32-237,1988,23,899,10,8,0,7,1,1,5,0,0.8,0,0.8,0.7,0.7,Matches
Arturo Calabresi\Arturo-Calabresi,it ITA,DFFW,Bologna,25-044,1996,1,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Arturo Calabresi\Arturo-Calabresi,it ITA,DF,Cagliari,25-044,1996,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Davide Calabria\Davide-Calabria,it ITA,DF,Milan,24-145,1996,27,2300,25.6,2,1,2,0,0,6,0,0.08,0.04,0.12,0.08,0.12,Matches
Riccardo Calafiori\Riccardo-Calafiori,it ITA,DF,Roma,18-346,2002,3,66,0.7,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Mattia Caldara\Mattia-Caldara,it ITA,DF,Atalanta,26-360,1994,6,111,1.2,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Luca Caldirola\Luca-Caldirola,it ITA,DF,Benevento,30-088,1991,21,1221,13.6,2,0,2,0,0,4,0,0.15,0,0.15,0.15,0.15,Matches
