Player,Nation,Pos,Squad,Age,Born,MP,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Adama Soumaoro\Adama-Soumaoro,fr FRA,DF,Lille,24,1992,27,2326,25.8,0,0,0,0,0,1,1,0,0,0,0,0,Matches
Arnaud Souquet\Arnaud-Souquet,fr FRA,DFMF,Nice,24,1992,26,2340,26,1,4,1,0,0,3,0,0.04,0.15,0.19,0.04,0.19,Matches
Sébastien Squillaci\Sebastien-Squillaci,fr FRA,DF,Bastia,35,1980,10,855,9.5,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Bassem Srarfi\Bassem-Srarfi,tn TUN,FWMF,Nice,19,1997,5,41,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mariusz St_pi_ski\Mariusz-Stepinski,pl POL,FW,Nantes,21,1995,21,1174,13,4,3,4,0,0,1,0,0.31,0.23,0.54,0.31,0.54,Matches
Danijel Suba_i_\Danijel-Subasic,hr CRO,GK,Monaco,31,1984,36,3240,36,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Gilles Sunu\Gilles-Sunu,tg TOG,FW,Angers,25,1991,23,814,9,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Stoppila Sunzu\Stoppila-Sunzu,zm ZAM,DF,Lille,27,1989,4,198,2.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Seydou Sy\Seydou-Sy,sn SEN,GK,Monaco,20,1995,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Issiaga Sylla\Issiaga-Sylla,gn GUI,MFDF,Toulouse,22,1994,27,1674,18.6,1,1,1,0,0,6,0,0.05,0.05,0.11,0.05,0.11,Matches
Yacouba Sylla\Yacouba-Sylla,ml MLI,MF,Montpellier,25,1990,19,1076,12,1,0,1,0,0,4,0,0.08,0,0.08,0.08,0.08,Matches
Alexander Søderlund\Alexander-Soderlund,no NOR,FW,Saint-Étienne,28,1987,17,903,10,1,1,1,0,0,2,0,0.1,0.1,0.2,0.1,0.2,Matches
Mehdi Tahrat\Mehdi-Tahrat,dz ALG,MF,Angers,26,1990,7,297,3.3,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Flavien Tait\Flavien-Tait,fr FRA,FWMF,Angers,23,1993,11,438,4.9,2,2,2,0,0,1,0,0.41,0.41,0.82,0.41,0.82,Matches
Oussama Tannane\Oussama-Tannane,ma MAR,FWMF,Saint-Étienne,22,1994,17,1279,14.2,1,1,1,0,0,3,2,0.07,0.07,0.14,0.07,0.14,Matches
Júlio Tavares\Julio-Tavares,cv CPV,FW,Dijon,27,1988,35,2760,30.7,9,3,7,2,2,3,0,0.29,0.1,0.39,0.23,0.33,Matches
