Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Antonio Adán\Antonio-Adan,es ESP,GK,Atlético Madrid,31,1987,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
Aday\Aday,es ESP,DFMF,Girona,30,1987,7.2,2,0,0,6,8,0,41,8,7,0,0,0,38,0,4,0,Matches
Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,37,1981,10.5,5,0,0,28,8,12,9,1,3,0,1,0,25,38,44,46.3,Matches
Luis Advíncula\Luis-Advincula,pe PER,DF,Rayo Vallecano,28,1990,26.5,6,2,2,48,46,0,49,16,34,2,0,0,217,19,22,46.3,Matches
Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,22,1996,22.6,4,0,0,24,28,0,30,28,28,0,0,0,208,19,23,45.2,Matches
Juan Aguilera\Juan-Aguilera,es ESP,MF,Huesca,32,1985,3.8,1,0,0,3,6,0,2,2,2,0,1,0,37,2,4,33.3,Matches
Carlos Akapo\Carlos-Akapo,gq EQG,DF,Huesca,25,1993,11.4,2,0,0,16,13,0,8,17,17,0,0,0,98,15,11,57.7,Matches
Sergio Akieme\Sergio-Akieme,es ESP,DF,Rayo Vallecano,20,1997,2,0,0,0,2,2,0,6,1,3,0,0,1,14,0,3,0,Matches
Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,29,1989,33.2,6,0,0,25,19,9,85,41,33,1,0,0,298,11,20,35.5,Matches
Pedro Alcalá\Pedro-Alcala,es ESP,DF,Girona,29,1989,20.8,9,0,0,21,13,2,3,29,20,0,0,0,194,63,37,63,Matches
Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,27,1991,33.1,13,0,0,69,109,1,19,34,66,0,0,0,445,35,55,38.9,Matches
Álex Alegría\Alex-Alegria,es ESP,FWMF,Rayo Vallecano,25,1992,1.6,0,0,0,7,4,3,1,0,1,0,0,0,8,5,3,62.5,Matches
Iván Alejo\Ivan-Alejo,es ESP,MFFW,Getafe,23,1995,1.6,2,1,0,10,7,0,2,0,0,0,0,0,11,2,2,50,Matches
Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,20,1998,7.1,2,0,0,9,14,1,1,4,3,0,0,0,48,4,2,66.7,Matches
Alexander\Alexander,ar ARG,DF,Leganés,29,1988,0.1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,,Matches
Júnior Alonso\Junior-Alonso,py PAR,DFMF,Celta Vigo,25,1993,6,2,0,0,6,2,1,13,3,6,0,0,0,54,13,5,72.2,Matches
Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,26,1992,11.9,1,0,0,19,6,1,1,10,22,0,0,0,152,27,18,60,Matches
Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,31,1986,13,1,0,0,1,0,0,0,0,0,0,1,0,71,0,0,,Matches
Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,23,1995,29,10,0,0,31,24,0,3,49,35,0,0,0,266,73,54,57.5,Matches
Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MFDF,Sevilla,25,1993,8.5,2,0,0,12,10,1,2,7,20,0,0,0,89,18,19,48.6,Matches
Jordi Amat\Jordi-Amat,es ESP,DF,Rayo Vallecano,26,1992,30.7,9,0,0,47,9,1,1,30,28,0,2,0,287,34,25,57.6,Matches
Amath\Amath,sn SEN,MFFW,Getafe,22,1996,11.1,4,0,0,27,21,3,18,11,10,0,0,0,84,9,11,45,Matches
Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,34,1984,11,1,0,0,0,1,0,0,0,0,0,0,0,50,0,0,,Matches
José Ángel\Jose-Angel,es ESP,DF,Eibar,28,1989,33.6,10,0,0,22,17,1,142,40,44,0,1,0,430,38,24,61.3,Matches
Antoñito\Antonito,es ESP,DFMF,Valladolid,30,1987,20.7,5,0,0,29,12,5,65,11,13,0,0,0,145,10,14,41.7,Matches
Vitorino Antunes\Vitorino-Antunes,pt POR,DF,Getafe,31,1987,24.2,5,0,0,37,20,1,83,25,26,0,0,0,246,14,30,31.8,Matches
Anuar\Anuar,ma MAR,MF,Valladolid,23,1995,12,6,0,0,29,15,4,4,7,19,0,0,0,126,22,28,44,Matches
Emmanuel Apeh\Emmanuel-Apeh,ng NGA,MF,Celta Vigo,21,1996,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,22,1995,29.7,8,0,0,65,57,1,18,25,54,0,1,1,351,38,43,46.9,Matches
Guilherme Arana\Guilherme-Arana,br BRA,MFDF,Sevilla,21,1997,7,3,0,0,5,8,0,10,3,5,0,0,0,50,2,1,66.7,Matches
Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,26,1991,29.8,3,1,1,15,4,1,3,23,24,0,1,0,259,59,29,67,Matches
Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,31,1987,21.7,6,1,1,14,5,0,7,28,18,0,0,0,318,40,27,59.7,Matches
Santiago Arias\Santiago-Arias,co COL,DF,Atlético Madrid,26,1992,19.7,4,0,0,21,32,2,43,25,34,0,0,0,206,35,28,55.6,Matches
José Arnaiz\Jose-Arnaiz,es ESP,DFMF,Leganés,23,1995,1.3,0,0,0,1,4,0,1,1,1,0,0,0,10,3,2,60,Matches
Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,29,1989,32,0,0,0,0,3,0,0,0,0,0,0,0,115,0,0,,Matches
Marco Asensio\Marco-Asensio,es ESP,FW,Real Madrid,22,1996,19.8,3,0,0,18,21,8,72,15,8,3,0,0,103,1,8,11.1,Matches
Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,30,1987,25,5,0,0,16,43,7,31,16,10,1,0,0,126,16,32,33.3,Matches
Ezequiel Ávila\Ezequiel-Avila,ar ARG,FWMF,Huesca,24,1994,22.2,12,1,1,38,46,10,39,18,15,0,0,0,131,54,53,50.5,Matches
