Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Alfred Gomis\Alfred-Gomis,sn SEN,GK,SPAL,23,1993,26,25,2261,25.1,43,1.71,136,99,72.8,6,7,12,3,12,7,6,1,0,14.3,Matches
Samir Handanovi?\Samir-Handanovic,si SVN,GK,Inter,33,1984,38,38,3420,38,30,0.79,119,94,76.5,20,12,6,17,44.7,2,2,0,0,0,Matches
Eugenio Lamanna\Eugenio-Lamanna,it ITA,GK,Genoa,27,1989,1,1,90,1,1,1,3,2,66.7,0,0,1,0,0,0,0,0,0,,Matches
Gabriele Marchegiani\Gabriele-Marchegiani,it ITA,GK,SPAL,21,1996,1,0,1,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,Matches
Alex Meret\Alex-Meret,it ITA,GK,SPAL,20,1997,13,13,1158,12.9,16,1.24,56,45,76.8,2,7,4,4,30.8,6,3,2,1,40,Matches
Vanja Milinkovi?-Savi?\Vanja-Milinkovic-Savic,rs SRB,GK,Torino,20,1997,1,1,90,1,1,1,4,3,75,1,0,0,0,0,0,0,0,0,,Matches
Antonio Mirante\Antonio-Mirante,it ITA,GK,Bologna,34,1983,33,33,2970,33,46,1.39,143,100,69.2,10,5,18,7,21.2,3,2,0,1,0,Matches
Gianluca Pegolo\Gianluca-Pegolo,it ITA,GK,Sassuolo,36,1981,2,1,104,1.2,1,0.87,5,5,80,0,0,1,0,0,0,0,0,0,,Matches
Mattia Perin\Mattia-Perin,it ITA,GK,Genoa,24,1992,37,37,3330,37,42,1.14,167,131,77.2,11,8,18,12,32.4,4,4,0,0,0,Matches
Carlo Pinsoglio\Carlo-Pinsoglio,it ITA,GK,Juventus,27,1990,1,0,28,0.3,1,3.21,2,1,50,0,0,0,0,,0,0,0,0,,Matches
Christian Puggioni\Christian-Puggioni,it ITA,GK,Benevento,36,1981,14,14,1179,13.1,26,1.98,59,37,64.4,3,1,9,2,14.3,6,5,0,1,0,Matches
Christian Puggioni\Christian-Puggioni,it ITA,GK,Sampdoria,36,1981,9,9,810,9,12,1.33,49,40,81.6,5,2,2,5,55.6,3,3,0,0,0,Matches
Rafael\Rafael,br BRA,GK,Cagliari,35,1982,10,8,794,8.8,11,1.25,39,28,74.4,4,2,3,1,12.5,1,1,0,0,0,Matches
Pepe Reina\Pepe-Reina,es ESP,GK,Napoli,34,1982,37,37,3330,37,29,0.78,98,70,72.4,28,6,3,18,48.6,2,2,0,0,0,Matches
Francesco Rossi\Francesco-Rossi,it ITA,GK,Atalanta,26,1991,1,0,8,0.1,1,11.25,2,1,50,0,0,0,0,,0,0,0,0,,Matches
Antonio Santurro\Antonio-Santurro,it ITA,GK,Bologna,25,1992,1,1,90,1,1,1,5,4,80,0,1,0,0,0,0,0,0,0,,Matches
Simone Scuffet\Simone-Scuffet,it ITA,GK,Udinese,21,1996,6,6,540,6,11,1.83,26,16,57.7,1,0,5,1,16.7,1,0,1,0,100,Matches
Luigi Sepe\Luigi-Sepe,it ITA,GK,Napoli,26,1991,1,1,90,1,0,0,1,1,100,0,1,0,1,100,0,0,0,0,,Matches
Marco Silvestri\Marco-Silvestri,it ITA,GK,Hellas Verona,26,1991,2,2,180,2,7,3.5,25,18,72,0,0,2,0,0,0,0,0,0,,Matches
Salvatore Sirigu\Salvatore-Sirigu,it ITA,GK,Torino,30,1987,37,37,3330,37,45,1.22,160,120,75,12,15,10,10,27,8,5,3,0,37.5,Matches
?ukasz Skorupski\Lukasz-Skorupski,pl POL,GK,Roma,26,1991,1,1,90,1,0,0,3,3,100,1,0,0,1,100,0,0,0,0,,Matches
Stefano Sorrentino\Stefano-Sorrentino,it ITA,GK,Chievo,38,1979,38,38,3420,38,59,1.55,180,126,69.4,10,10,18,7,18.4,8,4,3,1,42.9,Matches
Marco Sportiello\Marco-Sportiello,it ITA,GK,Fiorentina,25,1992,37,37,3202,35.6,38,1.07,134,95,73.1,16,9,11,14,37.8,3,2,1,0,33.3,Matches
Thomas Strakosha\Thomas-Strakosha,al ALB,GK,Lazio,22,1995,38,38,3420,38,49,1.29,153,112,73.9,21,9,8,11,28.9,11,9,1,1,10,Matches
Wojciech Szcz?sny\Wojciech-Szczesny,pl POL,GK,Juventus,27,1990,17,17,1530,17,9,0.53,34,24,73.5,13,3,1,11,64.7,0,0,0,0,,Matches
Emiliano Viviano\Emiliano-Viviano,it ITA,GK,Sampdoria,31,1985,27,27,2430,27,43,1.59,129,89,68.2,11,4,12,6,22.2,6,2,4,0,66.7,Matches
