Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Alisson\Alisson,br BRA,GK,Roma,24,1992,37,37,3330,37,28,0.76,135,107,81.5,22,8,7,17,45.9,5,3,2,0,40,Matches
Nícolas Andrade\Nicolas-Andrade,br BRA,GK,Hellas Verona,29,1988,36,36,3240,36,71,1.97,231,167,71.9,7,4,25,7,19.4,8,6,2,0,25,Matches
Vid Belec\Vid-Belec,si SVN,GK,Sampdoria,27,1990,2,2,180,2,5,2.5,15,11,73.3,0,0,2,0,0,1,1,0,0,0,Matches
Vid Belec\Vid-Belec,si SVN,GK,Benevento,27,1990,13,13,1113,12.4,32,2.59,73,51,60.3,2,0,10,1,7.7,3,3,0,0,0,Matches
Etrit Berisha\Etrit-Berisha,al ALB,GK,Atalanta,28,1989,31,31,2790,31,34,1.1,99,66,66.7,13,10,8,8,25.8,2,1,1,0,50,Matches
Albano Bizzarri\Albano-Bizzarri,ar ARG,GK,Udinese,39,1977,32,32,2880,32,52,1.62,137,91,63.5,11,4,17,8,25,5,2,2,1,50,Matches
Alberto Brignoli\Alberto-Brignoli,it ITA,GK,Benevento,25,1991,13,11,1126,12.5,31,2.48,71,42,59.2,1,2,10,2,18.2,4,2,0,2,0,Matches
Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,Juventus,39,1978,21,21,1862,20.7,14,0.68,58,48,81,17,2,2,11,52.4,4,3,1,0,25,Matches
Andrea Consigli\Andrea-Consigli,it ITA,GK,Sassuolo,30,1987,37,37,3316,36.8,58,1.57,172,117,67.4,11,10,16,10,27,3,2,1,0,33.3,Matches
Alex Cordaz\Alex-Cordaz,it ITA,GK,Crotone,34,1983,38,38,3420,38,66,1.74,199,138,69.8,9,8,21,5,13.2,8,6,1,1,14.3,Matches
Angelo da Costa Júnior\Angelo-da-Costa-Junior,br BRA,GK,Bologna,33,1983,4,4,360,4,5,1.25,16,12,75,1,0,3,1,25,1,1,0,0,0,Matches
Alessio Cragno\Alessio-Cragno,it ITA,GK,Cagliari,23,1994,29,29,2536,28.2,47,1.67,121,80,66.1,7,4,17,7,24.1,10,6,2,2,25,Matches
Luca Crosta\Luca-Crosta,it ITA,GK,Cagliari,19,1998,1,1,90,1,3,3,2,0,0,0,0,1,0,0,1,1,0,0,0,Matches
Gianluigi Donnarumma\Gianluigi-Donnarumma,it ITA,GK,Milan,18,1999,38,38,3420,38,42,1.11,131,92,69.5,18,10,10,12,31.6,3,2,0,1,0,Matches
Bart?omiej Dr?gowski\Bartlomiej-Dragowski,pl POL,GK,Fiorentina,19,1997,3,1,217,2.4,8,3.32,18,10,55.6,0,0,2,0,0,0,0,0,0,,Matches
Pierluigi Gollini\Pierluigi-Gollini,it ITA,GK,Atalanta,22,1995,7,7,622,6.9,4,0.58,17,13,76.5,3,2,2,3,42.9,0,0,0,0,,Matches
