Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Mikel Merino\Mikel-Merino,es ESP,DF,Dortmund,20,1996,3.3,1,0,0,0,7,0,1,13,11,0,0,0,Matches
Max Meyer\Max-Meyer,de GER,MFFW,Schalke 04,20,1995,18.5,4,0,0,11,30,4,53,10,16,0,0,0,Matches
Tom Mickel\Tom-Mickel,de GER,GK,Hamburger SV,27,1989,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Alexander Miloševi?\Alexander-Milosevic,se SWE,DF,Darmstadt 98,24,1992,17.7,4,0,0,17,5,1,0,34,11,0,2,0,Matches
Maximilian Mittelstädt\Maximilian-Mittelstadt,de GER,DFMF,Hertha BSC,19,1997,5.2,4,2,1,11,5,1,14,15,16,0,1,0,Matches
Filip Mladenovi?\Filip-Mladenovic,rs SRB,DFMF,Köln,24,1991,0.1,0,0,0,0,1,0,0,0,0,0,0,0,Matches
Justin Möbius\Justin-Mobius,de GER,MF,Wolfsburg,19,1997,0.5,0,0,0,0,1,0,0,1,0,0,0,0,Matches
Anthony Modeste\Anthony-Modeste,fr FRA,FW,Köln,28,1988,33,3,0,0,46,65,57,13,18,14,1,0,0,Matches
Niklas Moisander\Niklas-Moisander,fi FIN,DF,Werder Bremen,30,1985,29.5,5,0,0,32,22,0,2,67,35,0,2,0,Matches
Emre Mor\Emre-Mor,tr TUR,MFFW,Dortmund,19,1997,5.3,0,1,0,10,18,0,15,6,7,0,0,0,Matches
Alfredo Morales\Alfredo-Morales,us USA,MF,Ingolstadt 04,26,1990,19,5,2,1,33,38,4,5,64,23,0,0,0,Matches
Jan Morávek\Jan-Moravek,cz CZE,MF,Augsburg,26,1989,7.7,2,0,0,28,4,1,1,17,23,0,0,0,Matches
Nicolai Müller\Nicolai-Muller,de GER,MF,Hamburger SV,28,1987,21.1,4,0,0,61,45,11,28,28,40,0,0,0,Matches
Sven Müller\Sven-Muller,de GER,GK,Köln,20,1996,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Thomas Müller\Thomas-Muller,de GER,MFFW,Bayern Munich,26,1989,25.1,0,0,0,20,22,17,38,21,13,1,0,0,Matches
Maurice Multhaup\Maurice-Multhaup,de GER,MF,Ingolstadt 04,19,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Yoshinori Mut?\Yoshinori-Muto,jp JPN,FW,Mainz 05,24,1992,11.4,3,0,0,24,19,15,2,5,6,2,0,0,Matches
Mats Møller Dæhli\Mats-Moller-Daehli,no NOR,MF,Freiburg,21,1995,0.3,0,0,0,0,1,0,0,0,0,0,0,0,Matches
Naldo\Naldo,br BRA,DF,Schalke 04,33,1982,18,1,1,0,22,11,0,0,54,20,0,1,0,Matches
Matija Nastasi?\Matija-Nastasic,rs SRB,DF,Schalke 04,23,1993,21.4,6,0,0,33,10,1,0,49,27,0,1,0,Matches
Manuel Neuer\Manuel-Neuer,de GER,GK,Bayern Munich,30,1986,26,0,0,0,0,2,0,0,1,0,0,0,0,Matches
Florian Niederlechner\Florian-Niederlechner,de GER,FW,Freiburg,25,1990,26.8,4,0,0,52,52,20,5,14,18,1,0,0,Matches
