Rk,Squad,GF,GA,GD,Pts,Attendance
,,,,,,
1,Juventus,77,27,50,91,39936
2,Roma,90,38,52,87,32638
3,Napoli,94,39,55,86,36601
4,Atalanta,62,41,21,72,16948
5,Lazio,74,51,23,70,20453
6,Milan,57,45,12,63,40326
7,Inter,72,49,23,62,46622
8,Fiorentina,63,57,6,60,26470
9,Torino,71,66,5,53,19327
10,Sampdoria,49,55,-6,48,19852
11,Cagliari,55,76,-21,47,12998
12,Sassuolo,58,63,-5,46,12362
13,Udinese,47,56,-9,45,17878
14,Chievo,43,61,-18,43,11632
15,Bologna,40,58,-18,41,21189
16,Genoa,38,64,-26,36,21335
17,Crotone,34,58,-24,34,8212
18,Empoli,29,61,-32,32,9409
19,Palermo,33,77,-44,26,13204
20,Pescara,37,81,-44,18,13543
