Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Sunderland,24,1990,33,2,0,,16,,,,,,,,,Matches
Rolando Aarons\Rolando-Aarons,eng ENG,DFMF,Newcastle Utd,19,1995,4.2,1,0,,9,,,,,,,,,Matches
Almen Abdi\Almen-Abdi,ch SUI,MF,Watford,28,1986,21.9,4,0,,38,,,,,,,,,Matches
Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,17,1997,0.6,0,0,,2,,,,,,,,,Matches
Charlie Adam\Charlie-Adam,sco SCO,MF,Stoke City,29,1985,11.6,6,1,,30,,,,,,,,,Matches
Emmanuel Adebayor\Emmanuel-Adebayor,tg TOG,FW,Crystal Palace,31,1984,6.9,1,0,,10,,,,,,,,,Matches
Adrián\Adrian,es ESP,GK,West Ham,28,1987,32,1,1,,0,,,,,,,,,Matches
Ibrahim Afellay\Ibrahim-Afellay,nl NED,MF,Stoke City,29,1986,23.4,3,1,,19,,,,,,,,,Matches
Benik Afobe\Benik-Afobe,cd COD,FW,Bournemouth,22,1993,10.3,0,0,,15,,,,,,,,,Matches
Gabby Agbonlahor\Gabby-Agbonlahor,eng ENG,FW,Aston Villa,28,1986,11.5,0,0,,21,,,,,,,,,Matches
Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,27,1988,26.2,1,0,,20,,,,,,,,,Matches
Nathan Aké\Nathan-Ake,nl NED,DF,Watford,20,1995,20.8,4,1,,28,,,,,,,,,Matches
Marc Albrighton\Marc-Albrighton,eng ENG,MF,Leicester City,25,1989,30.5,4,0,,21,,,,,,,,,Matches
Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,26,1989,38,3,0,,9,,,,,,,,,Matches
Joe Allen\Joe-Allen,wal WAL,MF,Liverpool,25,1990,8.2,0,0,,14,,,,,,,,,Matches
Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,19,1996,27.4,7,0,,49,,,,,,,,,Matches
Ryan Allsop\Ryan-Allsop,eng ENG,GK,Bournemouth,23,1992,0.5,0,0,,0,,,,,,,,,Matches
Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,20,1994,1.2,0,0,,0,,,,,,,,,Matches
Jordi Amat\Jordi-Amat,es ESP,DF,Swansea City,23,1992,5.1,0,0,,4,,,,,,,,,Matches
Jordan Amavi\Jordan-Amavi,fr FRA,DF,Aston Villa,21,1994,9.3,2,0,,18,,,,,,,,,Matches
Nordin Amrabat\Nordin-Amrabat,ma MAR,MFFW,Watford,28,1987,5.6,3,1,,15,,,,,,,,,Matches
José Ángel Crespo\Jose-Angel-Crespo,es ESP,FW,Aston Villa,28,1987,1,0,0,,1,,,,,,,,,Matches
Victor Anichebe\Victor-Anichebe,ng NGA,FW,West Brom,27,1988,4.1,0,0,,2,,,,,,,,,Matches
Vurnon Anita\Vurnon-Anita,cw CUW,MFDF,Newcastle Utd,26,1989,23.3,6,0,,29,,,,,,,,,Matches
Michail Antonio\Michail-Antonio,eng ENG,MFFW,West Ham,25,1990,22.9,3,0,,27,,,,,,,,,Matches
Ikechi Anya\Ikechi-Anya,sco SCO,MFDF,Watford,27,1988,18.7,0,0,,1,,,,,,,,,Matches
Giedrius Arlauskis\Giedrius-Arlauskis,lt LTU,GK,Watford,27,1987,0.3,0,0,,0,,,,,,,,,Matches
Marko Arnautovi?\Marko-Arnautovic,at AUT,MFFW,Stoke City,26,1989,31.2,2,0,,49,,,,,,,,,Matches
Harry Arter\Harry-Arter,ie IRL,MF,Bournemouth,25,1989,18.5,7,0,,23,,,,,,,,,Matches
Mikel Arteta\Mikel-Arteta,es ESP,MF,Arsenal,33,1982,1.9,1,0,,8,,,,,,,,,Matches
Charlie Austin\Charlie-Austin,eng ENG,FW,Southampton,26,1989,2.3,0,0,,3,,,,,,,,,Matches
André Ayew\Andre-Ayew,gh GHA,MFFW,Swansea City,25,1989,32.5,5,0,,36,,,,,,,,,Matches
Jordan Ayew\Jordan-Ayew,gh GHA,FW,Aston Villa,23,1991,26.1,6,1,,48,,,,,,,,,Matches
César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,25,1989,35.5,7,0,,38,,,,,,,,,Matches
Leandro Bacuna\Leandro-Bacuna,cw CUW,DFMF,Aston Villa,23,1991,26.9,7,0,,36,,,,,,,,,Matches
Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,30,1984,16.4,0,0,,6,,,,,,,,,Matches
