Player,Nation,Pos,Squad,Age,Born,MP,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Zeki Çelik\Zeki-Celik,tr TUR,DF,Lille,24-072,1997,25,2037,22.6,2,2,2,0,0,6,0,0.09,0.09,0.18,0.09,0.18,Matches
Bersant Celina\Bersant-Celina,xk KVX,MFFW,Dijon,24-233,1996,30,2168,24.1,0,5,0,0,0,5,0,0,0.21,0.21,0,0.21,Matches
Fabien Centonze\Fabien-Centonze,fr FRA,DF,Metz,25-104,1996,32,2861,31.8,1,0,1,0,0,8,0,0.03,0,0.03,0.03,0.03,Matches
Fouad Chafik\Fouad-Chafik,ma MAR,DF,Dijon,34-196,1986,19,1275,14.2,1,0,1,0,0,5,0,0.07,0,0.07,0.07,0.07,Matches
Mehdi Chahiri\Mehdi-Chahiri,ma MAR,FWMF,Strasbourg,24-279,1996,23,801,8.9,2,0,2,0,0,0,0,0.22,0,0.22,0.22,0.22,Matches
Aníbal Chalá\Anibal-Chala,ec ECU,DF,Dijon,24-356,1996,12,699,7.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Trevoh Chalobah\Trevoh-Chalobah,eng ENG,MFDF,Lorient,21-299,1999,25,1877,20.9,1,1,1,0,0,5,0,0.05,0.05,0.1,0.05,0.1,Matches
Gaëtan Charbonnier\Gaetan-Charbonnier,fr FRA,MFFW,Brest,32-124,1988,32,1224,13.6,6,1,5,1,1,3,0,0.44,0.07,0.51,0.37,0.44,Matches
Brendan Chardonnet\Brendan-Chardonnet,fr FRA,DF,Brest,26-129,1994,29,2356,26.2,3,1,3,0,0,2,1,0.11,0.04,0.15,0.11,0.15,Matches
Xavier Chavalerin\Xavier-Chavalerin,fr FRA,MF,Reims,30-054,1991,26,2187,24.3,0,2,0,0,0,8,0,0,0.08,0.08,0,0.08,Matches
Pape Cheikh Diop\Pape-Cheikh-Diop,sn SEN,MF,Dijon,23-265,1997,21,1089,12.1,0,0,0,0,0,5,0,0,0,0,0,0,Matches
Rayan Cherki\Rayan-Cherki,fr FRA,FWMF,Lyon,17-256,2003,23,554,6.2,0,1,0,0,0,1,1,0,0.16,0.16,0,0.16,Matches
Pedro Chirivella\Pedro-Chirivella,es ESP,MF,Nantes,23-342,1997,28,1920,21.3,0,2,0,0,0,4,0,0,0.09,0.09,0,0.09,Matches
Joris Chotard\Joris-Chotard,fr FRA,MF,Montpellier,19-218,2001,25,978,10.9,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Mounir Chouiar\Mounir-Chouiar,fr FRA,FWMF,Dijon,22-097,1999,20,1162,12.9,0,2,0,0,1,5,0,0,0.15,0.15,0,0.15,Matches
Sébastien Cibois\Sebastien-Cibois,fr FRA,GK,Brest,23-059,1998,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Alexis Claude-Maurice\Alexis-Claude-Maurice,fr FRA,MFFW,Nice,22-328,1998,27,1692,18.8,4,2,4,0,0,1,0,0.21,0.11,0.32,0.21,0.32,Matches
Jonathan Clauss\Jonathan-Clauss,fr FRA,DF,Lens,28-217,1992,29,2185,24.3,3,6,3,0,0,1,0,0.12,0.25,0.37,0.12,0.37,Matches
Marcus Coco\Marcus-Coco,fr FRA,MFFW,Nantes,24-310,1996,28,1412,15.7,0,2,0,0,0,4,0,0,0.13,0.13,0,0.13,Matches
Racine Coly\Racine-Coly,sn SEN,DF,Nice,25-143,1995,1,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Daniel Congré\Daniel-Congre,fr FRA,DF,Montpellier,36-025,1985,34,2998,33.3,2,0,2,0,0,4,0,0.06,0,0.06,0.06,0.06,Matches
Sébastien Corchia\Sebastien-Corchia,fr FRA,DF,Nantes,30-180,1990,21,1709,19,0,1,0,0,0,3,0,0,0.05,0.05,0,0.05,Matches
Maxwel Cornet\Maxwel-Cornet,ci CIV,DFFW,Lyon,24-215,1996,32,2086,23.2,2,5,2,0,0,5,0,0.09,0.22,0.3,0.09,0.3,Matches
David Pereira da Costa\David-Pereira-da-Costa,pt POR,MFFW,Lens,20-115,2001,6,141,1.6,1,1,1,0,0,0,0,0.64,0.64,1.28,0.64,1.28,Matches
Benoît Costil\Benoit-Costil,fr FRA,GK,Bordeaux,33-301,1987,34,3060,34,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Kalifa Coulibaly\Kalifa-Coulibaly,ml MLI,FW,Nantes,29-252,1991,13,694,7.7,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Lassana Coulibaly\Lassana-Coulibaly,ml MLI,MF,Angers,25-020,1996,28,1673,18.6,1,1,1,0,0,4,0,0.05,0.05,0.11,0.05,0.11,Matches
Senou Coulibaly\Senou-Coulibaly,ml MLI,DF,Dijon,26-238,1994,19,1664,18.5,2,0,2,0,0,6,1,0.11,0,0.11,0.11,0.11,Matches
Nicolas Cozza\Nicolas-Cozza,fr FRA,DF,Montpellier,22-112,1999,17,1108,12.3,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Adrián Cubas\Adrian-Cubas,py PAR,MF,Nîmes,24-343,1996,24,1979,22,1,0,1,0,0,6,1,0.05,0,0.05,0.05,0.05,Matches
Mickaël Cuisance\Mickael-Cuisance,fr FRA,MF,Marseille,21-257,1999,23,1024,11.4,2,1,2,0,0,3,0,0.18,0.09,0.26,0.18,0.26,Matches
Damien Da Silva\Damien-Da-Silva,fr FRA,DF,Rennes,32-348,1988,27,2397,26.6,4,0,4,0,0,7,0,0.15,0,0.15,0.15,0.15,Matches
Colin Dagba\Colin-Dagba,fr FRA,DF,Paris S-G,22-233,1998,21,1085,12.1,1,2,1,0,0,3,0,0.08,0.17,0.25,0.08,0.25,Matches
Flavius Daniliuc\Flavius-Daniliuc,at AUT,DF,Nice,20-003,2001,20,1341,14.9,1,0,1,0,0,0,0,0.07,0,0.07,0.07,0.07,Matches
Dante\Dante,br BRA,DF,Nice,37-194,1983,9,774,8.6,2,1,2,0,0,2,0,0.23,0.12,0.35,0.23,0.35,Matches
Jonathan David\Jonathan-David,ca CAN,FW,Lille,21-106,2000,33,2036,22.6,11,1,11,0,0,0,0,0.49,0.04,0.53,0.49,0.53,Matches
Mattia De Sciglio\Mattia-De-Sciglio,it ITA,DF,Lyon,28-192,1992,26,1271,14.1,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Thibault De Smet\Thibault-De-Smet,be BEL,DF,Reims,22-329,1998,7,406,4.5,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Lucas Deaux\Lucas-Deaux,fr FRA,MFDF,Nîmes,32-125,1988,22,1647,18.3,1,1,1,0,0,4,1,0.05,0.05,0.11,0.05,0.11,Matches
Mathieu Debuchy\Mathieu-Debuchy,fr FRA,DF,Saint-Étienne,35-276,1985,23,1843,20.5,1,1,1,0,0,5,0,0.05,0.05,0.1,0.05,0.1,Matches
Romain Del Castillo\Romain-Del-Castillo,fr FRA,MFFW,Rennes,25-032,1996,22,587,6.5,0,5,0,0,0,1,0,0,0.77,0.77,0,0.77,Matches
Thomas Delaine\Thomas-Delaine,fr FRA,DF,Metz,29-037,1992,22,1600,17.8,3,1,3,0,0,4,0,0.17,0.06,0.23,0.17,0.23,Matches
Jonathan Delaplace\Jonathan-Delaplace,fr FRA,DF,Lorient,35-041,1986,18,906,10.1,0,1,0,0,0,1,1,0,0.1,0.1,0,0.1,Matches
Andy Delort\Andy-Delort,dz ALG,FW,Montpellier,29-203,1991,26,2136,23.7,12,9,12,0,0,4,0,0.51,0.38,0.88,0.51,0.88,Matches
Moussa Dembélé\Moussa-Dembele,fr FRA,FW,Lyon,24-292,1996,16,677,7.5,1,0,1,0,0,3,0,0.13,0,0.13,0.13,0.13,Matches
Jason Denayer\Jason-Denayer,be BEL,DF,Lyon,25-306,1995,28,2406,26.7,1,0,1,0,0,1,0,0.04,0,0.04,0.04,0.04,Matches
Kevin Denkey\Kevin-Denkey,tg TOG,FW,Nîmes,20-151,2000,10,524,5.8,1,1,1,0,0,3,0,0.17,0.17,0.34,0.17,0.34,Matches
Memphis Depay\Memphis-Depay,nl NED,FW,Lyon,27-076,1994,34,2653,29.5,18,9,10,8,8,4,0,0.61,0.31,0.92,0.34,0.64,Matches
Ángel Di María\Angel-Di-Maria,ar ARG,FWMF,Paris S-G,33-075,1988,24,1638,18.2,5,9,5,0,0,1,0,0.27,0.49,0.77,0.27,0.77,Matches
Boulaye Dia\Boulaye-Dia,sn SEN,FWMF,Reims,24-165,1996,32,2593,28.8,14,1,9,5,5,2,0,0.49,0.03,0.52,0.31,0.35,Matches
Abdou Diallo\Abdou-Diallo,sn SEN,DF,Paris S-G,24-361,1996,19,1274,14.2,0,1,0,0,0,3,2,0,0.07,0.07,0,0.07,Matches
Habib Diallo\Habib-Diallo,sn SEN,FW,Strasbourg,25-316,1995,28,2028,22.5,8,3,7,1,1,1,0,0.36,0.13,0.49,0.31,0.44,Matches
Habib Diallo\Habib-Diallo,sn SEN,FW,Metz,25-316,1995,4,143,1.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ibrahima Diallo\Ibrahima-Diallo,fr FRA,MF,Brest,22-053,1999,5,440,4.9,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Stéphane Diarra\Stephane-Diarra,fr FRA,FWMF,Lorient,22-142,1998,11,183,2,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Raphael Dias Belloli\Raphael-Dias-Belloli,br BRA,FWMF,Rennes,24-137,1996,6,404,4.5,1,2,1,0,0,0,0,0.22,0.45,0.67,0.22,0.67,Matches
Krepin Diatta\Krepin-Diatta,sn SEN,MFDF,Monaco,22-064,1999,10,350,3.9,1,0,1,0,0,3,0,0.26,0,0.26,0.26,0.26,Matches
Tristan Dingomé\Tristan-Dingome,cm CMR,MF,Reims,30-072,1991,1,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Sinaly Diomande\Sinaly-Diomande,ci CIV,DF,Lyon,20-021,2001,24,977,10.9,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Lois Diony\Lois-Diony,fr FRA,FW,Angers,28-131,1992,32,1548,17.2,4,1,3,1,1,2,0,0.23,0.06,0.29,0.17,0.23,Matches
Sofiane Diop\Sofiane-Diop,fr FRA,MFFW,Monaco,20-325,2000,32,2023,22.5,7,1,7,0,0,4,0,0.31,0.04,0.36,0.31,0.36,Matches
Yehvann Diouf\Yehvann-Diouf,fr FRA,GK,Reims,21-165,1999,2,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Assane Dioussé\Assane-Diousse,sn SEN,DF,Saint-Étienne,23-222,1997,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Axel Disasi\Axel-Disasi,fr FRA,DF,Monaco,23-050,1998,25,1858,20.6,3,0,3,0,0,4,2,0.15,0,0.15,0.15,0.15,Matches
Tiago Djaló\Tiago-Djalo,pt POR,DF,Lille,21-021,2000,16,783,8.7,0,0,0,0,0,4,1,0,0,0,0,0,Matches
Alexander Djiku\Alexander-Djiku,gh GHA,DFMF,Strasbourg,26-264,1994,26,2192,24.4,0,0,0,0,0,7,0,0,0,0,0,0,Matches
Mihai Dobre\Mihai-Dobre,ro ROU,FWMF,Dijon,22-243,1998,20,448,5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jeremy Doku\Jeremy-Doku,be BEL,MFFW,Rennes,18-338,2002,26,1992,22.1,2,2,2,0,0,1,1,0.09,0.09,0.18,0.09,0.18,Matches
Kasper Dolberg\Kasper-Dolberg,dk DEN,FW,Nice,23-206,1997,21,1568,17.4,5,2,3,2,2,2,0,0.29,0.11,0.4,0.17,0.29,Matches
Keagan Dolly\Keagan-Dolly,za RSA,MF,Montpellier,28-098,1993,16,405,4.5,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Anastasios Donis\Anastasios-Donis,gr GRE,MF,Reims,24-244,1996,3,97,1.1,0,0,0,0,0,0,1,0,0,0,0,0,Matches
Lucas Douath\Lucas-Douath,fr FRA,MF,Saint-Étienne,17-268,2003,26,1136,12.6,0,0,0,0,0,7,0,0,0,0,0,0,Matches
Cheick Doucouré\Cheick-Doucoure,ml MLI,MF,Lens,21-112,2000,29,2298,25.5,2,1,2,0,0,8,0,0.08,0.04,0.12,0.08,0.12,Matches
Fodé Doucouré\Fode-Doucoure,ml MLI,DF,Reims,20-086,2001,6,327,3.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Moussa Doumbia\Moussa-Doumbia,ml MLI,MFFW,Reims,26-258,1994,22,839,9.3,0,1,0,0,0,1,0,0,0.11,0.11,0,0.11,Matches
Souleyman Doumbia\Souleyman-Doumbia,ci CIV,DF,Angers,24-218,1996,26,2188,24.3,0,1,0,0,0,8,0,0,0.04,0.04,0,0.04,Matches
Mouhamadou Drammeh\Mouhamadou-Drammeh,fr FRA,MF,Reims,21-350,1999,6,173,1.9,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Julian Draxler\Julian-Draxler,de GER,MFFW,Paris S-G,27-222,1993,21,857,9.5,4,2,4,0,0,3,0,0.42,0.21,0.63,0.42,0.63,Matches
Matthieu Dreyer\Matthieu-Dreyer,fr FRA,GK,Lorient,32-041,1989,15,1350,15,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Leo Dubois\Leo-Dubois,fr FRA,DF,Lyon,26-228,1994,33,2610,29,2,3,2,0,0,3,0,0.07,0.1,0.17,0.07,0.17,Matches
Haris Duljevi?\Haris-Duljevic,ba BIH,MFFW,Nîmes,27-165,1993,19,768,8.5,0,2,0,0,0,1,0,0,0.23,0.23,0,0.23,Matches
Jean-Kevin Duverne\Jean-Kevin-Duverne,fr FRA,DF,Brest,23-292,1997,23,1731,19.2,1,0,1,0,0,4,0,0.05,0,0.05,0.05,0.05,Matches
Eric Junior Dina Ebimbe\Eric-Junior-Dina-Ebimbe,fr FRA,FWMF,Dijon,20-160,2000,27,1890,21,1,1,1,0,0,5,0,0.05,0.05,0.1,0.05,0.1,Matches
Enzo Ebosse\Enzo-Ebosse,fr FRA,DF,Angers,22-050,1999,6,260,2.9,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Bruno Ecuele Manga\Bruno-Ecuele-Manga,ga GAB,DF,Dijon,32-288,1988,34,3060,34,2,0,2,0,0,2,0,0.06,0,0.06,0.06,0.06,Matches
Hugo Ekitike\Hugo-Ekitike,fr FRA,MFFW,Reims,18-314,2002,2,88,1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Niclas Eliasson\Niclas-Eliasson,se SWE,MFFW,Nîmes,25-144,1995,26,1533,17,4,2,4,0,0,1,0,0.23,0.12,0.35,0.23,0.35,Matches
Sepe Elye Wahi\Sepe-Elye-Wahi,fr FRA,FW,Montpellier,18-118,2003,15,448,5,3,0,3,0,0,1,0,0.6,0,0.6,0.6,0.6,Matches
Renaud Emond\Renaud-Emond,be BEL,FW,Nantes,29-146,1991,18,327,3.6,2,0,2,0,0,1,0,0.55,0,0.55,0.55,0.55,Matches
Yoann Etienne\Yoann-Etienne,fr FRA,DF,Lorient,23-346,1997,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Fábio\Fabio,br BRA,DF,Nantes,30-295,1990,21,1504,16.7,0,1,0,0,0,5,1,0,0.06,0.06,0,0.06,Matches
Cesc Fàbregas\Cesc-Fabregas,es ESP,MF,Monaco,33-361,1987,19,804,8.9,2,3,0,2,2,2,0,0.22,0.34,0.56,0,0.34,Matches
Bandiougou Fadiga\Bandiougou-Fadiga,fr FRA,MF,Brest,20-105,2001,4,43,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Bandiougou Fadiga\Bandiougou-Fadiga,fr FRA,FWMF,Paris S-G,20-105,2001,6,63,0.7,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Wout Faes\Wout-Faes,be BEL,DF,Reims,23-027,1998,30,2629,29.2,1,0,1,0,0,13,2,0.03,0,0.03,0.03,0.03,Matches
Romain Faivre\Romain-Faivre,fr FRA,MFFW,Brest,22-290,1998,32,2545,28.3,5,4,4,1,1,0,0,0.18,0.14,0.32,0.14,0.28,Matches
Wuilker Faríñez\Wuilker-Farinez,ve VEN,GK,Lens,23-074,1998,2,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Noah Fatar\Noah-Fatar,fr FRA,FWMF,Angers,19-074,2002,2,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Julien Faussurier\Julien-Faussurier,fr FRA,DF,Brest,34-106,1987,15,775,8.6,0,3,0,0,0,2,0,0,0.35,0.35,0,0.35,Matches
Zinedine Ferhat\Zinedine-Ferhat,dz ALG,MFFW,Nîmes,28-060,1993,30,2693,29.9,5,8,4,1,1,2,0,0.17,0.27,0.43,0.13,0.4,Matches
