Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Aymen Abdennour\Aymen-Abdennour,tn TUN,DF,Marseille,27,1989,5.6,3,0,0,7,6,0,0,2,6,0,0,0,57,3,0,100,Matches
2,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Dijon,24,1992,13.1,2,0,0,27,17,2,7,15,14,0,0,0,142,3,5,37.5,Matches
3,Khaled Adénon\Khaled-Adenon,bj BEN,DF,Amiens,32,1985,32.5,9,0,0,51,40,1,1,50,27,0,1,0,394,23,22,51.1,Matches
4,Ruben Aguilar\Ruben-Aguilar,fr FRA,DFMF,Montpellier,24,1993,27.3,2,0,0,28,49,3,83,33,27,0,0,0,211,9,14,39.1,Matches
5,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Strasbourg,23,1994,33.4,4,0,0,43,49,1,1,71,42,0,0,0,405,20,14,58.8,Matches
6,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Caen,21,1996,22.8,4,0,0,24,26,0,9,37,28,0,0,0,298,6,13,31.6,Matches
7,David Alcibiade\David-Alcibiade,fr FRA,DF,Nantes,25,1991,2.3,0,0,0,2,2,1,5,4,1,0,0,0,25,1,1,50,Matches
8,Júnior Alonso\Junior-Alonso,py PAR,DF,Lille,24,1993,30.9,3,0,0,29,10,0,6,42,26,0,0,1,420,49,17,74.2,Matches
9,Dani Alves\Dani-Alves,br BRA,DF,Paris S-G,34,1983,22.9,7,1,0,40,35,4,73,28,52,0,0,0,231,9,8,52.9,Matches
10,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MFDF,Lille,24,1993,26.7,3,0,0,23,19,0,4,31,30,0,1,0,263,16,13,55.2,Matches
11,Morgan Amalfitano\Morgan-Amalfitano,fr FRA,MF,Rennes,32,1985,8.3,2,3,1,8,14,0,15,8,1,0,0,0,57,0,3,0,Matches
12,Romain Amalfitano\Romain-Amalfitano,fr FRA,MF,Dijon,27,1989,30,5,0,0,35,52,0,18,68,34,0,0,0,308,6,12,33.3,Matches
13,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,23,1994,24.4,7,0,0,33,22,1,46,49,22,0,1,0,288,19,9,67.9,Matches
14,Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,19,1998,35,3,1,0,30,17,0,31,36,24,0,0,0,298,14,18,43.8,Matches
15,Benjamin André\Benjamin-Andre,fr FRA,MF,Rennes,26,1990,33.5,11,2,1,67,51,1,21,66,50,0,0,0,448,80,87,47.9,Matches
16,Yoann Andreu\Yoann-Andreu,fr FRA,DF,Angers,28,1989,23,4,0,0,18,15,0,55,42,25,0,0,0,236,9,16,36,Matches
17,Houssem Aouar\Houssem-Aouar,fr FRA,MFFW,Lyon,19,1998,27,1,0,0,21,47,6,17,45,31,0,0,0,229,12,16,42.9,Matches
18,Luiz Araújo\Luiz-Araujo,br BRA,FWMF,Lille,21,1996,22.4,5,0,0,28,26,6,55,6,17,0,0,0,140,1,5,16.7,Matches
