Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Diego Falcinelli\Diego-Falcinelli,it ITA,FW,Crotone,25,1991,35,35,3124,34.7,13,2,11,2,2,7,0,0.37,0.06,0.43,0.32,0.37,Matches
Diego Falcinelli\Diego-Falcinelli,it ITA,FW,Sassuolo,25,1991,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Iago Falque\Iago-Falque,es ESP,FWMF,Torino,26,1990,35,31,2516,28,12,8,10,2,5,2,0,0.43,0.29,0.72,0.36,0.64,Matches
Paolo Faragò\Paolo-Farago,it ITA,MF,Cagliari,23,1993,9,1,347,3.9,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Davide Faraoni\Davide-Faraoni,it ITA,DF,Udinese,24,1991,5,4,329,3.7,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Diego Farias\Diego-Farias,br BRA,MFFW,Cagliari,26,1990,20,12,1166,13,7,2,5,2,2,4,0,0.54,0.15,0.69,0.39,0.54,Matches
Federico Fazio\Federico-Fazio,ar ARG,DF,Roma,29,1987,37,35,3116,34.6,2,1,2,0,0,3,0,0.06,0.03,0.09,0.06,0.09,Matches
Nicolò Fazzi\Nicolo-Fazzi,it ITA,DFMF,Crotone,21,1995,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Sampdoria,21,1994,33,22,1714,19,5,2,5,0,0,2,0,0.26,0.11,0.37,0.26,0.37,Matches
Matías Fernández\Matias-Fernandez,cl CHI,MF,Milan,30,1986,13,8,652,7.2,1,2,1,0,0,1,0,0.14,0.28,0.41,0.14,0.41,Matches
Alex Ferrari\Alex-Ferrari,it ITA,DF,Bologna,22,1994,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Marco Festa\Marco-Festa,it ITA,GK,Crotone,24,1992,3,2,184,2,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Riccardo Fiamozzi\Riccardo-Fiamozzi,it ITA,MF,Genoa,23,1993,4,1,107,1.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Vincenzo Fiorillo\Vincenzo-Fiorillo,it ITA,GK,Pescara,26,1990,9,9,810,9,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Sergio Floccari\Sergio-Floccari,it ITA,FW,Bologna,34,1981,5,3,240,2.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Alessandro Florenzi\Alessandro-Florenzi,it ITA,DFMF,Roma,25,1991,9,8,747,8.3,0,3,0,0,0,3,0,0,0.36,0.36,0,0.36,Matches
Antonio Floro Flores\Antonio-Floro-Flores,it ITA,FW,Chievo,33,1983,12,6,553,6.1,0,1,0,0,0,0,0,0,0.16,0.16,0,0.16,Matches
Seko Fofana\Seko-Fofana,ci CIV,MF,Udinese,21,1995,22,21,1821,20.2,5,1,5,0,0,3,0,0.25,0.05,0.3,0.25,0.3,Matches
Michele Fornasier\Michele-Fornasier,it ITA,DF,Pescara,22,1993,22,16,1618,18,0,1,0,0,0,4,0,0,0.06,0.06,0,0.06,Matches
Remo Freuler\Remo-Freuler,ch SUI,MF,Atalanta,24,1992,33,29,2611,29,5,4,5,0,0,5,0,0.17,0.14,0.31,0.17,0.31,Matches
Nicolas Frey\Nicolas-Frey,fr FRA,DF,Chievo,32,1984,15,13,1182,13.1,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Andrea Fulignati\Andrea-Fulignati,it ITA,GK,Palermo,21,1994,9,9,810,9,0,0,0,0,0,0,0,0,0,0,0,0,Matches
