Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Antonio Adán\Antonio-Adan,es ESP,GK,Betis,29,1987,37,37,3330,37,62,1.68,197,135,70.6,10,8,19,10,27,5,4,1,0,20,Matches
Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,29,1986,26,26,2340,26,51,1.96,152,101,69.1,8,3,15,5,19.2,5,4,0,1,0,Matches
Diego Alves\Diego-Alves,br BRA,GK,Valencia,31,1985,33,33,2970,33,56,1.7,159,103,67.9,11,7,15,6,18.2,11,5,4,2,44.4,Matches
Jon Ander Serantes\Jon-Ander-Serantes,es ESP,GK,Leganés,26,1989,13,13,1108,12.3,22,1.79,54,32,64.8,4,1,7,4,30.8,3,3,0,0,0,Matches
Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Atlético Madrid,32,1984,9,8,771,8.6,6,0.7,34,28,82.4,5,2,1,5,62.5,0,0,0,0,,Matches
Markel Areitio\Markel-Areitio,es ESP,GK,Eibar,19,1996,1,0,47,0.5,0,0,2,2,100,0,0,0,0,,0,0,0,0,,Matches
Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Athletic Club,21,1994,23,23,2015,22.4,22,0.98,67,45,67.2,14,2,6,7,30.4,0,0,0,0,,Matches
Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,27,1989,24,24,2104,23.4,15,0.64,89,74,84.3,10,9,4,11,45.8,2,1,1,0,50,Matches
Diego Barrios\Diego-Barrios,es ESP,GK,Leganés,22,1994,1,0,63,0.7,1,1.43,2,1,50,0,1,0,0,,0,0,0,0,,Matches
Rubén Blanco\Ruben-Blanco,es ESP,GK,Celta Vigo,21,1995,11,11,990,11,15,1.36,53,38,81.1,5,3,3,2,18.2,5,5,0,0,0,Matches
Denys Boyko\Denys-Boyko,ua UKR,GK,Málaga,28,1988,3,3,270,3,7,2.33,11,4,36.4,0,2,1,0,0,0,0,0,0,,Matches
Claudio Bravo\Claudio-Bravo,cl CHI,GK,Barcelona,33,1983,1,1,90,1,2,2,5,3,60,1,0,0,0,0,0,0,0,0,,Matches
Alberto Brignoli\Alberto-Brignoli,it ITA,GK,Leganés,24,1991,1,0,62,0.7,3,4.35,6,3,50,0,0,1,0,,0,0,0,0,,Matches
Kiko Casilla\Kiko-Casilla,es ESP,GK,Real Madrid,29,1986,11,11,990,11,10,0.91,33,23,72.7,9,2,0,5,45.5,2,1,1,0,50,Matches
Nereo Champagne\Nereo-Champagne,ar ARG,GK,Leganés,31,1985,4,4,360,4,4,1,16,12,75,0,3,1,1,25,0,0,0,0,,Matches
Jasper Cillessen\Jasper-Cillessen,nl NED,GK,Barcelona,27,1989,1,1,90,1,2,2,4,2,50,0,0,1,0,0,0,0,0,0,,Matches
Iván Cuéllar\Ivan-Cuellar,es ESP,GK,Sporting Gijón,32,1984,36,36,3240,36,69,1.92,202,133,68.8,6,10,20,7,19.4,8,6,2,0,25,Matches
Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,25,1990,3,3,270,3,4,1.33,12,8,66.7,2,0,1,1,33.3,0,0,0,0,,Matches
Álvaro Fernández\Alvaro-Fernandez,es ESP,GK,Osasuna,18,1998,1,0,45,0.5,0,0,1,1,100,0,0,0,0,,0,0,0,0,,Matches
Andrés Fernández\Andres-Fernandez,es ESP,GK,Villarreal,29,1986,15,14,1316,14.6,18,1.23,76,58,81.6,9,1,5,5,35.7,4,4,0,0,0,Matches
Mario Fernández\Mario-Fernandez,es ESP,GK,Osasuna,28,1988,7,7,585,6.5,14,2.15,37,23,64.9,0,4,3,1,14.3,3,1,2,0,66.7,Matches
Dani Giménez\Dani-Gimenez,es ESP,GK,Betis,33,1983,1,1,90,1,2,2,5,3,60,0,1,0,0,0,0,0,0,0,,Matches
Iago Herrerín\Iago-Herrerin,es ESP,GK,Leganés,28,1988,21,21,1827,20.3,25,1.23,75,50,70.7,4,6,10,6,28.6,4,3,1,0,25,Matches
Gorka Iraizoz\Gorka-Iraizoz,es ESP,GK,Athletic Club,35,1981,16,15,1405,15.6,21,1.35,64,43,68.8,5,4,7,2,13.3,3,1,2,0,66.7,Matches
Carlos Kameni\Carlos-Kameni,cm CMR,GK,Málaga,32,1984,35,35,3150,35,48,1.37,152,104,72.4,12,8,15,8,22.9,7,6,1,0,14.3,Matches
Raúl Lizoain\Raul-Lizoain,es ESP,GK,Las Palmas,25,1991,13,13,1170,13,28,2.15,72,44,66.7,3,4,6,3,23.1,4,4,0,0,0,Matches
Diego López\Diego-Lopez,es ESP,GK,Espanyol,34,1981,35,35,3110,34.6,38,1.1,153,115,76.5,15,9,11,11,31.4,2,2,0,0,0,Matches
Germán Lux\German-Lux,ar ARG,GK,La Coruña,34,1982,25,25,2205,24.5,38,1.55,116,78,69,5,7,13,6,24,2,2,0,0,0,Matches
Diego Mariño\Diego-Marino,es ESP,GK,Sporting Gijón,26,1990,2,2,180,2,3,1.5,12,9,83.3,1,0,1,0,0,1,1,0,0,0,Matches
Keylor Navas\Keylor-Navas,cr CRC,GK,Real Madrid,29,1986,27,27,2430,27,31,1.15,119,88,74.8,20,4,3,5,18.5,2,1,0,1,0,Matches
Jan Oblak\Jan-Oblak,si SVN,GK,Atlético Madrid,23,1993,30,30,2649,29.4,21,0.71,90,69,80,17,7,5,15,50,4,3,1,0,25,Matches
Guillermo Ochoa\Guillermo-Ochoa,mx MEX,GK,Granada,31,1985,38,38,3420,38,82,2.16,268,186,70.1,4,8,26,3,7.9,4,2,1,1,33.3,Matches
Adrián Ortolá\Adrian-Ortola,es ESP,GK,Alavés,22,1993,2,2,180,2,1,0.5,8,7,87.5,1,1,0,1,50,0,0,0,0,,Matches
Fernando Pacheco\Fernando-Pacheco,es ESP,GK,Alavés,24,1992,36,36,3240,36,42,1.17,169,127,77.5,13,12,11,11,30.6,6,4,2,0,33.3,Matches
