Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Nauzet Pérez\Nauzet-Perez,es ESP,GK,Osasuna,31,1985,13,13,1170,13,29,2.23,70,41,60,1,3,9,0,0,1,1,0,0,0,Matches
Sergio Rico\Sergio-Rico,es ESP,GK,Sevilla,22,1993,35,35,3150,35,45,1.29,162,117,74.1,20,8,7,12,34.3,4,3,1,0,25,Matches
Asier Riesgo\Asier-Riesgo,es ESP,GK,Eibar,32,1983,16,16,1250,13.9,19,1.37,56,37,71.4,5,3,6,4,25,3,3,0,0,0,Matches
Roberto\Roberto,es ESP,GK,Espanyol,30,1986,4,3,310,3.4,12,3.48,23,11,47.8,0,2,1,0,0,0,0,0,0,,Matches
Davy Roef\Davy-Roef,be BEL,GK,La Coruña,22,1994,1,1,90,1,0,0,4,4,100,1,0,0,1,100,0,0,0,0,,Matches
Gerónimo Rulli\Geronimo-Rulli,ar ARG,GK,Real Sociedad,24,1992,38,38,3420,38,53,1.39,166,113,70.5,19,7,12,10,26.3,7,4,1,2,20,Matches
Mathew Ryan\Mathew-Ryan,au AUS,GK,Valencia,24,1992,2,2,180,2,5,2.5,11,6,63.6,0,0,2,0,0,2,1,1,0,50,Matches
Salvatore Sirigu\Salvatore-Sirigu,it ITA,GK,Osasuna,29,1987,18,18,1620,18,51,2.83,109,58,55,3,3,12,1,5.6,4,2,1,1,33.3,Matches
Salvatore Sirigu\Salvatore-Sirigu,it ITA,GK,Sevilla,29,1987,2,2,178,2,3,1.52,8,5,75,0,1,1,0,0,1,1,0,0,0,Matches
David Soria\David-Soria,es ESP,GK,Sevilla,23,1993,1,1,90,1,0,0,2,2,100,1,0,0,1,100,0,0,0,0,,Matches
Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,Barcelona,24,1992,36,36,3240,36,33,0.92,162,129,79.6,27,6,3,13,36.1,0,0,0,0,,Matches
Przemys?aw Tyto?\Przemyslaw-Tyton,pl POL,GK,La Coruña,29,1987,13,12,1125,12.5,23,1.84,58,35,62.1,2,5,5,2,16.7,1,1,0,0,0,Matches
Javi Varas\Javi-Varas,es ESP,GK,Las Palmas,33,1982,25,25,2250,25,47,1.88,125,78,68,7,5,13,2,8,7,7,0,0,0,Matches
Iván Villar\Ivan-Villar,es ESP,GK,Celta Vigo,19,1997,1,1,90,1,3,3,5,2,40,0,0,1,0,0,0,0,0,0,,Matches
Yoel\Yoel,es ESP,GK,Eibar,27,1988,25,22,2124,23.6,32,1.36,121,89,75.2,10,6,8,6,27.3,3,2,1,0,33.3,Matches
