Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,30,1986,30,30,2584,28.7,1,1,1,0,0,5,1,0.03,0.03,0.07,0.03,0.07,Matches
Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,26,1990,20,16,1320,14.7,1,0,1,0,0,3,0,0.07,0,0.07,0.07,0.07,Matches
René Adler\Rene-Adler,de GER,GK,Hamburger SV,31,1985,19,19,1710,19,0,0,0,0,0,1,0,0,0,0,0,0,Matches
David Alaba\David-Alaba,at AUT,DF,Bayern Munich,24,1992,32,29,2506,27.8,4,4,4,0,0,1,0,0.14,0.14,0.29,0.14,0.29,Matches
Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,25,1991,27,26,2288,25.4,6,5,6,0,0,4,0,0.24,0.2,0.43,0.24,0.43,Matches
Sami Allagui\Sami-Allagui,tn TUN,FWMF,Hertha BSC,30,1986,12,0,181,2,1,0,0,1,1,2,0,0.5,0,0.5,0,0,Matches
Allan\Allan,br BRA,MF,Hertha BSC,19,1997,15,8,798,8.9,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Xabi Alonso\Xabi-Alonso,es ESP,MF,Bayern Munich,34,1981,27,22,1903,21.1,3,2,3,0,0,6,0,0.14,0.09,0.24,0.14,0.24,Matches
Halil Alt?ntop\Halil-Altintop,tr TUR,MF,Augsburg,33,1982,31,17,1605,17.8,6,2,6,0,0,1,0,0.34,0.11,0.45,0.34,0.45,Matches
Hamit Alt?ntop\Hamit-Altintop,tr TUR,MF,Darmstadt 98,33,1982,16,15,1362,15.1,0,0,0,0,1,3,0,0,0,0,0,0,Matches
Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Hoffenheim,19,1996,33,20,1989,22.1,2,4,2,0,0,2,0,0.09,0.18,0.27,0.09,0.27,Matches
Dennis Aogo\Dennis-Aogo,de GER,MFDF,Schalke 04,29,1987,7,3,290,3.2,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,27,1989,26,22,1815,20.2,2,2,1,1,2,8,2,0.1,0.1,0.2,0.05,0.15,Matches
Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,22,1994,32,28,2423,26.9,2,3,2,0,0,9,0,0.07,0.11,0.19,0.07,0.19,Matches
Bar?? Atik\Baris-Atik,de GER,MF,Hoffenheim,21,1995,3,0,70,0.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Dortmund,27,1989,32,31,2779,30.9,31,3,29,2,4,3,0,1,0.1,1.1,0.94,1.04,Matches
Donis Avdijaj\Donis-Avdijaj,xk KVX,MF,Schalke 04,19,1996,9,2,298,3.3,2,0,2,0,0,1,0,0.6,0,0.6,0.6,0.6,Matches
Florian Baak\Florian-Baak,de GER,DF,Hertha BSC,17,1999,2,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Holger Badstuber\Holger-Badstuber,de GER,DF,Schalke 04,27,1989,10,10,862,9.6,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Holger Badstuber\Holger-Badstuber,de GER,DF,Bayern Munich,27,1989,1,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Nabil Bahoui\Nabil-Bahoui,se SWE,MF,Hamburger SV,25,1991,1,1,66,0.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Daniel Baier\Daniel-Baier,de GER,MF,Augsburg,32,1984,27,27,2393,26.6,1,3,1,0,0,5,0,0.04,0.11,0.15,0.04,0.15,Matches
Leon Bailey\Leon-Bailey,jm JAM,FWMF,Leverkusen,18,1997,8,0,140,1.6,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Leon Balogun\Leon-Balogun,ng NGA,DF,Mainz 05,28,1988,17,13,1023,11.4,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Patrick Banggaard\Patrick-Banggaard,dk DEN,DF,Darmstadt 98,22,1994,9,9,810,9,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Philipp Bargfrede\Philipp-Bargfrede,de GER,MF,Werder Bremen,27,1989,11,4,455,5.1,1,1,1,0,0,3,0,0.2,0.2,0.4,0.2,0.4,Matches
Aymen Barkok\Aymen-Barkok,ma MAR,MF,Eint Frankfurt,18,1998,18,6,659,7.3,2,2,2,0,0,1,0,0.27,0.27,0.55,0.27,0.55,Matches
Fin Bartels\Fin-Bartels,de GER,FWMF,Werder Bremen,29,1987,31,23,2219,24.7,8,6,8,0,0,4,0,0.32,0.24,0.57,0.32,0.57,Matches
Marc Bartra\Marc-Bartra,es ESP,DF,Dortmund,25,1991,19,18,1560,17.3,0,0,0,0,0,5,0,0,0,0,0,0,Matches
