Rk,Squad,GF,GA,GD,Pts,Attendance
1,Bayern Munich,88,32,56,78,75000
2,Dortmund,81,44,37,76,80841
3,RB Leipzig,63,29,34,66,38380
4,Leverkusen,69,52,17,58,27990
5,M'Gladbach,55,42,13,55,49668
6,Wolfsburg,62,50,12,55,24479
7,Eint Frankfurt,60,48,12,54,49794
8,Werder Bremen,58,49,9,53,41403
9,Hoffenheim,70,52,18,51,28456
10,Düsseldorf,49,65,-16,44,43869
11,Hertha BSC,49,57,-8,43,49258
12,Mainz 05,46,57,-11,43,26246
13,Freiburg,46,61,-15,36,23894
14,Schalke 04,37,55,-18,33,60941
15,Augsburg,51,71,-20,32,28623
16,Stuttgart,32,70,-38,28,54577
17,Hannover 96,31,71,-40,21,38365
18,Nürnberg,26,68,-42,19,40372
