Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,23,1993,15,14,1297,14.4,14,0.97,35,21,62.9,9,2,3,6,42.9,1,1,0,0,0,Matches
2,Loic Badiashile\Loic-Badiashile,fr FRA,GK,Monaco,18,1998,1,0,45,0.5,0,0,2,2,150,1,0,0,1,,1,1,0,0,0,Matches
3,Walter Benítez\Walter-Benitez,ar ARG,GK,Nice,23,1993,3,2,215,2.4,1,0.42,6,5,83.3,0,2,0,1,50,0,0,0,0,,Matches
4,Yoan Cardinale\Yoan-Cardinale,fr FRA,GK,Nice,22,1994,36,36,3205,35.6,35,0.98,154,119,79.9,22,10,4,11,30.6,4,4,0,0,0,Matches
5,Cédric Carrasso\Cedric-Carrasso,fr FRA,GK,Bordeaux,34,1981,24,24,2160,24,22,0.92,71,49,73.2,10,9,5,9,37.5,3,3,0,0,0,Matches
6,Paul Charruau\Paul-Charruau,fr FRA,GK,Bastia,23,1993,1,0,42,0.5,1,2.14,2,1,50,0,0,1,0,,0,0,0,0,,Matches
7,Sergei Chernik\Sergei-Chernik,by BLR,GK,Nancy,28,1988,17,15,1377,15.3,21,1.37,67,46,73.1,3,3,9,5,33.3,3,3,0,0,0,Matches
8,Benoît Costil\Benoit-Costil,fr FRA,GK,Rennes,29,1987,38,38,3420,38,42,1.11,143,101,71.3,12,14,12,12,31.6,4,1,1,2,50,Matches
9,Morgan De Sanctis\Morgan-De-Sanctis,it ITA,GK,Monaco,39,1977,1,1,90,1,1,1,3,2,66.7,1,0,0,0,0,0,0,0,0,,Matches
10,Paul Delecroix\Paul-Delecroix,fr FRA,GK,Lorient,27,1988,7,7,630,7,18,2.57,39,21,59,2,2,3,0,0,2,2,0,0,0,Matches
11,Thomas Didillon\Thomas-Didillon,fr FRA,GK,Metz,20,1995,32,32,2880,32,64,2,192,128,69.3,9,8,15,9,28.1,6,5,1,0,16.7,Matches
12,Matthieu Dreyer\Matthieu-Dreyer,fr FRA,GK,Caen,27,1989,2,2,180,2,2,1,11,9,90.9,1,0,1,1,50,1,1,0,0,0,Matches
13,Maxime Dupé\Maxime-Dupe,fr FRA,GK,Nantes,23,1993,16,16,1440,16,20,1.25,63,43,73,8,3,5,5,31.3,3,3,0,0,0,Matches
14,Vincent Enyeama\Vincent-Enyeama,ng NGA,GK,Lille,33,1982,32,32,2854,31.7,40,1.26,125,85,71.2,10,7,15,8,25,6,4,1,1,20,Matches
15,Mauro Goicoechea\Mauro-Goicoechea,uy URU,GK,Toulouse,28,1988,2,2,180,2,0,0,8,8,100,0,2,0,2,100,0,0,0,0,,Matches
16,Mathieu Gorgelin\Mathieu-Gorgelin,fr FRA,GK,Lyon,25,1990,1,1,90,1,2,2,4,2,50,1,0,0,0,0,0,0,0,0,,Matches
17,Théo Guivarch\Theo-Guivarch,fr FRA,GK,Guingamp,20,1995,1,0,50,0.6,2,3.6,4,2,75,0,0,1,0,,1,1,0,0,0,Matches
18,Karl-Johan Johnsson\Karl-Johan-Johnsson,se SWE,GK,Guingamp,26,1990,37,37,3280,36.4,51,1.4,153,102,70.6,13,8,15,8,21.6,10,6,2,2,25,Matches
19,Geoffrey Jourdren\Geoffrey-Jourdren,fr FRA,GK,Montpellier,30,1986,13,13,1170,13,28,2.15,64,36,60.9,3,4,6,1,7.7,3,3,0,0,0,Matches
20,Eiji Kawashima\Eiji-Kawashima,jp JPN,GK,Metz,33,1983,5,5,450,5,6,1.2,23,17,73.9,2,1,2,1,20,1,0,1,0,100,Matches
21,Alban Lafont\Alban-Lafont,fr FRA,GK,Toulouse,17,1999,36,36,3240,36,41,1.14,158,117,79.1,10,12,14,10,27.8,9,8,1,0,11.1,Matches
22,Jean-Louis Leca\Jean-Louis-Leca,fr FRA,GK,Bastia,30,1985,34,34,3017,33.5,43,1.28,144,101,72.9,8,9,16,8,23.5,8,4,3,1,42.9,Matches
23,Benjamin Lecomte\Benjamin-Lecomte,fr FRA,GK,Lorient,25,1991,31,31,2790,31,52,1.68,162,110,69.1,8,4,19,4,12.9,4,2,1,1,33.3,Matches
24,Benjamin Leroy\Benjamin-Leroy,fr FRA,GK,Dijon,27,1989,1,1,90,1,0,0,2,2,100,0,1,0,1,100,1,0,0,1,,Matches
25,Alexandre Letellier\Alexandre-Letellier,fr FRA,GK,Angers,25,1990,6,6,540,6,9,1.5,26,17,65.4,1,1,4,1,16.7,0,0,0,0,,Matches
26,Anthony Lopes\Anthony-Lopes,pt POR,GK,Lyon,25,1990,37,37,3330,37,46,1.24,141,95,70.9,19,4,13,12,32.4,6,5,1,0,16.7,Matches
27,Mike Maignan\Mike-Maignan,fr FRA,GK,Lille,20,1995,7,6,566,6.3,7,1.11,28,21,75,3,0,3,3,50,0,0,0,0,,Matches
