Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
28,Anthony Maisonnial\Anthony-Maisonnial,fr FRA,GK,Saint-Étienne,18,1998,2,1,168,1.9,2,1.07,12,10,83.3,0,1,1,1,100,0,0,0,0,,Matches
29,Mathieu Michel\Mathieu-Michel,fr FRA,GK,Angers,24,1991,23,23,2070,23,25,1.09,69,44,65.2,11,4,8,8,34.8,1,1,0,0,0,Matches
30,Jessy Moulin\Jessy-Moulin,fr FRA,GK,Saint-Étienne,30,1986,6,6,460,5.1,3,0.59,26,23,88.5,3,1,1,2,33.3,0,0,0,0,,Matches
31,Guy N'dy Assembé\Guy-Ndy-Assembe,cm CMR,GK,Nancy,30,1986,23,23,2043,22.7,31,1.37,103,72,73.8,6,5,12,6,26.1,5,4,1,0,20,Matches
32,David Oberhauser\David-Oberhauser,fr FRA,GK,Metz,25,1990,1,1,90,1,2,2,4,2,50,0,1,0,0,0,0,0,0,0,,Matches
33,Yohann Pelé\Yohann-Pele,fr FRA,GK,Marseille,33,1982,38,38,3420,38,41,1.08,163,122,76.1,17,11,10,18,47.4,2,2,0,0,0,Matches
34,Denis Petri_\Denis-Petric,rs SRB,GK,Angers,28,1988,9,9,810,9,15,1.67,32,17,56.3,1,2,6,0,0,1,1,0,0,0,Matches
35,Laurent Pionnier\Laurent-Pionnier,fr FRA,GK,Montpellier,34,1982,25,25,2250,25,38,1.52,106,68,67.9,7,5,13,6,24,4,4,0,0,0,Matches
36,Jérôme Prior\Jerome-Prior,fr FRA,GK,Bordeaux,20,1995,14,14,1260,14,21,1.5,68,47,70.6,5,5,4,4,28.6,1,1,0,0,0,Matches
37,Paul Reulet\Paul-Reulet,fr FRA,GK,Caen,22,1994,3,2,197,2.2,8,3.65,16,8,50,0,1,1,0,0,0,0,0,0,,Matches
38,Baptiste Reynet\Baptiste-Reynet,fr FRA,GK,Dijon,25,1990,37,37,3330,37,58,1.57,198,140,75.3,8,12,17,9,24.3,11,9,1,1,10,Matches
39,Rémy Riou\Remy-Riou,fr FRA,GK,Nantes,28,1987,22,22,1980,22,34,1.55,88,54,68.2,6,6,10,5,22.7,6,6,0,0,0,Matches
40,Stéphane Ruffier\Stephane-Ruffier,fr FRA,GK,Saint-Étienne,29,1986,31,31,2790,31,37,1.19,134,97,73.9,9,12,10,11,35.5,4,2,2,0,50,Matches
41,Romain Salin\Romain-Salin,fr FRA,GK,Guingamp,32,1984,1,1,90,1,0,0,3,3,100,1,0,0,1,100,0,0,0,0,,Matches
42,Danijel Suba_i_\Danijel-Subasic,hr CRO,GK,Monaco,31,1984,36,36,3240,36,28,0.78,112,84,76.8,28,5,3,17,47.2,4,2,2,0,50,Matches
43,Seydou Sy\Seydou-Sy,sn SEN,GK,Monaco,20,1995,1,1,45,0.5,0,0,1,1,100,1,0,0,0,0,0,0,0,0,,Matches
44,Alexis Thébaux\Alexis-Thebaux,fr FRA,GK,Bastia,31,1985,1,1,90,1,5,5,8,3,37.5,0,0,1,0,0,0,0,0,0,,Matches
45,Kevin Trapp\Kevin-Trapp,de GER,GK,Paris S-G,26,1990,24,24,2123,23.6,13,0.55,55,42,78.2,18,4,2,15,62.5,2,1,1,0,50,Matches
46,Rémy Vercoutre\Remy-Vercoutre,fr FRA,GK,Caen,36,1980,34,34,3043,33.8,55,1.63,144,89,66.7,9,6,19,8,23.5,7,7,0,0,0,Matches
47,Thomas Vincensini\Thomas-Vincensini,fr FRA,GK,Bastia,22,1993,3,3,270,3,5,1.67,26,21,80.8,0,1,2,0,0,0,0,0,0,,Matches
