Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Matches
Timo Becker\Timo-Becker,de GER,DF,Schalke 04,24-035,1997,14.2,1,0,0,7,9,0,16,20,15,0,0,0,115,Matches
Brian Behrendt\Brian-Behrendt,de GER,DF,Arminia,29-187,1991,0.9,0,0,0,1,0,0,1,0,1,0,0,0,10,Matches
Maximilian Beier\Maximilian-Beier,de GER,FWDF,Hoffenheim,18-194,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Matches
Ishak Belfodil\Ishak-Belfodil,dz ALG,FW,Hoffenheim,29-107,1992,6.6,0,0,0,12,9,5,4,0,2,0,0,0,29,Matches
Stefan Bell\Stefan-Bell,de GER,DF,Mainz 05,29-248,1991,12.7,4,0,0,23,7,1,2,32,16,0,0,0,163,Matches
Karim Bellarabi\Karim-Bellarabi,de GER,MFFW,Leverkusen,31-021,1990,7.1,2,0,0,22,5,9,41,11,9,0,0,0,60,Matches
Jude Bellingham\Jude-Bellingham,eng ENG,MF,Dortmund,17-304,2003,17.4,6,1,1,40,49,1,21,18,36,0,1,0,157,Matches
Lars Bender\Lars-Bender,de GER,DF,Leverkusen,32-002,1989,10.4,2,0,0,11,14,1,9,8,13,0,0,0,118,Matches
Sven Bender\Sven-Bender,de GER,DF,Leverkusen,32-002,1989,11.8,1,0,0,10,6,1,4,13,11,0,0,0,144,Matches
László Bénes\Laszlo-Benes,sk SVK,MFFW,Augsburg,23-232,1997,5.9,3,0,0,9,17,0,7,7,4,0,0,0,46,Matches
László Bénes\Laszlo-Benes,sk SVK,MF,M'Gladbach,23-232,1997,1.7,0,0,0,0,5,0,2,4,2,0,0,0,15,Matches
Ramy Bensebaini\Ramy-Bensebaini,dz ALG,DF,M'Gladbach,26-013,1995,17.4,6,0,0,32,21,2,13,51,20,0,2,0,153,Matches
Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Schalke 04,26-156,1994,6.1,2,0,0,11,4,0,1,3,6,0,0,0,53,Matches
Louis Beyer\Louis-Beyer,de GER,DF,M'Gladbach,20-345,2000,2.1,0,0,0,2,5,0,0,6,2,0,0,0,22,Matches
Bartosz Bialek\Bartosz-Bialek,pl POL,FWMF,Wolfsburg,19-169,2001,3,1,0,0,8,3,1,0,3,6,0,0,0,29,Matches
Ermin Bi?ak?i?\Ermin-Bicakcic,ba BIH,DF,Hoffenheim,31-095,1990,1.4,1,0,0,2,1,0,0,1,0,0,0,0,7,Matches
Leonardo Bittencourt\Leonardo-Bittencourt,de GER,MFFW,Werder Bremen,27-131,1993,14.4,3,0,0,23,28,7,34,14,23,1,0,0,99,Matches
Jérôme Boateng\Jerome-Boateng,de GER,DF,Bayern Munich,32-238,1988,23.9,6,0,0,20,10,1,9,42,17,0,0,0,239,Matches
Jean-Paul Boëtius\Jean-Paul-Boetius,nl NED,MFFW,Mainz 05,27-038,1994,20,4,0,0,23,36,1,25,19,26,0,0,0,177,Matches
