Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Rolando Aarons\Rolando-Aarons,eng ENG,MFFW,Hellas Verona,21,1995,5.7,0,0,0,8,11,0,6,1,9,0,0,0,22,7,15,31.8,Matches
Ignazio Abate\Ignazio-Abate,it ITA,DF,Milan,30,1986,11.7,3,0,0,11,8,3,26,4,15,0,0,0,106,5,4,55.6,Matches
Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Sassuolo,29,1988,38,4,0,0,29,31,0,9,47,34,0,1,1,520,103,32,76.3,Matches
Afriyie Acquah\Afriyie-Acquah,gh GHA,MF,Torino,25,1992,10.6,4,2,1,13,14,0,8,10,7,0,0,0,105,12,13,48,Matches
Claud Adjapong\Claud-Adjapong,it ITA,DFMF,Sassuolo,19,1998,13.6,5,1,0,22,19,2,24,11,19,0,0,0,134,15,11,57.7,Matches
Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,DFMF,Udinese,23,1993,18.6,4,0,0,20,22,1,53,31,23,0,0,1,174,49,32,60.5,Matches
Arlind Ajeti\Arlind-Ajeti,al ALB,DFMF,Crotone,23,1993,14.1,7,0,0,19,6,0,1,13,24,0,1,0,147,23,24,48.9,Matches
Luis Alberto\Luis-Alberto,es ESP,MFFW,Lazio,24,1992,29.7,5,0,0,20,36,3,53,10,28,1,0,0,205,10,29,25.6,Matches
Raúl Albiol\Raul-Albiol,es ESP,DF,Napoli,31,1985,30.5,7,0,0,30,19,2,3,12,25,0,0,0,455,73,51,58.9,Matches
Alisson\Alisson,br BRA,GK,Roma,24,1992,37,1,0,0,0,3,0,0,0,0,0,0,0,230,0,0,,Matches
Allan\Allan,br BRA,MF,Napoli,26,1991,31.7,2,0,0,38,48,0,22,19,80,0,0,0,296,9,32,22,Matches
Ricky Álvarez\Ricky-Alvarez,ar ARG,MFFW,Sampdoria,29,1988,3,0,0,0,4,5,0,11,2,3,0,0,0,26,4,11,26.7,Matches
Joachim Andersen\Joachim-Andersen,dk DEN,DF,Sampdoria,21,1996,6.1,0,0,0,3,4,0,0,5,4,0,0,0,72,15,4,78.9,Matches
Felipe Anderson\Felipe-Anderson,br BRA,MFFW,Lazio,24,1993,12.9,0,0,0,7,15,0,52,10,19,0,0,0,110,3,8,27.3,Matches
