Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Antonio Adán\Antonio-Adan,es ESP,GK,Atlético Madrid,31,1987,1,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Aday\Aday,es ESP,DFMF,Girona,30,1987,10,8,645,7.2,0,2,0,0,0,2,0,0,0.28,0.28,0,0.28,Matches
Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,37,1981,20,10,943,10.5,2,0,0,2,2,5,0,0.19,0,0.19,0,0,Matches
Luis Advíncula\Luis-Advincula,pe PER,DF,Rayo Vallecano,28,1990,28,27,2389,26.5,1,3,1,0,0,6,2,0.04,0.11,0.15,0.04,0.15,Matches
Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,22,1996,27,23,2032,22.6,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Juan Aguilera\Juan-Aguilera,es ESP,MF,Huesca,32,1985,6,4,344,3.8,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Carlos Akapo\Carlos-Akapo,gq EQG,DF,Huesca,25,1993,13,12,1023,11.4,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Sergio Akieme\Sergio-Akieme,es ESP,DF,Rayo Vallecano,20,1997,2,2,180,2,0,1,0,0,0,0,0,0,0.5,0.5,0,0.5,Matches
Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,29,1989,36,32,2991,33.2,2,8,2,0,0,6,0,0.06,0.24,0.3,0.06,0.3,Matches
Pedro Alcalá\Pedro-Alcala,es ESP,DF,Girona,29,1989,25,20,1868,20.8,1,1,1,0,0,9,0,0.05,0.05,0.1,0.05,0.1,Matches
Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,27,1991,34,34,2976,33.1,3,2,3,0,1,13,0,0.09,0.06,0.15,0.09,0.15,Matches
Álex Alegría\Alex-Alegria,es ESP,FWMF,Rayo Vallecano,25,1992,9,0,140,1.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Iván Alejo\Ivan-Alejo,es ESP,MFFW,Getafe,23,1995,4,2,146,1.6,0,0,0,0,0,2,1,0,0,0,0,0,Matches
Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,20,1998,17,6,637,7.1,2,0,2,0,0,2,0,0.28,0,0.28,0.28,0.28,Matches
Alexander\Alexander,ar ARG,DF,Leganés,29,1988,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Júnior Alonso\Junior-Alonso,py PAR,DFMF,Celta Vigo,25,1993,9,6,536,6,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,26,1992,19,12,1069,11.9,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,31,1986,13,13,1170,13,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,23,1995,30,30,2613,29,0,0,0,0,0,10,0,0,0,0,0,0,Matches
Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MFDF,Sevilla,25,1993,17,7,762,8.5,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Jordi Amat\Jordi-Amat,es ESP,DF,Rayo Vallecano,26,1992,31,31,2763,30.7,0,0,0,0,0,9,0,0,0,0,0,0,Matches
Amath\Amath,sn SEN,MFFW,Getafe,22,1996,15,13,1002,11.1,1,2,1,0,0,4,0,0.09,0.18,0.27,0.09,0.27,Matches
Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,34,1984,11,11,990,11,0,0,0,0,0,1,0,0,0,0,0,0,Matches
José Ángel\Jose-Angel,es ESP,DF,Eibar,28,1989,35,34,3028,33.6,1,1,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06,Matches
Antoñito\Antonito,es ESP,DFMF,Valladolid,30,1987,30,18,1863,20.7,2,1,2,0,0,5,0,0.1,0.05,0.14,0.1,0.14,Matches
Vitorino Antunes\Vitorino-Antunes,pt POR,DF,Getafe,31,1987,28,25,2181,24.2,1,3,1,0,0,5,0,0.04,0.12,0.17,0.04,0.17,Matches
Anuar\Anuar,ma MAR,MF,Valladolid,23,1995,19,12,1081,12,1,0,1,0,0,6,0,0.08,0,0.08,0.08,0.08,Matches
Emmanuel Apeh\Emmanuel-Apeh,ng NGA,MF,Celta Vigo,21,1996,2,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,22,1995,33,32,2676,29.7,1,2,1,0,0,8,0,0.03,0.07,0.1,0.03,0.1,Matches
Guilherme Arana\Guilherme-Arana,br BRA,MFDF,Sevilla,21,1997,9,8,629,7,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,26,1991,32,30,2682,29.8,3,0,3,0,0,3,1,0.1,0,0.1,0.1,0.1,Matches
Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,31,1987,25,22,1950,21.7,1,2,1,0,0,6,1,0.05,0.09,0.14,0.05,0.14,Matches
Santiago Arias\Santiago-Arias,co COL,DF,Atlético Madrid,26,1992,25,20,1772,19.7,1,1,1,0,0,4,0,0.05,0.05,0.1,0.05,0.1,Matches
José Arnaiz\Jose-Arnaiz,es ESP,DFMF,Leganés,23,1995,6,0,113,1.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,29,1989,32,32,2880,32,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Marco Asensio\Marco-Asensio,es ESP,FW,Real Madrid,22,1996,30,19,1779,19.8,1,4,1,0,0,3,0,0.05,0.2,0.25,0.05,0.25,Matches
Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,30,1987,27,26,2251,25,20,6,15,5,5,5,0,0.8,0.24,1.04,0.6,0.84,Matches
Ezequiel Ávila\Ezequiel-Avila,ar ARG,FWMF,Huesca,24,1994,34,20,1997,22.2,10,2,9,1,1,12,1,0.45,0.09,0.54,0.41,0.5,Matches
Abdoulaye Ba\Abdoulaye-Ba,sn SEN,DF,Rayo Vallecano,27,1991,26,25,2110,23.4,1,0,1,0,0,4,2,0.04,0,0.04,0.04,0.04,Matches
Carlos Bacca\Carlos-Bacca,co COL,FW,Villarreal,31,1986,33,12,1270,14.1,6,1,5,1,1,3,0,0.43,0.07,0.5,0.35,0.43,Matches
Gareth Bale\Gareth-Bale,wal WAL,FW,Real Madrid,29,1989,29,21,1786,19.8,8,3,7,1,1,4,0,0.4,0.15,0.55,0.35,0.5,Matches
