Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,26,1990,24.3,7,0,0,18,10,3,42,36,30,0,0,0,225,2,6,25,Matches
Rolando Aarons\Rolando-Aarons,eng ENG,FWMF,Newcastle Utd,21,1995,1.5,0,0,0,1,3,1,2,2,4,0,0,0,12,2,2,50,Matches
Tammy Abraham\Tammy-Abraham,eng ENG,FWMF,Swansea City,19,1997,19.2,0,0,0,15,27,9,11,4,5,0,0,0,61,30,30,50,Matches
Charlie Adam\Charlie-Adam,sco SCO,MF,Stoke City,31,1985,4.6,2,1,0,8,8,0,14,2,5,0,0,0,61,5,1,83.3,Matches
Adrián\Adrian,es ESP,GK,West Ham,30,1987,19,2,0,0,0,3,0,0,0,0,0,0,0,115,0,0,,Matches
Ibrahim Afellay\Ibrahim-Afellay,nl NED,MF,Stoke City,31,1986,1.8,1,0,0,1,0,0,0,2,2,0,0,0,15,0,0,,Matches
Benik Afobe\Benik-Afobe,cd COD,FWMF,Bournemouth,24,1993,6.8,0,0,0,9,13,4,0,1,3,1,0,0,24,17,24,41.5,Matches
Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,29,1988,21.8,2,0,0,10,17,16,17,8,5,0,0,0,90,6,15,28.6,Matches
Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,22,1995,37.3,5,0,0,27,19,2,7,38,27,0,0,0,465,61,54,53,Matches
Marc Albrighton\Marc-Albrighton,eng ENG,MFFW,Leicester City,27,1989,28.2,5,1,0,20,25,1,138,25,30,0,1,0,243,6,11,35.3,Matches
Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,28,1989,13.1,3,0,0,8,2,0,4,7,8,0,0,0,144,6,9,40,Matches
Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,18,1998,17.5,3,0,0,12,1,3,67,32,18,0,0,0,194,4,10,28.6,Matches
Joe Allen\Joe-Allen,wal WAL,MF,Stoke City,27,1990,34.9,8,0,0,49,49,0,22,50,62,0,0,0,437,16,35,31.4,Matches
Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,21,1996,32.9,7,0,0,45,85,5,23,29,29,1,0,0,248,20,34,37,Matches
Marcos Alonso\Marcos-Alonso,es ESP,DFMF,Chelsea,26,1990,31.7,6,0,0,26,31,8,78,33,27,0,0,0,282,46,39,54.1,Matches
Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,22,1994,5.4,1,2,1,4,7,0,0,6,0,0,0,0,66,3,3,50,Matches
Ethan Ampadu\Ethan-Ampadu,wal WAL,DF,Chelsea,16,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50,Matches
Nordin Amrabat\Nordin-Amrabat,ma MAR,FW,Watford,30,1987,2.2,0,0,0,6,2,2,10,0,4,0,0,0,16,0,3,0,Matches
Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,27,1990,15,1,0,0,17,30,7,49,6,11,1,0,0,93,31,35,47,Matches
Scott Arfield\Scott-Arfield,ca CAN,FWMF,Burnley,28,1988,14.8,3,0,0,21,14,2,6,8,20,0,0,0,130,5,19,20.8,Matches
Marko Arnautovi?\Marko-Arnautovic,at AUT,FWMF,West Ham,28,1989,25.7,5,1,0,35,29,43,56,12,13,0,0,0,147,7,22,24.1,Matches
Harry Arter\Harry-Arter,ie IRL,MF,Bournemouth,27,1989,10.7,4,0,0,9,15,0,4,9,14,0,0,0,102,1,1,50,Matches
Christian Atsu\Christian-Atsu,gh GHA,MFFW,Newcastle Utd,25,1992,19.8,1,0,0,10,26,6,44,9,6,0,0,0,150,6,45,11.8,Matches
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,28,1989,11.7,0,0,0,1,8,10,23,5,4,0,0,0,52,4,13,23.5,Matches
Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,24,1992,15.9,2,2,1,21,16,2,48,23,31,0,1,0,196,36,21,63.2,Matches
Charlie Austin\Charlie-Austin,eng ENG,FW,Southampton,28,1989,11.5,2,0,0,16,16,14,2,1,3,0,0,0,45,24,42,36.4,Matches
André Ayew\Andre-Ayew,gh GHA,FWMF,Swansea City,27,1989,10.6,3,0,0,17,19,3,3,8,7,1,0,0,46,15,28,34.9,Matches
André Ayew\Andre-Ayew,gh GHA,FWMF,West Ham,27,1989,9.9,2,0,0,7,17,3,4,4,13,0,0,0,58,20,29,40.8,Matches
Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Swansea City,25,1991,31.7,2,1,0,63,88,8,38,27,52,0,0,0,188,33,74,30.8,Matches
César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,27,1989,37,1,0,0,25,13,1,54,43,43,0,0,1,516,40,32,55.6,Matches
Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,23,1994,11.1,2,0,0,10,9,0,0,26,10,0,0,1,112,11,7,61.1,Matches
Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,32,1984,21.2,1,0,0,7,17,1,50,20,9,0,0,0,156,7,12,36.8,Matches
Tiemoué Bakayoko\Tiemoue-Bakayoko,fr FRA,MF,Chelsea,22,1994,23.6,4,2,1,50,24,2,11,31,44,0,0,0,230,32,28,53.3,Matches
Sam Baldock\Sam-Baldock,eng ENG,FWMF,Brighton,28,1989,0.4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,Matches
Beni Baningime\Beni-Baningime,cd COD,MF,Everton,18,1998,2.2,1,0,0,4,1,0,1,4,3,0,0,0,29,1,0,100,Matches
Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,32,1985,12.5,5,0,0,22,18,0,24,21,18,0,1,0,161,16,21,43.2,Matches
Ross Barkley\Ross-Barkley,eng ENG,MFFW,Chelsea,23,1993,1.4,0,0,0,1,1,0,3,0,0,0,0,0,6,0,5,0,Matches
Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,27,1989,24.1,10,0,0,53,71,26,17,8,10,0,0,0,107,46,105,30.5,Matches
Harvey Barnes\Harvey-Barnes,eng ENG,MFFW,Leicester City,19,1997,0.1,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,100,Matches
Gareth Barry\Gareth-Barry,eng ENG,MF,West Brom,36,1981,21.4,4,0,0,28,29,1,18,13,24,0,0,0,280,24,23,51.1,Matches
Kyle Bartley\Kyle-Bartley,eng ENG,DF,Swansea City,26,1991,2.6,2,0,0,5,1,0,0,3,1,0,0,0,27,9,1,90,Matches
Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,23,1993,4,0,0,0,4,3,6,0,1,4,0,0,1,15,2,11,15.4,Matches
Moritz Bauer\Moritz-Bauer,at AUT,DFMF,Stoke City,25,1992,14.5,4,0,0,19,20,1,31,8,12,0,0,0,112,14,8,63.6,Matches
Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,21,1996,4.7,1,0,0,3,1,0,0,7,2,0,0,0,45,3,8,27.3,Matches
Asmir Begovi?\Asmir-Begovic,ba BIH,GK,Bournemouth,30,1987,38,2,0,0,2,8,0,0,0,0,0,0,0,225,1,0,100,Matches
Héctor Bellerín\Hector-Bellerin,es ESP,DFMF,Arsenal,22,1995,33.9,5,0,0,37,9,4,69,28,34,0,2,0,346,21,33,38.9,Matches
Yohan Benalouane\Yohan-Benalouane,tn TUN,DF,Leicester City,30,1987,1,0,0,0,1,1,1,3,2,0,0,0,0,11,1,0,100,Matches
Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,26,1990,24.9,6,0,0,48,27,12,7,3,7,2,0,0,83,170,106,61.6,Matches
Saido Berahino\Saido-Berahino,bi BDI,FW,Stoke City,23,1993,5.5,0,0,0,6,4,4,4,1,2,1,0,0,24,4,7,36.4,Matches
Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MFFW,Burnley,26,1990,31.5,2,0,0,18,33,2,121,30,17,0,0,0,261,20,23,46.5,Matches
Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,27,1989,34.8,2,0,0,32,33,1,92,34,19,0,0,0,279,27,28,49.1,Matches
Muhamed Beši?\Muhamed-Besic,ba BIH,MF,Everton,24,1992,0.5,0,0,0,1,2,0,0,0,1,0,0,0,7,2,1,66.7,Matches
Philip Billing\Philip-Billing,dk DEN,MF,Huddersfield,21,1996,8.5,3,0,0,14,6,1,12,18,17,0,1,0,116,19,9,67.9,Matches
Mame Biram Diouf\Mame-Biram-Diouf,sn SEN,FWMF,Stoke City,29,1987,28.8,6,0,0,38,39,23,24,20,24,0,0,0,145,78,92,45.9,Matches
Daley Blind\Daley-Blind,nl NED,DFMF,Manchester Utd,27,1990,4,0,0,0,4,4,0,14,4,4,0,0,0,43,6,8,42.9,Matches
Jeremie Boga\Jeremie-Boga,ci CIV,MF,Chelsea,20,1997,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
Yannick Bolasie\Yannick-Bolasie,cd COD,FWMF,Everton,28,1989,9.5,0,0,0,12,11,4,32,6,7,0,0,0,81,10,13,43.5,Matches
Gaëtan Bong\Gaetan-Bong,cm CMR,DF,Brighton,29,1988,24.8,2,0,0,16,14,0,34,22,21,0,0,1,236,16,16,50,Matches
Wilfried Bony\Wilfried-Bony,ci CIV,FW,Swansea City,28,1988,7.9,2,0,0,7,11,2,0,2,3,0,0,0,26,23,42,35.4,Matches
Sofiane Boufal\Sofiane-Boufal,ma MAR,FWMF,Southampton,23,1993,13.5,1,0,0,27,28,3,33,7,27,0,0,0,87,3,4,42.9,Matches
Robbie Brady\Robbie-Brady,ie IRL,MFFW,Burnley,25,1992,14.2,3,0,0,20,12,3,55,11,19,0,0,0,106,7,6,53.8,Matches
Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,34,1983,2.5,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,,Matches
Miguel Britos\Miguel-Britos,uy URU,DF,Watford,32,1985,8.9,3,1,0,8,6,0,4,12,4,0,0,0,128,17,8,68,Matches
Leon Britton\Leon-Britton,eng ENG,MF,Swansea City,34,1982,3.4,1,0,0,7,1,0,1,2,5,0,0,0,36,0,3,0,Matches
Izzy Brown\Izzy-Brown,eng ENG,MFFW,Brighton,20,1997,3.5,0,0,0,3,3,1,6,1,5,0,0,0,23,4,14,22.2,Matches
Bruno\Bruno,es ESP,DF,Brighton,36,1980,22.4,3,0,0,19,9,0,37,33,16,0,1,0,204,20,17,54.1,Matches
Chris Brunt\Chris-Brunt,nir NIR,MFDF,West Brom,32,1984,21.3,5,0,0,15,6,0,68,29,21,0,0,0,214,5,9,35.7,Matches
Oliver Burke\Oliver-Burke,sco SCO,FWMF,West Brom,20,1997,4.1,0,0,0,2,5,1,6,6,2,0,0,0,25,2,1,66.7,Matches
Jack Butland\Jack-Butland,eng ENG,GK,Stoke City,24,1993,35,0,0,0,0,3,0,0,0,0,0,0,1,204,0,0,,Matches
Sam Byram\Sam-Byram,eng ENG,DF,West Ham,23,1993,2.8,1,0,0,4,1,1,5,7,2,0,0,0,31,10,9,52.6,Matches
Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,35,1981,3,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,,Matches
Yohan Cabaye\Yohan-Cabaye,fr FRA,MF,Crystal Palace,31,1986,26.4,7,0,0,35,23,1,71,61,38,0,0,0,288,1,3,25,Matches
Gary Cahill\Gary-Cahill,eng ENG,DF,Chelsea,31,1985,23.2,1,1,0,17,18,0,0,12,9,0,0,0,281,42,21,66.7,Matches
Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FWMF,Everton,20,1997,20.9,4,0,0,42,27,15,16,11,7,3,0,0,93,100,121,45.2,Matches
Geoff Cameron\Geoff-Cameron,us USA,DFMF,Stoke City,32,1985,16.9,2,0,0,16,7,0,11,26,18,0,0,0,182,28,25,52.8,Matches
Tyrese Campbell\Tyrese-Campbell,eng ENG,FWMF,Stoke City,17,1999,0.9,0,0,0,0,0,1,1,1,1,0,0,0,6,0,0,,Matches
Emre Can\Emre-Can,de GER,MF,Liverpool,23,1994,23.2,8,0,0,27,27,0,6,25,49,1,0,0,302,28,26,51.9,Matches
Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,29,1988,17.1,3,0,0,21,16,1,4,33,30,0,0,0,238,17,11,60.7,Matches
Michael Carrick\Michael-Carrick,eng ENG,MF,Manchester Utd,36,1981,1.2,0,0,0,1,1,0,1,2,1,0,0,0,17,0,0,,Matches
André Carrillo\Andre-Carrillo,pe PER,FWMF,Watford,26,1991,17.1,2,0,0,14,15,5,52,15,17,0,0,0,150,5,23,17.9,Matches
Guido Carrillo\Guido-Carrillo,ar ARG,FW,Southampton,26,1991,5,0,0,0,7,2,2,1,0,4,0,0,0,23,20,40,33.3,Matches
Andy Carroll\Andy-Carroll,eng ENG,FWMF,West Ham,28,1989,8.3,6,2,1,28,14,6,7,2,1,0,0,0,38,51,34,60,Matches
