Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Mats Hummels\Mats-Hummels,de GER,DF,Bayern Munich,29,1988,21,20,1775,19.7,1,1,1,0,0,1,0,0.05,0.05,0.1,0.05,0.1,Matches
Vedad Ibiševi?\Vedad-Ibisevic,ba BIH,FW,Hertha BSC,33,1984,28,24,1807,20.1,10,2,9,1,1,5,1,0.5,0.1,0.6,0.45,0.55,Matches
Ivo Ili?evi?\Ivo-Ilicevic,hr CRO,MF,Nürnberg,31,1986,3,0,39,0.4,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Stefan Ilsanker\Stefan-Ilsanker,at AUT,DFMF,RB Leipzig,29,1989,19,10,933,10.4,0,0,0,0,0,5,1,0,0,0,0,0,Matches
Emiliano Insúa\Emiliano-Insua,ar ARG,DF,Stuttgart,29,1989,27,24,2114,23.5,2,2,2,0,0,4,1,0.09,0.09,0.17,0.09,0.17,Matches
Mikael Ishak\Mikael-Ishak,se SWE,FW,Nürnberg,25,1993,29,22,1917,21.3,4,3,3,1,2,1,0,0.19,0.14,0.33,0.14,0.28,Matches
Gian-Luca Itter\Gian-Luca-Itter,de GER,DF,Wolfsburg,19,1999,2,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Koo Ja-cheol\Koo-Ja-cheol,kr KOR,MFFW,Augsburg,29,1989,26,19,1640,18.2,2,1,2,0,0,3,0,0.11,0.05,0.16,0.11,0.16,Matches
Lukas Jäger\Lukas-Jager,at AUT,MF,Nürnberg,24,1994,2,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Christoph Janker\Christoph-Janker,de GER,MFFW,Augsburg,33,1985,4,1,72,0.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Tony Jantschke\Tony-Jantschke,de GER,DF,M'Gladbach,28,1990,14,10,933,10.4,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,Matches
Rune Jarstein\Rune-Jarstein,no NOR,GK,Hertha BSC,33,1984,31,31,2745,30.5,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Dennis Jastrzembski\Dennis-Jastrzembski,pl POL,DFMF,Hertha BSC,18,2000,5,0,61,0.7,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Tin Jedvaj\Tin-Jedvaj,hr CRO,DF,Leverkusen,22,1995,16,13,1121,12.5,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Fredrik Jensen\Fredrik-Jensen,fi FIN,FWMF,Augsburg,20,1997,6,2,207,2.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Joelinton\Joelinton,br BRA,FWMF,Hoffenheim,21,1996,28,25,2130,23.7,7,5,7,0,0,5,0,0.3,0.21,0.51,0.3,0.51,Matches
Aron Jóhannsson\Aron-Johannsson,us USA,MF,Werder Bremen,27,1990,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Fabian Johnson\Fabian-Johnson,us USA,DFFW,M'Gladbach,30,1987,18,11,1012,11.2,1,0,1,0,0,1,0,0.09,0,0.09,0.09,0.09,Matches
Jonathas\Jonathas,br BRA,FW,Hannover 96,29,1989,10,6,607,6.7,3,1,2,1,1,3,1,0.44,0.15,0.59,0.3,0.44,Matches
Luka Jovi?\Luka-Jovic,rs SRB,FWMF,Eint Frankfurt,20,1997,32,25,2243,24.9,17,5,16,1,1,1,0,0.68,0.2,0.88,0.64,0.84,Matches
Sebastian Jung\Sebastian-Jung,de GER,DF,Wolfsburg,28,1990,1,1,56,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ozan Kabak\Ozan-Kabak,tr TUR,DF,Stuttgart,18,2000,15,15,1350,15,3,0,3,0,0,4,0,0.2,0,0.2,0.2,0.2,Matches
Pavel Kade?ábek\Pavel-Kaderabek,cz CZE,DFMF,Hoffenheim,26,1992,29,28,2509,27.9,3,4,3,0,0,7,0,0.11,0.14,0.25,0.11,0.25,Matches
Shinji Kagawa\Shinji-Kagawa,jp JPN,MF,Dortmund,29,1989,2,1,98,1.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Florian Kainz\Florian-Kainz,at AUT,FW,Werder Bremen,25,1992,8,5,373,4.1,0,1,0,0,0,2,0,0,0.24,0.24,0,0.24,Matches
Salomon Kalou\Salomon-Kalou,ci CIV,FWMF,Hertha BSC,32,1985,30,27,2317,25.7,8,2,5,3,3,0,0,0.31,0.08,0.39,0.19,0.27,Matches
Marcin Kami?ski\Marcin-Kaminski,pl POL,DF,Düsseldorf,26,1992,27,27,2430,27,0,1,0,0,0,1,0,0,0.04,0.04,0,0.04,Matches
Patrick Kammerbauer\Patrick-Kammerbauer,de GER,FW,Freiburg,21,1997,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Kevin Kampl\Kevin-Kampl,si SVN,MF,RB Leipzig,27,1990,27,25,2113,23.5,2,5,2,0,0,5,0,0.09,0.21,0.3,0.09,0.3,Matches
Stefanos Kapino\Stefanos-Kapino,gr GRE,GK,Werder Bremen,24,1994,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Kenan Karaman\Kenan-Karaman,tr TUR,FWMF,Düsseldorf,24,1994,21,9,919,10.2,3,1,3,0,0,0,0,0.29,0.1,0.39,0.29,0.39,Matches
Marc-Oliver Kempf\Marc-Oliver-Kempf,de GER,DF,Stuttgart,23,1995,23,23,2025,22.5,2,0,2,0,0,3,0,0.09,0,0.09,0.09,0.09,Matches
Sebastian Kerk\Sebastian-Kerk,de GER,MFFW,Nürnberg,24,1994,21,17,1179,13.1,0,1,0,0,0,0,0,0,0.08,0.08,0,0.08,Matches
Rani Khedira\Rani-Khedira,de GER,DFMF,Augsburg,24,1994,30,30,2624,29.2,4,1,4,0,0,6,0,0.14,0.03,0.17,0.14,0.17,Matches
Isaac Kiese Thelin\Isaac-Kiese-Thelin,se SWE,FW,Leverkusen,26,1992,6,1,180,2,0,0,0,0,0,1,0,0,0,0,0,0,Matches
