Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Adrián\Adrian,es ESP,GK,West Ham,30,1987,19,19,1710,19,29,1.53,95,68,70.5,7,6,6,6,31.6,1,1,0,0,0,Matches
Asmir Begovi?\Asmir-Begovic,ba BIH,GK,Bournemouth,30,1987,38,38,3420,38,61,1.61,173,114,65.9,11,11,16,6,15.8,4,2,1,1,33.3,Matches
Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,34,1983,3,2,226,2.5,1,0.4,5,4,80,2,0,0,1,50,0,0,0,0,,Matches
Jack Butland\Jack-Butland,eng ENG,GK,Stoke City,24,1993,35,35,3150,35,61,1.74,198,144,71.7,7,11,17,6,17.1,5,5,0,0,0,Matches
Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,35,1981,3,3,270,3,4,1.33,11,7,63.6,1,1,1,1,33.3,0,0,0,0,,Matches
Petr ?ech\Petr-Cech,cz CZE,GK,Arsenal,35,1982,34,34,3039,33.8,48,1.42,129,86,66.7,16,6,12,11,32.4,6,5,1,0,16.7,Matches
Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Chelsea,25,1992,35,35,3150,35,34,0.97,103,73,68.9,20,6,9,15,42.9,2,2,0,0,0,Matches
Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,26,1990,10,10,900,10,15,1.5,43,32,72.1,1,5,4,2,20,3,3,0,0,0,Matches
Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,28,1989,12,12,1080,12,11,0.92,37,26,70.3,6,1,5,4,33.3,1,0,1,0,100,Matches
Ederson\Ederson,br BRA,GK,Manchester City,23,1993,36,36,3194,35.5,26,0.73,79,54,67.1,30,4,2,16,44.4,3,0,2,1,100,Matches
Rob Elliot\Rob-Elliot,ie IRL,GK,Newcastle Utd,31,1986,16,16,1440,16,21,1.31,62,43,67.7,5,2,9,3,18.8,2,1,1,0,50,Matches
?ukasz Fabia?ski\Lukasz-Fabianski,pl POL,GK,Swansea City,32,1985,38,38,3420,38,56,1.47,191,140,72.3,8,9,21,9,23.7,7,3,3,1,50,Matches
Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,29,1988,20,20,1800,20,30,1.5,96,66,68.8,4,7,9,4,20,1,0,1,0,100,Matches
Ben Foster\Ben-Foster,eng ENG,GK,West Brom,34,1983,37,37,3330,37,55,1.49,152,99,64.5,6,12,19,10,27,1,1,0,0,0,Matches
Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,25,1992,1,1,90,1,0,0,3,3,100,1,0,0,1,100,0,0,0,0,,Matches
David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,26,1990,37,37,3330,37,28,0.76,140,115,80.7,24,6,7,18,48.6,1,1,0,0,0,Matches
Heurelho Gomes\Heurelho-Gomes,br BRA,GK,Watford,36,1981,24,24,2128,23.6,40,1.69,98,62,62.2,7,5,12,5,20.8,3,3,0,0,0,Matches
Lee Grant\Lee-Grant,eng ENG,GK,Stoke City,34,1983,3,3,270,3,7,2.33,14,7,50,0,1,2,1,33.3,0,0,0,0,,Matches
Ben Hamer\Ben-Hamer,eng ENG,GK,Leicester City,29,1987,4,3,275,3.1,7,2.29,13,7,53.8,0,1,2,1,33.3,1,1,0,0,0,Matches
Joe Hart\Joe-Hart,eng ENG,GK,West Ham,30,1987,19,19,1710,19,39,2.05,88,53,60.2,3,6,10,4,21.1,5,4,1,0,20,Matches
Tom Heaton\Tom-Heaton,eng ENG,GK,Burnley,31,1986,4,4,305,3.4,4,1.18,13,9,69.2,1,1,1,0,0,0,0,0,0,,Matches
Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,30,1987,27,27,2430,27,41,1.52,128,90,68.8,8,6,13,7,25.9,1,1,0,0,0,Matches
Eldin Jakupovi?\Eldin-Jakupovic,ch SUI,GK,Leicester City,32,1984,2,2,180,2,6,3,13,8,53.8,1,0,1,0,0,0,0,0,0,,Matches
Loris Karius\Loris-Karius,de GER,GK,Liverpool,24,1993,19,19,1710,19,14,0.74,42,30,71.4,11,5,3,10,52.6,3,2,1,0,33.3,Matches
Orestis Karnezis\Orestis-Karnezis,gr GRE,GK,Watford,32,1985,15,14,1292,14.4,24,1.67,52,31,59.6,4,3,7,4,28.6,3,3,0,0,0,Matches
Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,30,1986,36,36,3240,36,35,0.97,120,86,72.5,22,7,7,15,41.7,3,2,1,0,33.3,Matches
Jonas Lössl\Jonas-Lossl,dk DEN,GK,Huddersfield,28,1989,38,38,3420,38,57,1.5,154,101,65.6,9,10,19,10,26.3,6,4,2,0,33.3,Matches
Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,27,1989,18,18,1620,18,26,1.44,64,39,60.9,3,8,7,4,22.2,1,1,0,0,0,Matches
Simon Mignolet\Simon-Mignolet,be BEL,GK,Liverpool,29,1988,19,19,1710,19,24,1.26,57,35,61.4,10,7,2,7,36.8,3,2,1,0,33.3,Matches
Boaz Myhill\Boaz-Myhill,wal WAL,GK,West Brom,34,1982,1,1,90,1,1,1,3,2,66.7,0,1,0,0,0,0,0,0,0,,Matches
