Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
27,Mathieu Michel\Mathieu-Michel,fr FRA,GK,Angers,25,1991,7,6,598,6.6,13,1.96,27,17,59.3,1,2,4,1,16.7,2,2,0,0,0,Matches
28,Jessy Moulin\Jessy-Moulin,fr FRA,GK,Saint-Étienne,31,1986,4,3,305,3.4,6,1.77,27,22,81.5,1,0,2,1,33.3,1,1,0,0,0,Matches
29,Alexandre Oukidja\Alexandre-Oukidja,dz ALG,GK,Strasbourg,29,1988,17,16,1457,16.2,29,1.79,70,45,64.3,3,5,8,2,12.5,5,4,1,0,20,Matches
30,Yohann Pelé\Yohann-Pele,fr FRA,GK,Marseille,34,1982,10,7,738,8.2,10,1.22,26,18,61.5,4,3,1,3,42.9,0,0,0,0,,Matches
31,Jérôme Prior\Jerome-Prior,fr FRA,GK,Bordeaux,21,1995,2,2,180,2,3,1.5,8,5,62.5,0,0,2,0,0,0,0,0,0,,Matches
32,Baptiste Reynet\Baptiste-Reynet,fr FRA,GK,Dijon,26,1990,38,38,3420,38,73,1.92,198,139,68.7,13,9,16,5,13.2,15,11,3,1,21.4,Matches
33,Stéphane Ruffier\Stephane-Ruffier,fr FRA,GK,Saint-Étienne,30,1986,35,35,3113,34.6,44,1.27,150,112,74,14,10,11,12,34.3,6,5,1,0,16.7,Matches
34,Mamadou Samassa\Mamadou-Samassa,ml MLI,GK,Troyes,27,1990,21,21,1890,21,31,1.48,108,81,73.1,6,3,12,5,23.8,3,2,1,0,33.3,Matches
35,Brice Samba\Brice-Samba,cg CGO,GK,Caen,23,1994,4,3,316,3.5,4,1.14,18,15,83.3,1,1,1,2,66.7,1,1,0,0,0,Matches
36,Danijel Suba_i_\Danijel-Subasic,hr CRO,GK,Monaco,32,1984,34,34,2939,32.7,41,1.26,130,94,71.5,20,8,5,10,29.4,4,4,0,0,0,Matches
37,Seydou Sy\Seydou-Sy,sn SEN,GK,Monaco,21,1995,3,2,256,2.8,4,1.41,16,13,81.3,2,0,1,1,50,1,1,0,0,0,Matches
38,Ciprian T_t_ru_anu\Ciprian-Tatarusanu,ro ROU,GK,Nantes,31,1986,37,37,3330,37,38,1.03,133,97,72.9,14,10,13,12,32.4,3,2,0,1,0,Matches
39,Kevin Trapp\Kevin-Trapp,de GER,GK,Paris S-G,27,1990,4,4,360,4,4,1,16,14,87.5,3,0,1,1,25,2,2,0,0,0,Matches
40,Rémy Vercoutre\Remy-Vercoutre,fr FRA,GK,Caen,37,1980,35,35,3104,34.5,48,1.39,133,93,66.9,9,7,18,11,31.4,4,4,0,0,0,Matches
41,Erwin Zelazny\Erwin-Zelazny,fr FRA,GK,Troyes,25,1991,17,17,1530,17,28,1.65,94,68,72.3,3,3,11,3,17.6,2,2,0,0,0,Matches
