Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,24,1993,34,34,3060,34,25,0.74,106,82,77.4,26,6,2,17,50,2,1,1,0,50,Matches
2,Diego Benaglio\Diego-Benaglio,ch SUI,GK,Monaco,33,1983,3,2,225,2.5,0,0,6,6,100,2,0,0,2,100,0,0,0,0,,Matches
3,Walter Benítez\Walter-Benitez,ar ARG,GK,Nice,24,1993,28,28,2520,28,36,1.29,114,83,71.1,12,8,8,7,25,5,3,2,0,40,Matches
4,Quentin Beunardeau\Quentin-Beunardeau,fr FRA,GK,Metz,23,1994,1,0,39,0.4,2,4.62,4,2,50,0,0,0,0,,0,0,0,0,,Matches
5,Landry Bonnefoi\Landry-Bonnefoi,fr FRA,GK,Strasbourg,33,1983,4,3,272,3,6,1.99,17,11,64.7,2,0,1,1,33.3,0,0,0,0,,Matches
6,Jean-Christophe Bouet\Jean-Christophe-Bouet,fr FRA,GK,Amiens,34,1983,1,1,90,1,1,1,6,5,83.3,0,0,1,0,0,0,0,0,0,,Matches
7,Ludovic Butelle\Ludovic-Butelle,fr FRA,GK,Angers,34,1983,19,19,1652,18.4,22,1.2,70,52,72.9,6,5,7,4,21.1,3,3,0,0,0,Matches
8,Yoan Cardinale\Yoan-Cardinale,fr FRA,GK,Nice,23,1994,10,10,900,10,16,1.6,43,28,62.8,3,1,6,3,30,0,0,0,0,,Matches
9,Benoît Costil\Benoit-Costil,fr FRA,GK,Bordeaux,30,1987,36,36,3240,36,45,1.25,119,79,65.5,16,7,13,10,27.8,9,4,4,1,50,Matches
10,Abdoulaye Diallo\Abdoulaye-Diallo,sn SEN,GK,Rennes,25,1992,3,3,270,3,5,1.67,16,12,75,0,2,1,0,0,1,1,0,0,0,Matches
11,Thomas Didillon\Thomas-Didillon,fr FRA,GK,Metz,21,1995,9,9,810,9,14,1.56,36,26,69.4,1,1,7,2,22.2,3,3,0,0,0,Matches
12,Maxime Dupé\Maxime-Dupe,fr FRA,GK,Nantes,24,1993,1,1,90,1,3,3,4,2,50,0,0,1,0,0,1,1,0,0,0,Matches
13,Mathieu Gorgelin\Mathieu-Gorgelin,fr FRA,GK,Lyon,26,1990,4,4,360,4,6,1.5,12,6,50,2,1,1,1,25,0,0,0,0,,Matches
14,Régis Gurtner\Regis-Gurtner,fr FRA,GK,Amiens,30,1986,37,37,3330,37,41,1.11,178,141,79.2,12,9,16,11,29.7,4,4,0,0,0,Matches
15,Karl-Johan Johnsson\Karl-Johan-Johnsson,se SWE,GK,Guingamp,27,1990,38,38,3420,38,59,1.55,169,116,68,12,11,15,11,28.9,7,5,2,0,28.6,Matches
16,Bingourou Kamara\Bingourou-Kamara,sn SEN,GK,Strasbourg,20,1996,19,19,1691,18.8,32,1.7,90,60,66.7,4,6,9,2,10.5,2,2,0,0,0,Matches
17,Eiji Kawashima\Eiji-Kawashima,jp JPN,GK,Metz,34,1983,29,29,2570,28.6,60,2.1,172,113,65.1,5,7,17,2,6.9,2,0,2,0,100,Matches
18,Hervé Koffi\Herve-Koffi,bf BFA,GK,Lille,20,1996,4,4,360,4,11,2.75,19,10,47.4,0,1,3,0,0,1,1,0,0,0,Matches
19,Tomá_ Koubek\Tomas-Koubek,cz CZE,GK,Rennes,24,1992,34,34,3060,34,36,1.06,130,98,73.8,16,8,10,10,29.4,3,2,1,0,33.3,Matches
20,Alban Lafont\Alban-Lafont,fr FRA,GK,Toulouse,18,1999,38,38,3420,38,54,1.42,161,113,70.2,9,10,19,12,31.6,6,6,0,0,0,Matches
21,Benjamin Lecomte\Benjamin-Lecomte,fr FRA,GK,Montpellier,26,1991,38,38,3420,38,33,0.87,121,93,76.9,11,18,9,14,36.8,6,5,0,1,0,Matches
22,Alexandre Letellier\Alexandre-Letellier,fr FRA,GK,Angers,26,1990,13,13,1170,13,17,1.31,46,32,67.4,2,7,4,1,7.7,2,2,0,0,0,Matches
23,Anthony Lopes\Anthony-Lopes,pt POR,GK,Lyon,26,1990,34,34,3060,34,37,1.09,135,106,76.3,21,8,5,14,41.2,8,5,2,1,28.6,Matches
24,Raïs M'Bolhi\Rais-MBolhi,dz ALG,GK,Rennes,31,1986,1,1,90,1,3,3,5,4,80,0,0,1,0,0,2,2,0,0,0,Matches
25,Mike Maignan\Mike-Maignan,fr FRA,GK,Lille,21,1995,34,34,3033,33.7,53,1.57,160,112,68.8,10,7,17,5,14.7,6,3,2,1,40,Matches
26,Steve Mandanda\Steve-Mandanda,fr FRA,GK,Marseille,32,1985,31,31,2680,29.8,37,1.24,118,85,72,18,8,4,11,35.5,6,4,1,1,20,Matches
