Rk,Squad,GF,GA,GD,Pts,Attendance
,,,,,,
1,Juventus,86,24,62,95,39316
2,Napoli,77,29,48,91,43050
3,Roma,61,28,33,77,37450
4,Inter,66,30,36,72,57529
5,Lazio,89,49,40,72,30990
6,Milan,56,42,14,64,52690
7,Atalanta,57,39,18,60,17921
8,Fiorentina,54,46,8,57,26092
9,Torino,54,46,8,54,18596
10,Sampdoria,56,60,-4,54,20156
11,Sassuolo,29,59,-30,43,11237
12,Genoa,33,43,-10,41,20941
13,Chievo,36,59,-23,40,12540
14,Udinese,48,63,-15,40,17906
15,Bologna,40,52,-12,39,20903
16,Cagliari,33,61,-28,39,14685
17,SPAL,39,59,-20,38,12067
18,Crotone,40,66,-26,35,10581
19,Hellas Verona,30,78,-48,25,17333
20,Benevento,33,84,-51,21,12132
