Rk,Squad,GF,GA,GD,Pts,Attendance
1,Real Madrid,106,41,65,93,69426
2,Barcelona,116,37,79,90,78034
3,Atlético Madrid,70,27,43,78,44710
4,Sevilla,69,49,20,72,32814
5,Villarreal,56,33,23,67,17568
6,Real Sociedad,59,53,6,64,21453
7,Athletic Club,53,43,10,63,41042
8,Espanyol,49,50,-1,56,20245
9,Alavés,41,43,-2,55,16499
10,Eibar,56,51,5,54,5357
11,Málaga,49,55,-6,46,22625
12,Valencia,56,65,-9,46,33911
13,Celta Vigo,53,69,-16,45,16858
14,Las Palmas,53,74,-21,39,20249
15,Betis,41,64,-23,39,33097
16,La Coruña,43,61,-18,36,22602
17,Leganés,36,55,-19,35,9773
18,Sporting Gijón,42,72,-30,31,22798
19,Osasuna,40,94,-54,22,14817
20,Granada,30,82,-52,20,14941
