Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Issah Abbas\Issah-Abbas,gh GHA,FW,Mainz 05,19,1998,0.1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,,Matches
David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,32,1986,15.8,2,0,0,11,9,0,4,15,19,0,0,0,197,27,16,62.8,Matches
Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,28,1990,8.8,5,0,0,19,16,0,1,12,12,0,0,0,117,5,6,45.5,Matches
Tyler Adams\Tyler-Adams,us USA,MF,RB Leipzig,19,1999,8,0,0,0,12,11,0,2,11,21,0,0,0,127,16,13,55.2,Matches
Antonis Aidonis\Antonis-Aidonis,de GER,DF,Stuttgart,17,2001,0.9,1,0,0,1,0,0,5,2,1,0,0,0,9,0,5,0,Matches
Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,23,1995,24.5,1,0,0,14,17,0,3,17,25,0,0,0,215,30,23,56.6,Matches
Chadrac Akolo\Chadrac-Akolo,cd COD,MFFW,Stuttgart,23,1995,5.8,0,0,0,8,16,1,7,2,5,0,0,0,51,6,7,46.2,Matches
Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,23,1995,5.5,2,0,0,6,10,0,0,7,11,0,0,0,59,2,2,50,Matches
Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hannover 96,23,1995,3.5,2,0,0,4,3,0,0,4,4,0,1,0,28,5,1,83.3,Matches
David Alaba\David-Alaba,at AUT,DF,Bayern Munich,26,1992,28.1,4,0,0,14,11,6,103,15,21,0,0,0,260,16,14,53.3,Matches
Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,25,1992,14.1,1,0,0,23,24,15,9,1,9,0,0,0,56,32,46,41,Matches
Miiko Albornoz\Miiko-Albornoz,cl CHI,DFMF,Hannover 96,27,1990,18.4,3,1,0,34,36,1,44,6,25,0,1,0,180,8,16,33.3,Matches
Paco Alcácer\Paco-Alcacer,es ESP,FW,Dortmund,24,1993,13.5,0,0,0,6,7,10,6,7,4,0,0,0,44,5,31,13.9,Matches
Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,27,1991,26.8,5,0,0,52,34,1,16,35,66,0,0,0,383,25,31,44.6,Matches
Allan\Allan,br BRA,MFDF,Eint Frankfurt,21,1997,2,1,0,0,5,5,0,1,0,3,0,0,0,25,2,1,66.7,Matches
Alfons Amade\Alfons-Amade,de GER,MF,Hoffenheim,18,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100,Matches
Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Hoffenheim,21,1996,8.4,1,0,0,14,14,0,13,6,12,0,0,0,72,2,8,20,Matches
Waldemar Anton\Waldemar-Anton,de GER,DF,Hannover 96,22,1996,34,4,0,0,25,21,1,2,46,35,0,1,1,411,68,51,57.1,Matches
Dennis Aogo\Dennis-Aogo,de GER,MF,Stuttgart,31,1987,11.4,1,0,0,10,6,2,16,12,8,0,0,0,114,6,1,85.7,Matches
Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,29,1989,21,3,0,0,28,32,0,10,23,33,0,0,0,279,12,13,48,Matches
Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,24,1994,31.9,7,0,0,45,81,2,61,38,33,1,0,0,325,19,41,31.7,Matches
Takuma Asano\Takuma-Asano,jp JPN,MFFW,Hannover 96,23,1994,7.8,0,0,0,5,14,5,8,2,4,0,0,0,35,5,14,26.3,Matches
Santiago Ascacíbar\Santiago-Ascacibar,ar ARG,MF,Stuttgart,21,1997,27,10,1,0,25,33,0,10,23,41,0,0,1,391,19,31,38,Matches
Simon Asta\Simon-Asta,de GER,DF,Augsburg,17,2001,1,1,0,0,1,0,0,1,4,1,0,0,0,9,2,1,66.7,Matches
Jean-Kévin Augustin\Jean-Kevin-Augustin,fr FRA,FW,RB Leipzig,21,1997,5.1,0,0,0,10,17,5,6,5,0,0,0,0,15,1,7,12.5,Matches
Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DF,Werder Bremen,24,1994,33.6,5,0,0,42,27,2,100,29,31,0,1,0,293,44,52,45.8,Matches
Kaan Ayhan\Kaan-Ayhan,tr TUR,DF,Düsseldorf,23,1994,27.2,10,0,0,25,16,3,4,40,40,0,2,0,249,24,10,70.6,Matches
Florian Baak\Florian-Baak,de GER,MF,Hertha BSC,19,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Holger Badstuber\Holger-Badstuber,de GER,DF,Stuttgart,29,1989,5.8,1,0,0,3,3,0,0,7,5,0,0,0,65,9,3,75,Matches
Daniel Baier\Daniel-Baier,de GER,MF,Augsburg,34,1984,31.3,7,0,0,51,50,0,17,44,38,0,0,0,494,21,23,47.7,Matches
Leon Bailey\Leon-Bailey,jm JAM,FWMF,Leverkusen,20,1997,21.3,4,0,0,20,34,6,93,15,12,0,0,0,155,14,7,66.7,Matches
Marvin Bakalorz\Marvin-Bakalorz,de GER,MF,Hannover 96,28,1989,16.3,5,0,0,25,25,4,7,23,17,1,0,0,144,19,17,52.8,Matches
Ridle Baku\Ridle-Baku,de GER,MF,Mainz 05,20,1998,10.4,1,0,0,9,14,1,8,10,8,0,0,0,101,3,4,42.9,Matches
Philipp Bargfrede\Philipp-Bargfrede,de GER,MFDF,Werder Bremen,29,1989,12,6,0,0,25,16,0,2,20,14,0,0,0,166,13,13,50,Matches
Aymen Barkok\Aymen-Barkok,ma MAR,MF,Düsseldorf,20,1998,5.7,0,0,0,9,0,0,3,3,7,0,0,0,47,11,6,64.7,Matches
Leandro Barreiro Martins\Leandro-Barreiro-Martins,lu LUX,MF,Mainz 05,18,2000,1,1,0,0,1,0,0,0,1,4,0,0,0,12,2,0,100,Matches
Fin Bartels\Fin-Bartels,de GER,FW,Werder Bremen,31,1987,0.3,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,,Matches
Robert Bauer\Robert-Bauer,de GER,DF,Nürnberg,23,1995,19.1,4,1,1,19,18,0,28,22,20,0,0,0,160,10,16,38.5,Matches
Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,28,1990,33,0,0,0,0,7,0,0,0,0,0,0,0,205,0,0,,Matches
Timo Baumgartl\Timo-Baumgartl,de GER,DF,Stuttgart,22,1996,18,2,0,0,12,14,1,3,14,22,0,0,0,189,25,13,65.8,Matches
Julian Baumgartlinger\Julian-Baumgartlinger,at AUT,MF,Leverkusen,30,1988,17.3,2,0,0,20,19,0,2,20,34,0,0,0,216,20,18,52.6,Matches
Christoph Baumgartner\Christoph-Baumgartner,at AUT,MF,Hoffenheim,18,1999,0.9,2,1,1,2,3,0,1,0,1,0,0,0,11,1,0,100,Matches
Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee,ng NGA,FW,Hannover 96,21,1996,1.7,0,0,0,2,2,2,3,1,0,0,0,0,13,0,5,0,Matches
Ihlas Bebou\Ihlas-Bebou,tg TOG,FWMF,Hannover 96,24,1994,11.8,1,0,0,11,21,5,27,8,15,0,0,0,94,12,16,42.9,Matches
Uffe Bech\Uffe-Bech,dk DEN,FW,Hannover 96,25,1993,0.2,1,0,0,2,0,0,2,0,0,0,0,0,4,2,0,100,Matches
