Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Eugenio Lamanna\Eugenio-Lamanna,it ITA,GK,Genoa,26,1989,21,20,1883,20.9,37,1.77,95,58,62.1,5,4,12,2,10,3,1,1,1,50,Matches
Luca Lezzerini\Luca-Lezzerini,it ITA,GK,Fiorentina,21,1995,1,0,51,0.6,0,0,2,2,100,1,0,0,0,,0,0,0,0,,Matches
Federico Marchetti\Federico-Marchetti,it ITA,GK,Lazio,33,1983,17,17,1485,16.5,22,1.33,76,54,72.4,9,4,4,2,11.8,5,1,2,2,66.7,Matches
Antonio Mirante\Antonio-Mirante,it ITA,GK,Bologna,33,1983,21,21,1879,20.9,32,1.53,100,68,69,7,4,10,8,38.1,3,1,1,1,50,Matches
Neto\Neto,br BRA,GK,Juventus,27,1989,8,7,675,7.5,2,0.27,15,13,86.7,6,1,0,5,71.4,0,0,0,0,,Matches
Juan Pablo Carrizo\Juan-Pablo-Carrizo,ar ARG,GK,Inter,32,1984,1,1,90,1,2,2,4,2,50,1,0,0,0,0,0,0,0,0,,Matches
Daniele Padelli\Daniele-Padelli,it ITA,GK,Torino,30,1985,2,2,180,2,4,2,7,3,57.1,1,0,1,0,0,1,1,0,0,0,Matches
Alberto Pelagotti\Alberto-Pelagotti,it ITA,GK,Empoli,26,1989,3,3,270,3,5,1.67,13,8,61.5,0,0,3,0,0,0,0,0,0,,Matches
Mattia Perin\Mattia-Perin,it ITA,GK,Genoa,23,1992,16,16,1357,15.1,19,1.26,55,36,69.1,4,5,6,6,37.5,4,2,1,1,33.3,Matches
Josip Posavec\Josip-Posavec,hr CRO,GK,Palermo,20,1996,29,29,2610,29,63,2.17,166,103,65.1,3,6,20,2,6.9,5,5,0,0,0,Matches
Christian Puggioni\Christian-Puggioni,it ITA,GK,Sampdoria,35,1981,21,21,1890,21,35,1.67,112,77,72.3,5,7,9,4,19,5,4,1,0,20,Matches
Rafael\Rafael,br BRA,GK,Cagliari,34,1982,21,19,1802,20,32,1.6,105,73,71.4,9,2,9,3,15.8,5,2,2,1,50,Matches
Pepe Reina\Pepe-Reina,es ESP,GK,Napoli,33,1982,37,37,3330,37,38,1.03,124,86,71.8,26,7,4,12,32.4,4,3,1,0,25,Matches
Rubinho\Rubinho,br BRA,GK,Genoa,33,1982,2,2,180,2,8,4,16,8,56.3,0,0,2,0,0,1,1,0,0,0,Matches
Simone Scuffet\Simone-Scuffet,it ITA,GK,Udinese,20,1996,6,5,462,5.1,11,2.14,28,17,64.3,1,2,2,0,0,1,1,0,0,0,Matches
Andrea Seculin\Andrea-Seculin,it ITA,GK,Chievo,26,1990,4,4,360,4,9,2.25,30,21,70,0,0,4,0,0,0,0,0,0,,Matches
?ukasz Skorupski\Lukasz-Skorupski,pl POL,GK,Empoli,25,1991,35,35,3150,35,56,1.6,199,143,74.4,8,8,19,10,28.6,9,5,3,1,37.5,Matches
Stefano Sorrentino\Stefano-Sorrentino,it ITA,GK,Chievo,37,1979,34,34,3060,34,52,1.53,158,106,69.6,12,7,15,10,29.4,6,4,0,2,0,Matches
Marco Sportiello\Marco-Sportiello,it ITA,GK,Fiorentina,24,1992,2,2,180,2,4,2,6,2,50,1,0,1,0,0,1,1,0,0,0,Matches
Marco Sportiello\Marco-Sportiello,it ITA,GK,Atalanta,24,1992,8,8,720,8,14,1.75,33,19,60.6,3,2,3,2,25,1,1,0,0,0,Matches
Marco Storari\Marco-Storari,it ITA,GK,Cagliari,39,1977,15,15,1256,14,36,2.58,89,53,62.9,3,2,9,0,0,4,3,0,1,0,Matches
Thomas Strakosha\Thomas-Strakosha,al ALB,GK,Lazio,21,1995,21,20,1845,20.5,26,1.27,86,60,74.4,12,3,5,6,30,4,4,0,0,0,Matches
Wojciech Szcz?sny\Wojciech-Szczesny,pl POL,GK,Roma,26,1990,38,38,3420,38,38,1,154,116,76.6,28,3,7,14,36.8,4,2,2,0,50,Matches
Ciprian T?t?ru?anu\Ciprian-Tatarusanu,ro ROU,GK,Fiorentina,30,1986,35,35,3099,34.4,51,1.48,156,105,69.9,14,10,10,11,31.4,5,4,0,1,0,Matches
Ivan Vargi?\Ivan-Vargic,hr CRO,GK,Lazio,29,1987,1,1,90,1,3,3,6,3,50,0,0,1,0,0,0,0,0,0,,Matches
Emiliano Viviano\Emiliano-Viviano,it ITA,GK,Sampdoria,30,1985,17,17,1530,17,20,1.18,68,48,73.5,7,5,5,3,17.6,3,2,1,0,33.3,Matches
