Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,27,1990,35.5,3,0,0,12,14,11,54,36,32,0,0,0,331,9,10,47.4,Matches
Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,30,1988,27.3,4,0,0,22,25,26,15,7,14,0,0,0,129,11,14,44,Matches
Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,23,1995,37.9,3,0,0,28,21,2,8,27,37,1,1,0,353,75,46,62,Matches
Marc Albrighton\Marc-Albrighton,eng ENG,FWMF,Leicester City,28,1989,18.1,3,0,0,10,20,2,81,23,23,0,0,0,157,9,12,42.9,Matches
Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,29,1989,32.5,3,0,0,10,2,1,3,20,23,0,1,1,356,33,36,47.8,Matches
Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,19,1998,27.4,3,0,0,14,8,4,111,33,28,0,0,0,290,6,15,28.6,Matches
Alisson\Alisson,br BRA,GK,Liverpool,25,1992,38,1,0,0,0,1,0,0,0,0,0,0,0,223,1,0,100,Matches
Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,22,1996,20.3,4,0,0,23,20,3,17,16,26,0,0,0,180,11,18,37.9,Matches
Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,24,1994,8.4,0,0,0,6,17,4,19,4,11,0,0,0,84,4,8,33.3,Matches
Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,27,1990,30.7,6,0,0,28,37,2,77,31,38,2,1,0,353,56,36,60.9,Matches
Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,23,1994,7.1,2,0,0,6,1,1,4,11,8,0,1,0,92,10,3,76.9,Matches
Luke Amos\Luke-Amos,eng ENG,MF,Tottenham,21,1997,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,Matches
Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,25,1993,33.8,3,0,0,27,53,5,76,38,44,0,1,0,295,5,18,21.7,Matches
Florin Andone\Florin-Andone,ro ROU,FW,Brighton,25,1993,9.8,5,0,0,28,20,4,9,1,9,0,0,0,53,28,62,31.1,Matches
