Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,27,1990,36,36,3195,35.5,3,2,3,0,0,3,0,0.08,0.06,0.14,0.08,0.14,Matches
Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,30,1988,33,31,2459,27.3,21,8,19,2,2,4,0,0.77,0.29,1.06,0.7,0.99,Matches
Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,23,1995,38,38,3411,37.9,4,0,4,0,0,3,0,0.11,0,0.11,0.11,0.11,Matches
Marc Albrighton\Marc-Albrighton,eng ENG,FWMF,Leicester City,28,1989,27,18,1625,18.1,2,2,2,0,0,3,0,0.11,0.11,0.22,0.11,0.22,Matches
Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,29,1989,34,33,2922,32.5,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,19,1998,29,27,2462,27.4,1,12,1,0,0,3,0,0.04,0.44,0.48,0.04,0.48,Matches
Alisson\Alisson,br BRA,GK,Liverpool,25,1992,38,38,3420,38,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,22,1996,25,22,1825,20.3,5,3,5,0,0,4,0,0.25,0.15,0.39,0.25,0.39,Matches
Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,24,1994,10,9,759,8.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,27,1990,31,31,2759,30.7,2,4,2,0,0,6,0,0.07,0.13,0.2,0.07,0.2,Matches
Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,23,1994,9,7,641,7.1,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Luke Amos\Luke-Amos,eng ENG,MF,Tottenham,21,1997,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,25,1993,36,36,3043,33.8,9,4,9,0,0,3,0,0.27,0.12,0.38,0.27,0.38,Matches
Florin Andone\Florin-Andone,ro ROU,FW,Brighton,25,1993,23,8,881,9.8,3,0,3,0,0,5,0,0.31,0,0.31,0.31,0.31,Matches
Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,28,1990,33,22,2103,23.4,6,4,6,0,0,3,0,0.26,0.17,0.43,0.26,0.43,Matches
Stuart Armstrong\Stuart-Armstrong,sco SCO,MFFW,Southampton,26,1992,29,16,1432,15.9,3,2,3,0,0,2,0,0.19,0.13,0.31,0.19,0.31,Matches
Marko Arnautovi?\Marko-Arnautovic,at AUT,FW,West Ham,29,1989,28,24,1990,22.1,10,4,9,1,1,3,0,0.45,0.18,0.63,0.41,0.59,Matches
Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,23,1994,36,36,3240,36,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Harry Arter\Harry-Arter,ie IRL,MF,Cardiff City,28,1989,25,24,1997,22.2,0,1,0,0,0,10,0,0,0.05,0.05,0,0.05,Matches
Christian Atsu\Christian-Atsu,gh GHA,MFFW,Newcastle Utd,26,1992,28,15,1493,16.6,1,0,1,0,0,2,0,0.06,0,0.06,0.06,0.06,Matches
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,29,1989,36,30,2726,30.3,22,5,18,4,5,0,0,0.73,0.17,0.89,0.59,0.76,Matches
Serge Aurier\Serge-Aurier,ci CIV,DFMF,Tottenham,25,1992,8,6,564,6.3,0,2,0,0,0,1,0,0,0.32,0.32,0,0.32,Matches
Charlie Austin\Charlie-Austin,eng ENG,FW,Southampton,29,1989,25,11,983,10.9,2,2,2,0,1,1,0,0.18,0.18,0.37,0.18,0.37,Matches
Jordan Ayew\Jordan-Ayew,gh GHA,FW,Crystal Palace,26,1991,20,14,1181,13.1,1,2,1,0,0,3,0,0.08,0.15,0.23,0.08,0.23,Matches
Floyd Ayité\Floyd-Ayite,tg TOG,FWMF,Fulham,29,1988,16,3,476,5.3,1,0,1,0,0,0,0,0.19,0,0.19,0.19,0.19,Matches
César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,28,1989,38,38,3402,37.8,1,5,1,0,0,4,0,0.03,0.13,0.16,0.03,0.16,Matches
Ryan Babel\Ryan-Babel,nl NED,FW,Fulham,31,1986,16,15,1251,13.9,5,3,5,0,0,3,0,0.36,0.22,0.58,0.36,0.58,Matches
Juninho Bacuna\Juninho-Bacuna,cw CUW,MFDF,Huddersfield,20,1997,21,16,1412,15.7,1,0,1,0,0,4,0,0.06,0,0.06,0.06,0.06,Matches
Leandro Bacuna\Leandro-Bacuna,cw CUW,MFDF,Cardiff City,26,1991,11,4,561,6.2,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,24,1994,12,8,638,7.1,0,0,0,0,0,0,1,0,0,0,0,0,Matches
Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,33,1984,6,5,375,4.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,26,1991,23,23,2013,22.4,1,0,1,0,0,2,0,0.04,0,0.04,0.04,0.04,Matches
Leon Balogun\Leon-Balogun,ng NGA,DF,Brighton,30,1988,8,5,594,6.6,1,0,1,0,0,2,0,0.15,0,0.15,0.15,0.15,Matches
Sol Bamba\Sol-Bamba,ci CIV,DF,Cardiff City,33,1985,28,28,2474,27.5,4,1,4,0,0,7,0,0.15,0.04,0.18,0.15,0.18,Matches
Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,33,1985,19,19,1670,18.6,0,0,0,0,0,9,0,0,0,0,0,0,Matches
Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,24,1993,27,13,1245,13.8,3,5,3,0,0,1,0,0.22,0.36,0.58,0.22,0.58,Matches
Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,28,1989,37,26,2388,26.5,12,2,10,2,2,8,0,0.45,0.08,0.53,0.38,0.45,Matches
Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,20,1997,16,11,1004,11.2,1,2,1,0,0,0,0,0.09,0.18,0.27,0.09,0.27,Matches
Antonio Barreca\Antonio-Barreca,it ITA,DF,Newcastle Utd,23,1995,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,24,1993,11,9,750,8.3,5,0,5,0,0,0,0,0.6,0,0.6,0.6,0.6,Matches
Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,22,1996,25,24,2151,23.9,0,1,0,0,0,7,0,0,0.04,0.04,0,0.04,Matches
Asmir Begovi?\Asmir-Begovic,ba BIH,GK,Bournemouth,31,1987,24,24,2160,24,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,23,1995,19,18,1533,17,0,5,0,0,0,3,0,0,0.29,0.29,0,0.29,Matches
Joe Bennett\Joe-Bennett,eng ENG,DF,Cardiff City,28,1990,30,30,2639,29.3,0,1,0,0,0,5,0,0,0.03,0.03,0,0.03,Matches
Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,28,1990,34,34,3060,34,1,0,1,0,0,12,0,0.03,0,0.03,0.03,0.03,Matches
Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,27,1990,16,9,814,9,1,1,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22,Matches
Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MFFW,Burnley,27,1990,29,19,1752,19.5,3,6,3,0,0,2,0,0.15,0.31,0.46,0.15,0.46,Matches
Bernard\Bernard,br BRA,FWMF,Everton,25,1992,34,25,2116,23.5,1,3,1,0,0,5,0,0.04,0.13,0.17,0.04,0.17,Matches
Bernardo\Bernardo,br BRA,DF,Brighton,23,1995,22,19,1752,19.5,0,1,0,0,0,4,0,0,0.05,0.05,0,0.05,Matches
Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,28,1989,24,24,2160,24,1,0,1,0,0,8,0,0.04,0,0.04,0.04,0.04,Matches
Marcus Bettinelli\Marcus-Bettinelli,eng ENG,GK,Fulham,26,1992,7,7,630,7,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Philip Billing\Philip-Billing,dk DEN,MF,Huddersfield,22,1996,27,25,2188,24.3,2,0,2,0,0,7,0,0.08,0,0.08,0.08,0.08,Matches
Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,21,1996,28,17,1774,19.7,0,0,0,0,0,5,0,0,0,0,0,0,Matches
Willy Boly\Willy-Boly,ci CIV,DF,Wolves,27,1991,36,36,3167,35.2,4,0,4,0,0,2,1,0.11,0,0.11,0.11,0.11,Matches
Léo Bonatini\Leo-Bonatini,br BRA,FW,Wolves,24,1994,7,0,135,1.5,0,1,0,0,0,0,0,0,0.67,0.67,0,0.67,Matches
Gaëtan Bong\Gaetan-Bong,cm CMR,DF,Brighton,30,1988,22,19,1808,20.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Artur Boruc\Artur-Boruc,pl POL,GK,Bournemouth,38,1980,12,12,1080,12,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Robbie Brady\Robbie-Brady,ie IRL,MFFW,Burnley,26,1992,16,6,720,8,0,1,0,0,0,3,1,0,0.12,0.12,0,0.12,Matches
Miguel Britos\Miguel-Britos,uy URU,DF,Watford,33,1985,3,2,185,2.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
David Brooks\David-Brooks,wal WAL,MFFW,Bournemouth,21,1997,30,29,2261,25.1,7,5,7,0,0,3,0,0.28,0.2,0.48,0.28,0.48,Matches
Bruno\Bruno,es ESP,DF,Brighton,37,1980,14,14,1131,12.6,0,1,0,0,0,2,0,0,0.08,0.08,0,0.08,Matches
Joe Bryan\Joe-Bryan,eng ENG,DF,Fulham,24,1993,28,27,2345,26.1,0,1,0,0,0,5,0,0,0.04,0.04,0,0.04,Matches
David Button\David-Button,eng ENG,GK,Brighton,29,1989,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,36,1981,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Gary Cahill\Gary-Cahill,eng ENG,DF,Chelsea,32,1985,2,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Tom Cairney\Tom-Cairney,sco SCO,MFFW,Fulham,27,1991,31,24,2194,24.4,1,1,1,0,0,0,0,0.04,0.04,0.08,0.04,0.08,Matches
Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,21,1997,35,19,1784,19.8,6,2,6,0,0,3,0,0.3,0.1,0.4,0.3,0.4,Matches
Rafael Camacho\Rafael-Camacho,pt POR,DF,Liverpool,18,2000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Víctor Camarasa\Victor-Camarasa,es ESP,MF,Cardiff City,24,1994,32,31,2569,28.5,5,4,5,0,0,6,0,0.18,0.14,0.32,0.18,0.32,Matches
Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,30,1988,33,33,2944,32.7,1,3,1,0,0,14,1,0.03,0.09,0.12,0.03,0.12,Matches
Andy Carroll\Andy-Carroll,eng ENG,FW,West Ham,29,1989,12,3,461,5.1,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Jonny Castro\Jonny-Castro,es ESP,DFMF,Wolves,24,1994,33,32,2771,30.8,1,1,1,0,0,6,0,0.03,0.03,0.06,0.03,0.06,Matches
Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,29,1989,36,35,3096,34.4,3,0,3,0,0,2,0,0.09,0,0.09,0.09,0.09,Matches
Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Wolves,24,1993,23,6,693,7.7,3,1,3,0,0,1,0,0.39,0.13,0.52,0.39,0.52,Matches
Petr ?ech\Petr-Cech,cz CZE,GK,Arsenal,36,1982,7,7,584,6.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MFFW,Watford,23,1994,9,3,270,3,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Calum Chambers\Calum-Chambers,eng ENG,MFDF,Fulham,23,1995,31,29,2588,28.8,2,0,2,0,0,9,0,0.07,0,0.07,0.07,0.07,Matches
Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,21,1996,36,36,3240,36,0,4,0,0,0,4,0,0,0.11,0.11,0,0.11,Matches
Tahith Chong\Tahith-Chong,nl NED,FW,Manchester Utd,18,1999,2,0,38,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,20,1997,9,7,595,6.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,22,1996,8,6,617,6.9,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Cyrus Christie\Cyrus-Christie,ie IRL,DF,Fulham,25,1992,28,19,1948,21.6,0,1,0,0,0,7,0,0,0.05,0.05,0,0.05,Matches
Ibrahima Cissé\Ibrahima-Cisse,gn GUI,MFFW,Fulham,24,1994,3,1,88,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,28,1989,11,9,858,9.5,3,0,3,0,0,1,0,0.31,0,0.31,0.31,0.31,Matches
Tom Cleverley\Tom-Cleverley,eng ENG,MFFW,Watford,28,1989,13,4,478,5.3,1,0,1,0,0,2,0,0.19,0,0.19,0.19,0.19,Matches
Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Bournemouth,27,1991,14,13,1143,12.7,0,1,0,0,0,2,0,0,0.08,0.08,0,0.08,Matches
Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Liverpool,27,1991,4,1,111,1.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Conor Coady\Conor-Coady,eng ENG,DF,Wolves,25,1993,38,38,3420,38,0,0,0,0,0,5,0,0,0,0,0,0,Matches
Joel Coleman\Joel-Coleman,eng ENG,GK,Huddersfield,22,1995,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,29,1988,29,29,2558,28.4,2,2,2,0,0,1,0,0.07,0.07,0.14,0.07,0.14,Matches
