Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Aly Abeid\Aly-Abeid,mr MTN,DF,Levante,19,1997,0.8,0,0,0,1,0,0,2,1,1,0,0,0,8,0,2,0,Matches
Antonio Adán\Antonio-Adan,es ESP,GK,Betis,30,1987,30,4,0,0,0,4,0,0,0,0,0,0,0,127,0,0,,Matches
Aday\Aday,es ESP,DFMF,Girona,29,1987,20.4,10,0,0,38,15,6,99,21,6,0,0,1,187,19,11,63.3,Matches
Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,36,1981,23.9,5,0,0,40,40,35,16,0,8,0,0,0,72,63,45,58.3,Matches
Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,21,1996,20.3,4,0,0,20,18,0,35,27,19,0,0,0,244,7,7,50,Matches
Imanol Agirretxe\Imanol-Agirretxe,es ESP,FW,Real Sociedad,30,1987,2.6,0,0,0,1,4,1,0,0,0,1,0,0,10,6,2,75,Matches
Matías Aguirregaray\Matias-Aguirregaray,uy URU,DF,Las Palmas,28,1989,12.8,3,0,0,16,22,1,16,18,15,0,0,0,108,5,10,33.3,Matches
Ager Aketxe\Ager-Aketxe,es ESP,MF,Athletic Club,23,1993,0.5,1,0,0,1,0,0,2,0,1,0,0,0,4,0,1,0,Matches
David Alba\David-Alba,es ESP,DF,Getafe,18,1999,0.7,0,0,0,3,0,0,0,0,1,0,0,0,7,0,2,0,Matches
Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,28,1989,30.5,7,0,0,28,22,16,75,52,30,0,0,0,278,8,10,44.4,Matches
Raúl Albentosa\Raul-Albentosa,es ESP,DF,La Coruña,28,1988,19.4,5,0,0,15,15,1,3,13,12,0,1,0,226,22,11,66.7,Matches
Paco Alcácer\Paco-Alcacer,es ESP,FWMF,Barcelona,23,1993,7.8,0,0,0,1,9,7,7,8,3,0,0,0,45,3,11,21.4,Matches
Pedro Alcalá\Pedro-Alcala,es ESP,DF,Girona,28,1989,7.6,4,0,0,11,3,2,1,4,5,0,0,0,101,6,9,40,Matches
Steve Aldo One\Steve-Aldo-One,cm CMR,DF,La Coruña,22,1995,1,0,0,,1,,,0,1,0,0,0,,5,1,0,100,Matches
Álex Alegría\Alex-Alegria,es ESP,FW,Levante,24,1992,6.9,1,0,0,9,18,5,3,6,2,0,0,0,14,16,17,48.5,Matches
Iván Alejo\Ivan-Alejo,es ESP,FWMF,Eibar,22,1995,12.5,5,0,0,25,45,3,76,7,13,0,0,0,94,4,11,26.7,Matches
Alexander\Alexander,ar ARG,FWMF,Leganés,28,1988,11.7,1,0,0,18,18,8,29,13,12,1,0,0,63,1,4,20,Matches
Alexis\Alexis,es ESP,DF,Alavés,31,1985,24.3,6,0,0,20,15,2,4,23,17,0,0,1,215,16,7,69.6,Matches
José Alonso Lara\Jose-Alonso-Lara,es ESP,FW,Sevilla,17,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,30,1986,16.4,0,0,0,0,5,0,0,0,0,0,0,0,67,0,0,,Matches
Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,22,1995,7.5,2,0,0,12,11,0,1,8,4,0,0,0,95,10,7,58.8,Matches
Eloi Amagat\Eloi-Amagat,es ESP,FWMF,Girona,32,1985,0.2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,Matches
Jordi Amat\Jordi-Amat,es ESP,DFMF,Betis,25,1992,22.7,7,3,1,34,11,0,0,23,16,0,1,1,238,15,24,38.5,Matches
Amath\Amath,sn SEN,MFFW,Getafe,21,1996,31.5,9,0,0,70,62,10,23,23,43,0,0,0,226,13,26,33.3,Matches
Nordin Amrabat\Nordin-Amrabat,ma MAR,FWMF,Leganés,30,1987,18,6,2,1,51,36,25,52,5,8,0,1,0,85,7,11,38.9,Matches
Jon Ander Serantes\Jon-Ander-Serantes,es ESP,GK,Leganés,27,1989,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Matches
Florin Andone\Florin-Andone,ro ROU,FW,La Coruña,24,1993,18.2,6,0,0,54,21,18,23,3,9,0,0,0,63,14,47,23,Matches
