Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Antonio Adán\Antonio-Adan,es ESP,GK,Betis,30,1987,30,30,2700,30,53,1.77,128,82,60.9,14,4,12,9,30,4,3,1,0,25,Matches
Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,30,1986,17,16,1479,16.4,29,1.76,77,50,63.6,3,6,7,3,18.8,1,1,0,0,0,Matches
Jon Ander Serantes\Jon-Ander-Serantes,es ESP,GK,Leganés,27,1989,1,1,90,1,2,2,9,7,77.8,1,0,0,0,0,0,0,0,0,,Matches
Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,33,1984,9,9,763,8.5,8,0.94,30,24,80,3,2,4,2,22.2,3,2,1,0,33.3,Matches
Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Athletic Club,22,1994,30,30,2700,30,43,1.43,135,96,68.9,7,9,14,7,23.3,3,1,2,0,66.7,Matches
Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,28,1989,23,23,2070,23,30,1.3,89,62,69.7,12,3,8,6,26.1,5,3,2,0,40,Matches
Mariano Barbosa\Mariano-Barbosa,ar ARG,GK,Villarreal,33,1984,13,12,1125,12.5,14,1.12,47,34,72.3,6,3,3,5,41.7,1,1,0,0,0,Matches
Rubén Blanco\Ruben-Blanco,es ESP,GK,Celta Vigo,22,1995,22,22,1941,21.6,31,1.44,90,62,68.9,10,4,8,4,18.2,4,3,0,1,0,Matches
Yassine Bounou\Yassine-Bounou,ma MAR,GK,Girona,26,1991,30,30,2655,29.5,46,1.56,136,95,69.1,13,6,11,9,30,5,4,0,1,0,Matches
Kiko Casilla\Kiko-Casilla,es ESP,GK,Real Madrid,30,1986,10,10,900,10,11,1.1,32,22,65.6,6,2,2,3,30,0,0,0,0,,Matches
Nereo Champagne\Nereo-Champagne,ar ARG,GK,Leganés,32,1985,2,2,180,2,6,3,9,4,44.4,0,0,2,0,0,1,1,0,0,0,Matches
Leandro Chichizola\Leandro-Chichizola,ar ARG,GK,Las Palmas,27,1990,27,27,2430,27,47,1.74,152,109,71.1,4,5,18,4,14.8,3,3,0,0,0,Matches
Jasper Cillessen\Jasper-Cillessen,nl NED,GK,Barcelona,28,1989,1,1,90,1,1,1,7,6,85.7,1,0,0,1,100,0,0,0,0,,Matches
Iván Cuéllar\Ivan-Cuellar,es ESP,GK,Leganés,33,1984,35,35,3150,35,43,1.23,143,105,73.4,11,8,18,14,40,6,5,1,0,16.7,Matches
Marko Dmitrovi?\Marko-Dmitrovic,rs SRB,GK,Eibar,25,1992,36,36,3240,36,49,1.36,121,80,62.8,13,8,15,10,27.8,4,4,0,0,0,Matches
Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,26,1990,5,5,450,5,5,1,22,17,77.3,4,0,1,2,40,0,0,0,0,,Matches
Andrés Fernández\Andres-Fernandez,es ESP,GK,Villarreal,30,1986,3,3,225,2.5,6,2.4,15,10,66.7,0,1,2,0,0,1,1,0,0,0,Matches
Raúl Fernández\Raul-Fernandez,es ESP,GK,Levante,29,1988,11,11,990,11,15,1.36,53,38,71.7,2,6,3,3,27.3,0,0,0,0,,Matches
Dani Giménez\Dani-Gimenez,es ESP,GK,Betis,34,1983,4,4,308,3.4,0,0,7,7,100,3,0,0,3,75,0,0,0,0,,Matches
Vicente Guaita\Vicente-Guaita,es ESP,GK,Getafe,30,1987,33,33,2970,33,26,0.79,108,83,76.9,13,9,11,12,36.4,3,1,1,1,50,Matches
Iago Herrerín\Iago-Herrerin,es ESP,GK,Athletic Club,29,1988,8,8,720,8,6,0.75,26,22,84.6,3,4,1,4,50,3,2,1,0,33.3,Matches
Gorka Iraizoz\Gorka-Iraizoz,es ESP,GK,Girona,36,1981,9,8,765,8.5,13,1.53,37,26,64.9,1,3,4,2,25,0,0,0,0,,Matches
Maksym Koval\Maksym-Koval,ua UKR,GKMF,La Coruña,24,1992,2,2,121,1.3,3,2.23,5,2,40,0,0,1,0,0,0,0,0,0,,Matches
Raúl Lizoain\Raul-Lizoain,es ESP,GK,Las Palmas,26,1991,11,11,990,11,27,2.45,61,36,59,1,2,8,1,9.1,2,2,0,0,0,Matches
Diego López\Diego-Lopez,es ESP,GK,Espanyol,35,1981,11,11,942,10.5,11,1.05,38,30,73.7,3,4,2,3,27.3,2,1,1,0,50,Matches
Pau López\Pau-Lopez,es ESP,GK,Espanyol,22,1994,28,27,2478,27.5,31,1.13,128,100,78.1,9,9,11,9,33.3,5,3,1,1,25,Matches
Pedro López\Pedro-Lopez,es ESP,GK,Betis,22,1995,5,4,412,4.6,8,1.75,18,10,55.6,1,2,2,0,0,0,0,0,0,,Matches
Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,Getafe,24,1992,5,5,450,5,7,1.4,19,13,68.4,2,1,2,2,40,1,1,0,0,0,Matches
Keylor Navas\Keylor-Navas,cr CRC,GK,Real Madrid,30,1986,27,27,2430,27,31,1.15,112,84,74.1,16,7,4,7,25.9,4,2,2,0,50,Matches
Neto\Neto,br BRA,GK,Valencia,28,1989,33,33,2970,33,33,1,150,120,80,18,7,8,10,30.3,5,3,2,0,40,Matches
Jan Oblak\Jan-Oblak,si SVN,GK,Atlético Madrid,24,1993,37,37,3330,37,22,0.59,126,106,83.3,22,10,5,22,59.5,4,1,3,0,75,Matches
Oier Olazábal\Oier-Olazabal,es ESP,GK,Levante,27,1989,26,26,2340,26,39,1.5,117,86,70.9,9,7,10,7,26.9,6,5,0,1,0,Matches
Fernando Pacheco\Fernando-Pacheco,es ESP,GK,Alavés,25,1992,38,37,3360,37.3,50,1.34,175,134,75.4,15,2,20,12,32.4,11,7,3,1,30,Matches
