Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Denis Cheryshev\Denis-Cheryshev,ru RUS,MFFW,Villarreal,26,1990,24,9,931,10.3,2,1,2,0,0,2,0,0.19,0.1,0.29,0.19,0.29,4.7,4.7,3.4,8.1,0.46,0.33,0.79,0.46,0.79,Matches
Leandro Chichizola\Leandro-Chichizola,ar ARG,GK,Las Palmas,27,1990,27,27,2430,27,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.4,0.4,0,0.02,0.02,0,0.02,Matches
Chuca\Chuca,es ESP,MF,Villarreal,20,1997,4,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.07,0.01,0.08,0.07,0.08,Matches
Cifu\Cifu,es ESP,DF,Málaga,26,1990,2,1,108,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.22,0.22,0,0.22,Matches
Jasper Cillessen\Jasper-Cillessen,nl NED,GK,Barcelona,28,1989,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Coke\Coke,es ESP,DF,Levante,30,1987,17,16,1383,15.4,3,0,3,0,0,5,2,0.2,0,0.2,0.2,0.2,1.5,1.5,0.9,2.4,0.1,0.06,0.16,0.1,0.16,Matches
Emre Çolak\Emre-Colak,tr TUR,MFFW,La Coruña,26,1991,26,17,1447,16.1,1,2,1,0,0,4,0,0.06,0.12,0.19,0.06,0.19,1.6,1.6,3.2,4.8,0.1,0.2,0.29,0.1,0.29,Matches
Francis Coquelin\Francis-Coquelin,fr FRA,MFDF,Valencia,26,1991,9,7,657,7.3,1,0,1,0,0,2,0,0.14,0,0.14,0.14,0.14,0.4,0.4,0.1,0.4,0.05,0.01,0.06,0.05,0.06,Matches
Sébastien Corchia\Sebastien-Corchia,fr FRA,DF,Sevilla,26,1990,12,9,820,9.1,0,1,0,0,0,4,0,0,0.11,0.11,0,0.11,0.5,0.5,0.5,1,0.05,0.06,0.11,0.05,0.11,Matches
Iñigo Córdoba\Inigo-Cordoba,es ESP,FWMF,Athletic Club,20,1997,30,18,1454,16.2,1,1,1,0,0,3,0,0.06,0.06,0.12,0.06,0.12,1.1,1.1,1.7,2.8,0.07,0.1,0.17,0.07,0.17,Matches
Ángel Correa\Angel-Correa,ar ARG,FWMF,Atlético Madrid,22,1995,37,27,2240,24.9,8,5,8,0,0,4,2,0.32,0.2,0.52,0.32,0.52,6,6,2.2,8.2,0.24,0.09,0.33,0.24,0.33,Matches
Joaquín Correa\Joaquin-Correa,ar ARG,FWMF,Sevilla,22,1994,21,15,1189,13.2,1,2,1,0,0,5,0,0.08,0.15,0.23,0.08,0.23,1.7,1.7,1.8,3.5,0.13,0.14,0.27,0.13,0.27,Matches
Diego Costa\Diego-Costa,es ESP,FW,Atlético Madrid,28,1988,15,13,1034,11.5,3,3,3,0,0,7,2,0.26,0.26,0.52,0.26,0.52,2.9,2.9,2.3,5.2,0.25,0.2,0.45,0.25,0.45,Matches
Jaume Costa\Jaume-Costa,es ESP,DF,Villarreal,29,1988,30,29,2544,28.3,0,0,0,0,0,14,2,0,0,0,0,0,0.5,0.5,1.8,2.2,0.02,0.06,0.08,0.02,0.08,Matches
Philippe Coutinho\Philippe-Coutinho,br BRA,FWMF,Barcelona,25,1992,18,16,1293,14.4,8,5,8,0,0,1,0,0.56,0.35,0.9,0.56,0.9,3.2,3.2,3.7,6.9,0.22,0.26,0.48,0.22,0.48,Matches
Iván Cuéllar\Ivan-Cuellar,es ESP,GK,Leganés,33,1984,35,35,3150,35,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Sergi Darder\Sergi-Darder,es ESP,MF,Espanyol,23,1993,35,32,2778,30.9,1,2,1,0,0,7,0,0.03,0.06,0.1,0.03,0.1,1.4,1.4,2.6,3.9,0.04,0.08,0.13,0.04,0.13,Matches
Salem Al-Dawsari\Salem-Al-Dawsari,sa KSA,MF,Villarreal,25,1991,1,0,33,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ousmane Dembélé\Ousmane-Dembele,fr FRA,FWMF,Barcelona,20,1997,17,12,918,10.2,3,6,3,0,0,2,0,0.29,0.59,0.88,0.29,0.88,2.4,2.4,3.8,6.2,0.23,0.37,0.6,0.23,0.6,Matches
Ermedin Demirovi?\Ermedin-Demirovic,ba BIH,FW,Alavés,19,1998,3,2,183,2,1,1,1,0,0,0,0,0.49,0.49,0.98,0.49,0.98,0.9,0.9,0.1,0.9,0.43,0.03,0.46,0.43,0.46,Matches
Gerard Deulofeu\Gerard-Deulofeu,es ESP,MFFW,Barcelona,23,1994,10,5,502,5.6,1,1,1,0,0,1,0,0.18,0.18,0.36,0.18,0.36,1.3,1.3,1.1,2.4,0.23,0.19,0.43,0.23,0.43,Matches
Adrián Diéguez\Adrian-Dieguez,es ESP,DF,Alavés,21,1996,6,6,435,4.8,0,0,0,0,0,5,0,0,0,0,0,0,0.1,0.1,0,0.1,0.01,0,0.01,0.01,0.01,Matches
Lucas Digne\Lucas-Digne,fr FRA,DF,Barcelona,24,1993,12,8,709,7.9,0,1,0,0,0,2,0,0,0.13,0.13,0,0.13,0.3,0.3,1.7,2,0.04,0.22,0.26,0.04,0.26,Matches
Papakouli Diop\Papakouli-Diop,sn SEN,MF,Espanyol,31,1986,5,3,262,2.9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.1,0.02,0.01,0.03,0.02,0.03,Matches
Papakouli Diop\Papakouli-Diop,sn SEN,MF,Eibar,31,1986,15,12,937,10.4,0,0,0,0,0,5,0,0,0,0,0,0,0.6,0.6,0.2,0.8,0.06,0.02,0.08,0.06,0.08,Matches
Djené\Djene,tg TOG,DF,Getafe,25,1991,36,36,3238,36,1,0,1,0,0,9,0,0.03,0,0.03,0.03,0.03,0.6,0.6,0.2,0.8,0.02,0,0.02,0.02,0.02,Matches
Marko Dmitrovi?\Marko-Dmitrovic,rs SRB,GK,Eibar,25,1992,36,36,3240,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,Matches
Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,26,1990,5,5,450,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mauro dos Santos\Mauro-dos-Santos,ar ARG,DF,Leganés,28,1989,14,10,986,11,0,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0,0.1,0.01,0,0.01,0.01,0.01,Matches
Cheick Doukouré\Cheick-Doukoure,ci CIV,MF,Levante,24,1992,19,12,1021,11.3,1,0,1,0,0,4,0,0.09,0,0.09,0.09,0.09,1.3,1.3,0.3,1.7,0.12,0.03,0.15,0.12,0.15,Matches
Óscar Duarte\Oscar-Duarte,cr CRC,DF,Espanyol,28,1989,11,11,990,11,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0.09,0,0.09,0.09,0.09,Matches
Rubén Duarte\Ruben-Duarte,es ESP,DF,Alavés,21,1995,24,24,2138,23.8,0,2,0,0,0,9,2,0,0.08,0.08,0,0.08,0.5,0.5,1.6,2.1,0.02,0.07,0.09,0.02,0.09,Matches
Riza Durmisi\Riza-Durmisi,dk DEN,DFMF,Betis,23,1994,24,23,2080,23.1,2,2,2,0,0,4,0,0.09,0.09,0.17,0.09,0.17,1.5,1.5,2.4,3.9,0.06,0.1,0.17,0.06,0.17,Matches
Hugo Duro\Hugo-Duro,es ESP,FW,Getafe,17,1999,2,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.5,0,0.5,0.5,0.5,Matches
Aritz Elustondo\Aritz-Elustondo,es ESP,DF,Real Sociedad,23,1994,19,18,1594,17.7,3,2,3,0,0,1,0,0.17,0.11,0.28,0.17,0.28,0.9,0.9,0.3,1.2,0.05,0.02,0.06,0.05,0.06,Matches
Rodrigo Ely\Rodrigo-Ely,br BRA,DF,Alavés,23,1993,31,30,2691,29.9,1,1,1,0,0,11,2,0.03,0.03,0.07,0.03,0.07,1,1,0.1,1,0.03,0,0.03,0.03,0.03,Matches
Youssef En-Nesyri\Youssef-En-Nesyri,ma MAR,FW,Málaga,20,1997,25,16,1601,17.8,4,0,4,0,1,2,2,0.22,0,0.22,0.22,0.22,4.8,4.1,1,5,0.27,0.06,0.33,0.23,0.29,Matches
Sergi Enrich\Sergi-Enrich,es ESP,FW,Eibar,27,1990,19,14,1332,14.8,3,1,2,1,1,2,0,0.2,0.07,0.27,0.14,0.2,4.1,3.4,0.4,3.8,0.28,0.03,0.31,0.23,0.26,Matches
Javier Eraso\Javier-Eraso,es ESP,MFFW,Leganés,27,1990,34,31,2527,28.1,4,3,4,0,0,4,0,0.14,0.11,0.25,0.14,0.25,3.9,3.9,3,6.8,0.14,0.1,0.24,0.14,0.24,Matches
Gonzalo Escalante\Gonzalo-Escalante,ar ARG,MF,Eibar,24,1993,28,16,1574,17.5,1,0,1,0,0,3,0,0.06,0,0.06,0.06,0.06,1.5,1.5,0.6,2.1,0.08,0.03,0.12,0.08,0.12,Matches
Sergio Escudero\Sergio-Escudero,es ESP,DF,Sevilla,27,1989,27,26,2333,25.9,0,2,0,0,0,10,0,0,0.08,0.08,0,0.08,1.3,1.3,1.1,2.4,0.05,0.04,0.09,0.05,0.09,Matches
Bernardo Espinosa\Bernardo-Espinosa,co COL,DF,Girona,28,1989,34,32,2868,31.9,0,3,0,0,0,7,0,0,0.09,0.09,0,0.09,1.9,1.9,0.7,2.5,0.06,0.02,0.08,0.06,0.08,Matches
Oghenekaro Etebo\Oghenekaro-Etebo,ng NGA,MF,Las Palmas,21,1995,14,14,1215,13.5,0,0,0,0,0,3,0,0,0,0,0,0,0.6,0.6,0.3,0.9,0.04,0.02,0.06,0.04,0.06,Matches
Beñat Etxebarria\Benat-Etxebarria,es ESP,MF,Athletic Club,30,1987,24,12,1125,12.5,0,2,0,0,0,3,0,0,0.16,0.16,0,0.16,0.4,0.4,2.1,2.6,0.03,0.17,0.21,0.03,0.21,Matches
Xabier Etxeita\Xabier-Etxeita,es ESP,DF,Athletic Club,29,1987,5,5,375,4.2,1,0,1,0,0,2,0,0.24,0,0.24,0.24,0.24,0.3,0.3,0,0.3,0.07,0,0.07,0.07,0.07,Matches
Edu Expósito\Edu-Exposito,es ESP,MF,La Coruña,20,1996,3,0,97,1.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Erik Expósito\Erik-Exposito,es ESP,FW,Las Palmas,21,1996,10,4,473,5.3,1,0,1,0,0,0,0,0.19,0,0.19,0.19,0.19,1.1,1.1,0.2,1.3,0.21,0.04,0.25,0.21,0.25,Matches
Imoh Ezekiel\Imoh-Ezekiel,ng NGA,FWMF,Las Palmas,23,1993,10,5,467,5.2,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1.1,0.1,1.2,0.21,0.01,0.23,0.21,0.23,Matches
Fayçal Fajr\Faycal-Fajr,ma MAR,MFFW,Getafe,28,1988,31,26,2387,26.5,1,2,1,0,1,7,0,0.04,0.08,0.11,0.04,0.11,1.8,1,2.9,3.9,0.07,0.11,0.18,0.04,0.15,Matches
Zouhair Feddal\Zouhair-Feddal,ma MAR,DF,Betis,28,1989,15,14,1258,14,3,0,3,0,0,7,0,0.21,0,0.21,0.21,0.21,0.6,0.6,0.1,0.7,0.05,0.01,0.05,0.05,0.05,Matches
Andrés Fernández\Andres-Fernandez,es ESP,GK,Villarreal,30,1986,3,3,225,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Augusto Fernández\Augusto-Fernandez,ar ARG,MFFW,Atlético Madrid,31,1986,5,1,110,1.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0.02,0.03,0.05,0.02,0.05,Matches
Carlos Fernández\Carlos-Fernandez,es ESP,FW,Sevilla,21,1996,2,2,135,1.5,1,0,1,0,0,0,0,0.67,0,0.67,0.67,0.67,0.7,0.7,0.1,0.8,0.44,0.08,0.52,0.44,0.52,Matches
Enzo Fernández\Enzo-Fernandez,es ESP,MF,Alavés,22,1995,2,1,70,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
Raúl Fernández\Raul-Fernandez,es ESP,GK,Levante,29,1988,11,11,990,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Junior Firpo\Junior-Firpo,es ESP,DFMF,Betis,20,1996,14,14,1189,13.2,2,2,2,0,0,4,0,0.15,0.15,0.3,0.15,0.3,1.5,1.5,1.2,2.7,0.11,0.09,0.21,0.11,0.21,Matches
Mathieu Flamini\Mathieu-Flamini,fr FRA,MF,Getafe,33,1984,8,6,481,5.3,0,0,0,0,0,2,2,0,0,0,0,0,0.1,0.1,0.1,0.2,0.02,0.01,0.03,0.02,0.03,Matches
Andreu Fontàs\Andreu-Fontas,es ESP,DF,Celta Vigo,27,1989,12,9,884,9.8,0,1,0,0,0,2,0,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches
Pablo Fornals\Pablo-Fornals,es ESP,MFFW,Villarreal,21,1996,35,30,2615,29.1,3,9,3,0,0,4,0,0.1,0.31,0.41,0.1,0.41,3.6,3.6,7.5,11.2,0.12,0.26,0.38,0.12,0.38,Matches
Javi Fuego\Javi-Fuego,es ESP,MF,Villarreal,33,1984,11,6,541,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Javi Fuego\Javi-Fuego,es ESP,MF,Espanyol,33,1984,17,17,1336,14.8,0,0,0,0,0,6,0,0,0,0,0,0,0.2,0.2,0,0.3,0.02,0,0.02,0.02,0.02,Matches
Gabi\Gabi,es ESP,MF,Atlético Madrid,34,1983,34,25,2354,26.2,0,0,0,0,0,8,0,0,0,0,0,0,0.4,0.4,2.1,2.5,0.02,0.08,0.1,0.02,0.1,Matches
Gabriel\Gabriel,br BRA,MF,Leganés,23,1993,29,28,2370,26.3,5,2,4,1,1,6,0,0.19,0.08,0.27,0.15,0.23,5.1,4.3,2.2,6.5,0.19,0.08,0.27,0.16,0.24,Matches
Nicolás Gaitán\Nicolas-Gaitan,ar ARG,MFFW,Atlético Madrid,29,1988,6,1,224,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,0.12,0.17,0.29,0.12,0.29,Matches
Álex Gálvez\Alex-Galvez,es ESP,DF,Eibar,28,1989,4,4,360,4,1,0,1,0,0,1,0,0.25,0,0.25,0.25,0.25,0.2,0.2,0,0.2,0.04,0,0.05,0.04,0.05,Matches
Álex Gálvez\Alex-Galvez,es ESP,DF,Las Palmas,28,1989,18,18,1618,18,0,0,0,0,0,5,1,0,0,0,0,0,0.5,0.5,0.2,0.7,0.03,0.01,0.04,0.03,0.04,Matches
Bruno Gama\Bruno-Gama,pt POR,FWMF,La Coruña,29,1987,6,1,118,1.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3,0.3,0.02,0.25,0.27,0.02,0.27,Matches
Kévin Gameiro\Kevin-Gameiro,fr FRA,FW,Atlético Madrid,30,1987,25,11,1133,12.6,7,2,5,2,2,0,0,0.56,0.16,0.71,0.4,0.56,5.6,4,1.2,5.2,0.45,0.1,0.54,0.32,0.42,Matches
Ganso\Ganso,br BRA,MF,Sevilla,27,1989,8,7,515,5.7,2,1,2,0,0,0,0,0.35,0.17,0.52,0.35,0.52,1.1,1.1,0.7,1.8,0.19,0.12,0.31,0.19,0.31,Matches
Ezequiel Garay\Ezequiel-Garay,ar ARG,DF,Valencia,30,1986,24,23,2026,22.5,0,0,0,0,0,5,0,0,0,0,0,0,0.2,0.2,0.6,0.8,0.01,0.03,0.04,0.01,0.04,Matches
Aleix García\Aleix-Garcia,es ESP,MF,Girona,20,1997,20,7,863,9.6,1,0,1,0,0,3,0,0.1,0,0.1,0.1,0.1,0.4,0.4,1.1,1.5,0.04,0.12,0.16,0.04,0.16,Matches
Borja García\Borja-Garcia,es ESP,MFFW,Girona,26,1990,37,34,2785,30.9,2,5,2,0,0,2,0,0.06,0.16,0.23,0.06,0.23,2.3,2.3,4,6.2,0.07,0.13,0.2,0.07,0.2,Matches
Dani García\Dani-Garcia,es ESP,MF,Eibar,27,1990,32,32,2769,30.8,0,1,0,0,0,14,0,0,0.03,0.03,0,0.03,0.5,0.5,1.3,1.8,0.02,0.04,0.06,0.02,0.06,Matches
David García\David-Garcia,es ESP,DF,Las Palmas,35,1982,11,9,861,9.6,1,0,1,0,0,2,0,0.1,0,0.1,0.1,0.1,0.3,0.3,0.3,0.6,0.03,0.03,0.06,0.03,0.06,Matches
Javi García\Javi-Garcia,es ESP,MFDF,Betis,30,1987,32,27,2405,26.7,1,0,1,0,0,7,0,0.04,0,0.04,0.04,0.04,1.2,1.2,0.3,1.5,0.04,0.01,0.06,0.04,0.06,Matches
Manu García\Manu-Garcia,es ESP,MF,Alavés,31,1986,30,27,2438,27.1,3,0,3,0,2,9,0,0.11,0,0.11,0.11,0.11,3.1,1.6,1.4,3,0.11,0.05,0.17,0.06,0.11,Matches
Raúl García\Raul-Garcia,es ESP,MFFW,Athletic Club,31,1986,34,30,2617,29.1,10,1,7,3,3,10,0,0.34,0.03,0.38,0.24,0.28,9.1,6.8,3.8,10.6,0.31,0.13,0.44,0.23,0.36,Matches
Raúl García\Raul-Garcia,es ESP,DF,Leganés,28,1989,19,15,1394,15.5,0,1,0,0,0,1,0,0,0.06,0.06,0,0.06,0.4,0.4,1.5,1.8,0.02,0.09,0.12,0.02,0.12,Matches
Samu García\Samu-Garcia,es ESP,MFFW,Levante,27,1990,11,2,196,2.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.07,0.07,0,0.07,Matches
Samu García\Samu-Garcia,es ESP,MFFW,Málaga,27,1990,7,2,180,2,0,1,0,0,0,1,1,0,0.5,0.5,0,0.5,0,0,0.2,0.3,0.03,0.13,0.16,0.03,0.16,Matches
Sergio García\Sergio-Garcia,es ESP,FWMF,Espanyol,34,1983,33,14,1647,18.3,2,5,2,0,0,4,0,0.11,0.27,0.38,0.11,0.38,4.4,4.4,2.8,7.3,0.24,0.16,0.4,0.24,0.4,Matches
Mario Gaspar\Mario-Gaspar,es ESP,DF,Villarreal,26,1990,32,31,2806,31.2,2,3,2,0,0,6,0,0.06,0.1,0.16,0.06,0.16,1,1,2,3,0.03,0.06,0.1,0.03,0.1,Matches
Johannes Geis\Johannes-Geis,de GER,DFMF,Sevilla,23,1993,14,7,680,7.6,0,1,0,0,0,0,0,0,0.13,0.13,0,0.13,0.2,0.2,0.4,0.6,0.02,0.05,0.08,0.02,0.08,Matches
Carles Gil\Carles-Gil,es ESP,FWMF,La Coruña,24,1992,10,6,476,5.3,0,2,0,0,0,0,0,0,0.38,0.38,0,0.38,0.4,0.4,1,1.4,0.07,0.2,0.27,0.07,0.27,Matches
Nacho Gil\Nacho-Gil,es ESP,FWMF,Las Palmas,21,1995,14,8,731,8.1,0,1,0,0,0,1,0,0,0.12,0.12,0,0.12,0.5,0.5,0.8,1.3,0.06,0.1,0.16,0.06,0.16,Matches
Nacho Gil\Nacho-Gil,es ESP,MFFW,Valencia,21,1995,6,2,230,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,1.1,1.2,0.06,0.43,0.49,0.06,0.49,Matches
Dani Giménez\Dani-Gimenez,es ESP,GK,Betis,34,1983,4,4,308,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.02,0.02,0,0.02,Matches
Diego Godín\Diego-Godin,uy URU,DF,Atlético Madrid,31,1986,30,28,2554,28.4,0,0,0,0,0,6,0,0,0,0,0,0,1.5,1.5,0.1,1.6,0.05,0,0.06,0.05,0.06,Matches
André Gomes\Andre-Gomes,pt POR,MFFW,Barcelona,24,1993,16,6,640,7.1,0,0,0,0,0,1,0,0,0,0,0,0,0.6,0.6,0.2,0.8,0.09,0.02,0.12,0.09,0.12,Matches
Ibai Gómez\Ibai-Gomez,es ESP,MFFW,Alavés,27,1989,34,26,2315,25.7,7,6,6,1,1,1,0,0.27,0.23,0.51,0.23,0.47,5.5,4.7,4.7,9.5,0.21,0.18,0.4,0.18,0.37,Matches
Maxi Gómez\Maxi-Gomez,uy URU,FW,Celta Vigo,20,1996,36,35,3056,34,17,4,17,0,0,12,0,0.5,0.12,0.62,0.5,0.62,13.4,13.4,4.7,18.1,0.39,0.14,0.53,0.39,0.53,Matches
Sergi Gómez\Sergi-Gomez,es ESP,DF,Celta Vigo,25,1992,33,31,2680,29.8,1,0,1,0,0,3,0,0.03,0,0.03,0.03,0.03,1.4,1.4,0.3,1.7,0.05,0.01,0.06,0.05,0.06,Matches
Vicente Gómez\Vicente-Gomez,es ESP,MF,Las Palmas,28,1988,25,17,1523,16.9,0,1,0,0,0,3,0,0,0.06,0.06,0,0.06,0.9,0.9,0.5,1.4,0.05,0.03,0.08,0.05,0.08,Matches
Adrián González\Adrian-Gonzalez,es ESP,MF,Málaga,29,1988,29,27,2340,26,3,0,2,1,1,9,1,0.12,0,0.12,0.08,0.08,2.8,2.1,1,3.1,0.11,0.04,0.15,0.08,0.12,Matches
Álvaro González\Alvaro-Gonzalez,es ESP,DF,Villarreal,27,1990,33,32,2899,32.2,0,2,0,0,0,14,2,0,0.06,0.06,0,0.06,1.7,1.7,0.4,2.1,0.05,0.01,0.07,0.05,0.07,Matches
Bruno González\Bruno-Gonzalez,es ESP,DF,Getafe,27,1990,20,17,1543,17.1,0,2,0,0,0,5,0,0,0.12,0.12,0,0.12,0.4,0.4,0.2,0.5,0.02,0.01,0.03,0.02,0.03,Matches
Diego González\Diego-Gonzalez,es ESP,DF,Málaga,22,1995,18,17,1427,15.9,1,0,1,0,0,5,0,0.06,0,0.06,0.06,0.06,0.4,0.4,0.8,1.2,0.03,0.05,0.08,0.03,0.08,Matches
Fabio González\Fabio-Gonzalez,es ESP,MF,Las Palmas,20,1997,1,1,63,0.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
Mario González\Mario-Gonzalez,es ESP,FW,Villarreal,21,1996,2,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.3,0.8,1.1,0.3,1.1,Matches
Andoni Gorosabel\Andoni-Gorosabel,es ESP,DF,Real Sociedad,20,1996,2,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Julio Gracia\Julio-Gracia,es ESP,FWMF,Betis,19,1998,2,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0.16,0.16,0.16,Matches
Álex Granell\Alex-Granell,es ESP,MF,Girona,28,1988,34,33,2841,31.6,1,5,1,0,1,11,0,0.03,0.16,0.19,0.03,0.19,2.8,2,5.8,7.8,0.09,0.18,0.27,0.06,0.25,Matches
Esteban Granero\Esteban-Granero,es ESP,MFFW,Espanyol,30,1987,25,11,1237,13.7,1,3,1,0,0,5,0,0.07,0.22,0.29,0.07,0.29,0.6,0.6,1.4,2,0.05,0.1,0.15,0.05,0.15,Matches
Antoine Griezmann\Antoine-Griezmann,fr FRA,FW,Atlético Madrid,26,1991,32,30,2509,27.9,19,9,17,2,2,7,1,0.68,0.32,1,0.61,0.93,12.6,11.1,5.3,16.4,0.45,0.19,0.64,0.4,0.59,Matches
Vicente Guaita\Vicente-Guaita,es ESP,GK,Getafe,30,1987,33,33,2970,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3,0.3,0,0.01,0.01,0,0.01,Matches
Andrés Guardado\Andres-Guardado,mx MEX,MF,Betis,30,1986,29,25,2270,25.2,2,8,1,1,1,7,0,0.08,0.32,0.4,0.04,0.36,2.7,1.9,4.3,6.2,0.11,0.17,0.28,0.08,0.25,Matches
Gonçalo Guedes\Goncalo-Guedes,pt POR,MFFW,Valencia,20,1996,33,27,2435,27.1,5,7,5,0,0,2,0,0.18,0.26,0.44,0.18,0.44,4.1,4.1,6.4,10.5,0.15,0.23,0.39,0.15,0.39,Matches
Ramiro Guerra\Ramiro-Guerra,uy URU,MF,Villarreal,20,1997,4,0,74,0.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.16,0.16,0,0.16,Matches
Francis Guerrero\Francis-Guerrero,es ESP,DFMF,Betis,21,1996,14,10,992,11,1,0,1,0,0,2,0,0.09,0,0.09,0.09,0.09,0.2,0.2,0.7,0.9,0.02,0.06,0.08,0.02,0.08,Matches
John Guidetti\John-Guidetti,se SWE,FW,Celta Vigo,25,1992,8,0,119,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.4,1.1,0.59,0.34,0.93,0.59,0.93,Matches
John Guidetti\John-Guidetti,se SWE,FW,Alavés,25,1992,17,15,1210,13.4,3,2,3,0,0,3,0,0.22,0.15,0.37,0.22,0.37,3.4,3.4,2,5.4,0.25,0.15,0.39,0.25,0.39,Matches
Guilherme\Guilherme,br BRA,MF,La Coruña,26,1991,31,31,2637,29.3,0,0,0,0,0,11,0,0,0,0,0,0,1.8,1.8,1.4,3.2,0.06,0.05,0.11,0.06,0.11,Matches
Gerard Gumbau\Gerard-Gumbau,es ESP,MF,Leganés,22,1994,25,16,1441,16,1,0,1,0,0,8,0,0.06,0,0.06,0.06,0.06,0.7,0.7,0.3,1.1,0.05,0.02,0.07,0.05,0.07,Matches
Jon Guridi\Jon-Guridi,es ESP,MFFW,Real Sociedad,22,1995,4,0,55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Alejandro Gutiérrez Mozo\Alejandro-Gutierrez-Mozo,es ESP,MF,Leganés,22,1995,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Hacen\Hacen,mr MTN,MF,Levante,19,1997,2,1,80,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Munir El Haddadi\Munir-El-Haddadi,ma MAR,FW,Alavés,21,1995,33,28,2436,27.1,10,6,10,0,0,8,2,0.37,0.22,0.59,0.37,0.59,8.8,8.8,3.6,12.4,0.32,0.13,0.45,0.32,0.45,Matches
Achraf Hakimi\Achraf-Hakimi,ma MAR,DF,Real Madrid,18,1998,9,8,758,8.4,2,1,2,0,0,0,0,0.24,0.12,0.36,0.24,0.36,0.5,0.5,0.4,0.9,0.06,0.04,0.1,0.06,0.1,Matches
Alen Halilovi?\Alen-Halilovic,hr CRO,FWMF,Las Palmas,21,1996,20,16,1305,14.5,2,1,2,0,0,1,1,0.14,0.07,0.21,0.14,0.21,1.8,1.8,1.8,3.5,0.12,0.12,0.24,0.12,0.24,Matches
Mario Hermoso\Mario-Hermoso,es ESP,DF,Espanyol,22,1995,22,22,1928,21.4,1,0,1,0,0,6,2,0.05,0,0.05,0.05,0.05,1,1,0.3,1.3,0.05,0.01,0.06,0.05,0.06,Matches
Hernán\Hernan,es ESP,MF,Las Palmas,26,1990,7,4,351,3.9,0,0,0,0,0,1,0,0,0,0,0,0,0.7,0.7,0,0.7,0.17,0,0.18,0.17,0.18,Matches
Héctor Hernández\Hector-Hernandez,es ESP,MF,Alavés,26,1991,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
