Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Miguel Ángel Guerrero\Miguel-Angel-Guerrero,es ESP,FW,Leganés,27,1990,22,15,1445,16.1,4,3,4,0,1,3,0,0.25,0.19,0.44,0.25,0.44,5,4.2,1.7,5.9,0.31,0.11,0.42,0.26,0.37,Matches
Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,33,1984,9,9,763,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Miguel Ángel Rubio\Miguel-Angel-Rubio,es ESP,DF,Getafe,19,1998,1,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
José Ángel\Jose-Angel,es ESP,DF,Eibar,27,1989,30,28,2423,26.9,0,7,0,0,0,4,0,0,0.26,0.26,0,0.26,0.5,0.5,3.3,3.8,0.02,0.12,0.14,0.02,0.14,Matches
Vitorino Antunes\Vitorino-Antunes,pt POR,DF,Getafe,30,1987,34,31,2801,31.1,0,2,0,0,1,14,0,0,0.06,0.06,0,0.06,1.7,0.9,1.9,2.7,0.05,0.06,0.11,0.03,0.09,Matches
Alberto Aquilani\Alberto-Aquilani,it ITA,MF,Las Palmas,33,1984,21,15,1298,14.4,0,0,0,0,0,4,0,0,0,0,0,0,0.7,0.7,0.7,1.4,0.05,0.05,0.1,0.05,0.1,Matches
Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,21,1995,27,26,2125,23.6,1,2,1,0,0,9,2,0.04,0.08,0.13,0.04,0.13,1.5,1.5,1.1,2.6,0.06,0.05,0.11,0.06,0.11,Matches
Guilherme Arana\Guilherme-Arana,br BRA,DF,Sevilla,20,1997,3,2,193,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.05,0.05,0,0.05,Matches
Sergio Araujo\Sergio-Araujo,ar ARG,FWMF,Las Palmas,25,1992,2,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.34,0,0.34,0.34,0.34,Matches
Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,30,1987,29,26,2416,26.8,2,1,2,0,0,8,0,0.07,0.04,0.11,0.07,0.11,0.8,0.8,0.5,1.3,0.03,0.02,0.05,0.03,0.05,Matches
José Arnaiz\Jose-Arnaiz,es ESP,MF,Barcelona,22,1995,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Alejandro Arribas\Alejandro-Arribas,es ESP,DF,La Coruña,28,1989,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.06,0,0.06,0.06,0.06,Matches
Sergio Arribas\Sergio-Arribas,es ESP,FW,Leganés,22,1995,1,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,Matches
Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Athletic Club,22,1994,30,30,2700,30,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Aythami Artiles\Aythami-Artiles,es ESP,DF,Las Palmas,31,1986,3,2,185,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,28,1989,23,23,2070,23,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Marco Asensio\Marco-Asensio,es ESP,FWMF,Real Madrid,21,1996,32,19,1845,20.5,6,4,6,0,0,2,0,0.29,0.2,0.49,0.29,0.49,4.8,4.8,5.6,10.4,0.24,0.27,0.51,0.24,0.51,Matches
