Rk,Squad,GF,GA,GD,Pts,Attendance
1,Bayern Munich,92,28,64,84,75000
2,Schalke 04,53,37,16,63,61197
3,Hoffenheim,66,48,18,55,28716
4,Dortmund,64,47,17,55,79496
5,Leverkusen,58,44,14,55,28415
6,RB Leipzig,57,53,4,53,39397
7,Stuttgart,36,36,0,51,56045
8,Eint Frankfurt,45,45,0,49,49159
9,M'Gladbach,47,52,-5,47,50986
10,Hertha BSC,43,46,-3,43,45319
11,Werder Bremen,37,40,-3,42,38726
12,Augsburg,43,46,-3,41,28238
13,Hannover 96,44,54,-10,39,42706
14,Mainz 05,38,52,-14,36,28766
15,Freiburg,32,56,-24,36,23894
16,Wolfsburg,36,48,-12,33,25712
17,Hamburger SV,29,53,-24,31,50656
18,Köln,35,70,-35,22,48776
