Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Yrondu Musavu-King\Yrondu-Musavu-King,ga GAB,DF,Toulouse,24,1992,3,0,0,0,1,2,0,0,10,2,0,0,0,Matches
Arnold Mvuemba\Arnold-Mvuemba,cd COD,MF,Lorient,31,1985,30.8,5,0,0,24,13,0,92,36,31,0,0,0,Matches
Mamadou N'Diaye\Mamadou-NDiaye,sn SEN,MF,Montpellier,21,1995,1,0,0,0,1,1,1,5,0,4,0,0,0,Matches
Kévin N'Doram\Kevin-NDoram,fr FRA,MF,Monaco,20,1996,3.6,0,0,0,3,7,0,0,13,6,0,0,0,Matches
Cheikh N'Doye\Cheikh-NDoye,sn SEN,MF,Angers,30,1986,32.4,5,1,0,62,34,1,12,27,30,1,0,0,Matches
Guy N'dy Assembé\Guy-Ndy-Assembe,cm CMR,GK,Nancy,30,1986,22.7,0,0,0,0,6,0,0,2,0,0,0,0,Matches
Serge N'Guessan\Serge-NGuessan,ci CIV,MF,Nancy,22,1994,6.2,4,0,0,14,10,0,7,6,10,0,0,0,Matches
Clinton N'Jie\Clinton-NJie,cm CMR,FWMF,Marseille,22,1993,11.4,1,0,0,20,6,15,16,3,8,0,0,0,Matches
Mickael Nade\Mickael-Nade,fr FRA,DF,Saint-Étienne,17,1999,1,0,0,,2,,,,,,,,,Matches
Préjuce Nakoulma\Prejuce-Nakoulma,bf BFA,FWMF,Nantes,29,1987,9,3,0,0,21,17,6,1,5,4,0,0,0,Matches
Lenny Nangis\Lenny-Nangis,fr FRA,MFFW,Bastia,22,1994,15.4,8,0,0,41,25,2,27,18,25,0,0,0,Matches
Axel Ngando\Axel-Ngando,fr FRA,MFFW,Bastia,23,1993,10.1,1,0,0,11,17,3,38,5,7,0,0,0,Matches
Exaucé Ngassaki\Exauce-Ngassaki,cg CGO,FW,Caen,19,1997,0,0,0,0,1,2,0,0,0,0,0,0,0,Matches
Opa Nguette\Opa-Nguette,sn SEN,MFFW,Metz,22,1994,24.7,4,0,0,42,44,3,25,26,47,1,0,0,Matches
Casimir Ninga\Casimir-Ninga,td CHA,MFFW,Montpellier,23,1993,5.7,2,0,0,14,2,5,21,4,6,0,0,0,Matches
Pavle Ninkov\Pavle-Ninkov,rs SRB,DF,Toulouse,31,1985,2.2,2,0,0,5,1,0,8,4,5,0,0,0,Matches
Nicolas Nkoulou\Nicolas-Nkoulou,cm CMR,DF,Lyon,26,1990,13,2,0,0,13,19,0,0,32,11,0,2,0,Matches
Christopher Nkunku\Christopher-Nkunku,fr FRA,MFFW,Paris S-G,18,1997,4.4,2,0,0,11,8,1,6,5,2,0,0,0,Matches
Arnaud Nordin\Arnaud-Nordin,fr FRA,MFFW,Saint-Étienne,18,1998,6.8,1,0,0,2,16,1,32,2,6,0,0,0,Matches
Paul-Georges Ntep\Paul-Georges-Ntep,cm CMR,MF,Rennes,24,1992,12.5,1,0,0,9,31,7,68,4,11,1,0,0,Matches
Dickson Nwakaeme\Dickson-Nwakaeme,ng NGA,FW,Angers,30,1986,1,1,0,0,3,0,0,2,0,0,0,0,1,Matches
Mounir Obbadi\Mounir-Obbadi,ma MAR,MF,Lille,33,1983,3.7,2,0,0,9,3,0,3,3,5,0,0,0,Matches
Mounir Obbadi\Mounir-Obbadi,ma MAR,MF,Nice,33,1983,3.4,2,0,0,7,9,0,1,7,8,0,0,0,Matches
David Oberhauser\David-Oberhauser,fr FRA,GK,Metz,25,1990,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Sérgio Oliveira\Sergio-Oliveira,pt POR,MF,Nantes,24,1992,1.3,1,0,0,4,0,1,7,0,5,0,0,0,Matches
Prince Oniangué\Prince-Oniangue,cg CGO,MFFW,Bastia,27,1988,12.4,2,0,0,12,8,1,6,11,13,0,0,0,Matches
Adam Ounas\Adam-Ounas,dz ALG,MFFW,Bordeaux,19,1996,13.6,5,1,0,10,31,2,57,20,16,0,0,0,Matches
Vincent Pajot\Vincent-Pajot,fr FRA,MF,Saint-Étienne,25,1990,15.2,2,0,0,38,25,0,7,40,26,0,0,0,Matches
Nicolas Pallois\Nicolas-Pallois,fr FRA,DF,Bordeaux,28,1987,31,9,3,1,24,22,3,3,44,55,1,1,0,Matches
Julian Palmieri\Julian-Palmieri,fr FRA,DFMF,Lille,29,1986,16.9,4,2,1,22,23,0,51,62,31,0,0,0,Matches
Felipe Pardo\Felipe-Pardo,co COL,MF,Nantes,25,1990,6.5,3,0,0,10,3,3,44,1,7,0,0,0,Matches
Bryan Passi\Bryan-Passi,fr FRA,DF,Montpellier,18,1997,1.6,1,0,0,1,4,0,0,5,0,0,0,0,Matches
Javier Pastore\Javier-Pastore,ar ARG,MFFW,Paris S-G,27,1989,9.6,0,0,0,7,10,2,24,6,11,1,0,0,Matches
Mateo Pavlovi_\Mateo-Pavlovic,ba BIH,DFFW,Angers,26,1990,9.5,2,1,0,15,6,1,3,11,5,0,0,0,Matches
Dimitri Payet\Dimitri-Payet,fr FRA,FW,Marseille,29,1987,13.8,3,0,0,12,23,0,74,12,12,0,0,0,Matches
Benoît Pedretti\Benoit-Pedretti,fr FRA,MF,Nancy,35,1980,20.8,7,1,0,41,24,1,106,35,38,0,0,0,Matches
Yohann Pelé\Yohann-Pele,fr FRA,GK,Marseille,33,1982,38,3,0,0,0,6,0,0,1,0,0,0,0,Matches
Théo Pellenard\Theo-Pellenard,fr FRA,DF,Bordeaux,22,1994,5.1,1,0,0,9,2,0,7,7,10,0,0,0,Matches
Nicolas Pépé\Nicolas-Pepe,ci CIV,FW,Angers,21,1995,14.7,2,0,0,24,28,6,36,16,30,1,0,0,Matches
Ricardo Pereira\Ricardo-Pereira,pt POR,MFDF,Nice,22,1993,22.8,2,0,0,28,42,1,33,33,48,0,0,0,Matches
Loïc Perrin\Loic-Perrin,fr FRA,DF,Saint-Étienne,30,1985,24.9,1,0,0,16,23,3,4,62,38,1,0,0,Matches
Denis Petri_\Denis-Petric,rs SRB,GK,Angers,28,1988,9,1,0,0,0,0,0,0,0,0,0,1,0,Matches
Mathieu Peybernes\Mathieu-Peybernes,fr FRA,DF,Bastia,25,1990,18.2,0,0,0,9,30,0,1,49,30,0,1,0,Matches
Mathieu Peybernes\Mathieu-Peybernes,fr FRA,DF,Lorient,25,1990,17,5,0,0,17,19,0,2,44,18,0,0,0,Matches
Romain Philippoteaux\Romain-Philippoteaux,fr FRA,MF,Lorient,28,1988,17.3,3,0,0,20,19,6,57,24,18,1,0,0,Matches
Chris Philipps\Chris-Philipps,lu LUX,MFDF,Metz,22,1994,9.1,4,0,0,22,6,0,0,22,20,0,0,0,Matches
Jessy Pi\Jessy-Pi,fr FRA,MF,Toulouse,22,1993,4.8,1,0,0,9,5,1,6,6,11,0,0,0,Matches
Ronaël Pierre-Gabriel\Ronael-Pierre-Gabriel,fr FRA,DF,Saint-Étienne,18,1998,10.7,4,0,0,11,11,0,27,31,37,0,0,0,Matches
Laurent Pionnier\Laurent-Pionnier,fr FRA,GK,Montpellier,34,1982,25,0,0,0,0,4,0,0,4,0,0,0,0,Matches
Jaroslav Pla_il\Jaroslav-Plasil,cz CZE,MF,Bordeaux,34,1982,26.7,2,0,0,24,45,4,20,42,55,0,0,0,Matches
