Rk,Squad,GF,GA,GD,Pts,Attendance
1,Juventus,70,30,40,90,37799
2,Napoli,74,36,38,79,29003
3,Atalanta,77,46,31,69,18301
4,Inter,57,33,24,69,57405
5,Milan,55,36,19,68,54651
6,Roma,66,48,18,66,38622
7,Torino,52,37,15,63,21323
8,Lazio,56,46,10,59,33997
9,Sampdoria,60,51,9,53,20263
10,Bologna,48,56,-8,44,21237
11,Sassuolo,53,60,-7,43,12369
12,Udinese,39,53,-14,43,20414
13,SPAL,44,56,-12,42,14745
14,Parma,41,61,-20,41,16522
15,Cagliari,36,54,-18,41,15396
16,Fiorentina,47,45,2,41,31178
17,Genoa,39,57,-18,38,20950
18,Empoli,51,70,-19,38,9620
19,Frosinone,29,69,-40,25,12656
20,Chievo,25,75,-50,17,12142
