Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,21,1997,36,36,3240,36,51,1.42,142,98,69,14,7,15,11,30.6,8,7,1,0,12.5,Matches
Francesco Bardi\Francesco-Bardi,it ITA,GK,Frosinone,26,1992,3,3,270,3,5,1.67,11,6,54.5,0,1,2,1,33.3,0,0,0,0,,Matches
Etrit Berisha\Etrit-Berisha,al ALB,GK,Atalanta,29,1989,18,18,1620,18,26,1.44,64,43,60.9,9,3,6,5,27.8,2,1,0,1,0,Matches
Rafael Cabral\Rafael-Cabral,br BRA,GK,Sampdoria,28,1990,2,2,180,2,1,0.5,2,2,50,1,1,0,2,100,0,0,0,0,,Matches
Andrea Consigli\Andrea-Consigli,it ITA,GK,Sassuolo,31,1987,36,36,3213,35.7,57,1.6,144,94,63.2,9,15,12,12,33.3,8,4,3,1,42.9,Matches
Alessio Cragno\Alessio-Cragno,it ITA,GK,Cagliari,24,1994,38,38,3420,38,54,1.42,195,147,76.4,10,11,17,7,18.4,10,8,2,0,20,Matches
Gianluigi Donnarumma\Gianluigi-Donnarumma,it ITA,GK,Milan,19,1999,36,36,3092,34.3,32,0.93,121,94,76,18,11,7,11,30.6,4,3,1,0,25,Matches
Bart?omiej Dr?gowski\Bartlomiej-Dragowski,pl POL,GK,Empoli,20,1997,14,14,1260,14,24,1.71,91,70,76.9,5,2,7,3,21.4,4,3,1,0,25,Matches
Bart?omiej Dr?gowski\Bartlomiej-Dragowski,pl POL,GK,Fiorentina,20,1997,3,2,225,2.5,2,0.8,7,5,71.4,0,1,1,1,50,0,0,0,0,,Matches
Pierluigi Frattali\Pierluigi-Frattali,it ITA,GK,Parma,32,1985,1,1,90,1,2,2,9,7,77.8,0,0,1,0,0,0,0,0,0,,Matches
Pierluigi Gollini\Pierluigi-Gollini,it ITA,GK,Atalanta,23,1995,20,20,1800,20,21,1.05,68,50,73.5,11,6,3,4,20,3,3,0,0,0,Matches
Alfred Gomis\Alfred-Gomis,sn SEN,GK,SPAL,24,1993,20,19,1723,19.2,27,1.41,76,50,65.8,3,6,10,6,31.6,1,1,0,0,0,Matches
Guido Guerrieri\Guido-Guerrieri,it ITA,GK,Lazio,22,1996,1,1,90,1,3,3,5,2,40,0,1,0,0,0,0,0,0,0,,Matches
Samir Handanovi?\Samir-Handanovic,si SVN,GK,Inter,34,1984,38,38,3420,38,35,0.92,128,101,75,20,9,9,17,44.7,5,3,0,2,0,Matches
Salvador Ichazo\Salvador-Ichazo,uy URU,GK,Torino,26,1992,3,2,250,2.8,2,0.72,8,7,87.5,1,1,0,1,50,1,1,0,0,0,Matches
Jandrei\Jandrei,br BRA,GK,Genoa,25,1993,1,1,90,1,1,1,2,0,50,0,0,1,0,0,0,0,0,0,,Matches
Orestis Karnezis\Orestis-Karnezis,gr GRE,GK,Napoli,33,1985,9,9,810,9,7,0.78,25,19,76,6,2,1,4,44.4,1,1,0,0,0,Matches
Alban Lafont\Alban-Lafont,fr FRA,GK,Fiorentina,19,1999,34,34,3015,33.5,40,1.19,118,86,70.3,8,15,11,9,26.5,6,5,1,0,16.7,Matches
Federico Marchetti\Federico-Marchetti,it ITA,GK,Genoa,35,1983,4,4,360,4,10,2.5,19,10,47.4,2,0,2,1,25,0,0,0,0,,Matches
Alex Meret\Alex-Meret,it ITA,GK,Napoli,21,1997,14,13,1150,12.8,9,0.7,47,40,85.1,9,1,3,5,38.5,2,2,0,0,0,Matches
Vanja Milinkovi?-Savi?\Vanja-Milinkovic-Savic,rs SRB,GK,SPAL,21,1997,2,2,164,1.8,4,2.2,16,12,75,1,0,1,1,50,0,0,0,0,,Matches
Antonio Mirante\Antonio-Mirante,it ITA,GK,Roma,35,1983,11,11,990,11,6,0.55,36,28,83.3,6,4,1,6,54.5,1,0,1,0,100,Matches
Juan Musso\Juan-Musso,ar ARG,GK,Udinese,24,1994,29,29,2610,29,41,1.41,133,101,75.2,9,8,12,7,24.1,8,8,0,0,0,Matches
Robin Olsen\Robin-Olsen,se SWE,GK,Roma,28,1990,27,27,2430,27,43,1.59,124,87,68.5,12,8,7,4,14.8,6,4,0,2,0,Matches
David Ospina\David-Ospina,co COL,GK,Napoli,29,1988,17,16,1457,16.2,20,1.24,63,44,69.8,9,4,3,5,31.3,1,1,0,0,0,Matches
Gianluca Pegolo\Gianluca-Pegolo,it ITA,GK,Sassuolo,37,1981,3,2,202,2.3,4,1.78,12,8,66.7,0,1,1,0,0,0,0,0,0,,Matches
Mattia Perin\Mattia-Perin,it ITA,GK,Juventus,25,1992,9,9,810,9,8,0.89,26,19,73.1,6,1,2,5,55.6,1,1,0,0,0,Matches
Carlo Pinsoglio\Carlo-Pinsoglio,it ITA,GK,Juventus,28,1990,1,1,90,1,2,2,3,1,33.3,0,0,1,0,0,0,0,0,0,,Matches
Giacomo Poluzzi\Giacomo-Poluzzi,it ITA,GK,SPAL,30,1988,1,0,5,0.1,0,0,0,0,,0,0,0,1,,0,0,0,0,,Matches
Silvio Proto\Silvio-Proto,be BEL,GK,Lazio,35,1983,2,2,180,2,4,2,13,9,69.2,1,0,1,0,0,0,0,0,0,,Matches
Ivan Provedel\Ivan-Provedel,it ITA,GK,Empoli,24,1994,16,16,1440,16,36,2.25,101,69,67.3,4,4,8,0,0,4,3,0,1,0,Matches
Ionu? Radu\Ionut-Radu,ro ROU,GK,Genoa,21,1997,33,33,2970,33,47,1.42,142,102,70.4,6,14,13,6,18.2,6,5,1,0,16.7,Matches
Pepe Reina\Pepe-Reina,es ESP,GK,Milan,35,1982,4,2,328,3.7,5,1.37,12,8,66.7,1,0,1,1,50,1,1,0,0,0,Matches
Francesco Rossi\Francesco-Rossi,it ITA,GK,Atalanta,27,1991,1,0,,0,0,,0,0,,0,0,0,0,,0,0,0,0,,Matches
Simone Scuffet\Simone-Scuffet,it ITA,GK,Udinese,22,1996,9,9,810,9,13,1.44,36,24,66.7,2,2,5,2,22.2,1,1,0,0,0,Matches
Andrea Seculin\Andrea-Seculin,it ITA,GK,Chievo,28,1990,2,1,90,1,6,6,12,5,50,0,0,1,0,0,0,0,0,0,,Matches
Adrian Šemper\Adrian-Semper,hr CRO,GK,Chievo,20,1998,6,6,540,6,8,1.33,31,23,74.2,1,3,2,2,33.3,0,0,0,0,,Matches
Luigi Sepe\Luigi-Sepe,it ITA,GK,Parma,27,1991,37,37,3330,37,60,1.62,191,144,72.8,10,11,16,10,27,8,8,0,0,0,Matches
Salvatore Sirigu\Salvatore-Sirigu,it ITA,GK,Torino,31,1987,36,36,3170,35.2,36,1.02,136,103,75,15,14,7,14,38.9,4,2,2,0,50,Matches
?ukasz Skorupski\Lukasz-Skorupski,pl POL,GK,Bologna,27,1991,38,38,3420,38,56,1.47,173,121,69.9,11,11,16,10,26.3,4,4,0,0,0,Matches
Stefano Sorrentino\Stefano-Sorrentino,it ITA,GK,Chievo,39,1979,31,31,2790,31,62,2,167,111,64.1,1,11,19,5,16.1,4,2,2,0,50,Matches
Marco Sportiello\Marco-Sportiello,it ITA,GK,Frosinone,26,1992,35,35,3150,35,64,1.83,198,140,70.2,5,9,21,8,22.9,5,5,0,0,0,Matches
Thomas Strakosha\Thomas-Strakosha,al ALB,GK,Lazio,23,1995,35,35,3150,35,39,1.11,129,96,73.6,16,7,12,10,28.6,7,5,2,0,28.6,Matches
Wojciech Szcz?sny\Wojciech-Szczesny,pl POL,GK,Juventus,28,1990,28,28,2520,28,20,0.71,78,59,75.6,22,5,1,11,39.3,3,1,1,1,50,Matches
Pietro Terracciano\Pietro-Terracciano,it ITA,GK,Fiorentina,28,1990,2,2,180,2,3,1.5,11,7,72.7,0,1,1,0,0,0,0,0,0,,Matches
Pietro Terracciano\Pietro-Terracciano,it ITA,GK,Empoli,28,1990,8,8,720,8,10,1.25,34,25,70.6,1,2,5,2,25,0,0,0,0,,Matches
Emiliano Viviano\Emiliano-Viviano,it ITA,GK,SPAL,32,1985,17,17,1525,16.9,25,1.48,82,60,74.4,7,3,7,4,23.5,4,4,0,0,0,Matches
