Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Jean-Sylvain Babin\Jean-Sylvain-Babin,mq MTQ,DF,Sporting Gijón,29,1986,22,20,1712,19,1,1,1,0,0,2,0,0.05,0.05,0.11,0.05,0.11,Matches
Cédric Bakambu\Cedric-Bakambu,cd COD,FW,Villarreal,25,1991,26,17,1570,17.4,11,1,11,0,0,5,0,0.63,0.06,0.69,0.63,0.69,Matches
Zakaria Bakkali\Zakaria-Bakkali,be BEL,FW,Valencia,20,1996,18,1,303,3.4,1,0,1,0,0,2,0,0.3,0,0.3,0.3,0.3,Matches
Gareth Bale\Gareth-Bale,wal WAL,FW,Real Madrid,27,1989,19,17,1419,15.8,7,2,7,0,0,3,1,0.44,0.13,0.57,0.44,0.57,Matches
Mikel Balenziaga\Mikel-Balenziaga,es ESP,DF,Athletic Club,28,1988,33,33,2845,31.6,1,1,1,0,0,3,1,0.03,0.03,0.06,0.03,0.06,Matches
Léo Baptistão\Leo-Baptistao,br BRA,FWMF,Espanyol,23,1992,21,16,1433,15.9,6,4,6,0,0,1,0,0.38,0.25,0.63,0.38,0.63,Matches
David Barral\David-Barral,es ESP,FW,Granada,33,1983,8,2,319,3.5,0,1,0,0,0,1,0,0,0.28,0.28,0,0.28,Matches
Diego Barrios\Diego-Barrios,es ESP,GK,Leganés,22,1994,1,0,63,0.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jon Bautista\Jon-Bautista,es ESP,FW,Real Sociedad,21,1995,12,2,320,3.6,3,0,3,0,0,0,0,0.84,0,0.84,0.84,0.84,Matches
Claudio Beauvue\Claudio-Beauvue,GPE,FW,Celta Vigo,28,1988,13,5,664,7.4,1,2,1,0,0,1,0,0.14,0.27,0.41,0.14,0.41,Matches
Bebé\Bebe,pt POR,MFFW,Eibar,26,1990,20,8,696,7.7,3,2,3,0,0,2,0,0.39,0.26,0.65,0.39,0.65,Matches
Wissam Ben Yedder\Wissam-Ben-Yedder,fr FRA,FW,Sevilla,25,1990,31,20,1652,18.4,11,4,10,1,1,0,0,0.6,0.22,0.82,0.54,0.76,Matches
Karim Benzema\Karim-Benzema,fr FRA,FW,Real Madrid,28,1987,29,23,1898,21.1,11,5,11,0,0,0,0,0.52,0.24,0.76,0.52,0.76,Matches
Yuri Berchiche\Yuri-Berchiche,es ESP,DF,Real Sociedad,26,1990,35,35,3086,34.3,3,2,3,0,0,9,0,0.09,0.06,0.15,0.09,0.15,Matches
Álex Berenguer\Alex-Berenguer,es ESP,DFMF,Osasuna,21,1995,29,22,2176,24.2,1,6,1,0,0,3,0,0.04,0.25,0.29,0.04,0.29,Matches
Álex Bergantiños\Alex-Bergantinos,es ESP,MFDF,La Coruña,31,1985,8,6,554,6.2,1,0,1,0,0,2,0,0.16,0,0.16,0.16,0.16,Matches
Markel Bergara\Markel-Bergara,es ESP,MF,Real Sociedad,30,1986,6,3,289,3.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Pedro Bigas\Pedro-Bigas,es ESP,DF,Las Palmas,25,1990,32,31,2647,29.4,4,1,4,0,0,5,2,0.14,0.03,0.17,0.14,0.17,Matches
Rubén Blanco\Ruben-Blanco,es ESP,GK,Celta Vigo,21,1995,11,11,990,11,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Kevin-Prince Boateng\Kevin-Prince-Boateng,gh GHA,FWMF,Las Palmas,29,1987,28,25,1978,22,10,4,10,0,0,11,3,0.46,0.18,0.64,0.46,0.64,Matches
Jeremie Boga\Jeremie-Boga,ci CIV,MFFW,Granada,19,1997,26,14,1467,16.3,2,1,2,0,0,0,0,0.12,0.06,0.18,0.12,0.18,Matches
Daniele Bonera\Daniele-Bonera,it ITA,DF,Villarreal,35,1981,6,6,540,6,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Theo Bongonda\Theo-Bongonda,be BEL,MFFW,Celta Vigo,20,1995,30,26,2160,24,1,3,1,0,0,3,0,0.04,0.12,0.17,0.04,0.17,Matches
Tano Bonnín\Tano-Bonnin,do DOM,DF,Osasuna,26,1990,11,9,734,8.2,0,0,0,0,0,2,2,0,0,0,0,0,Matches
Celso Borges\Celso-Borges,cr CRC,MF,La Coruña,28,1988,34,30,2709,30.1,6,0,4,2,3,5,0,0.2,0,0.2,0.13,0.13,Matches
Rafael Borré\Rafael-Borre,co COL,FW,Villarreal,20,1995,17,2,367,4.1,2,1,2,0,0,0,0,0.49,0.25,0.74,0.49,0.74,Matches
Eneko Bóveda\Eneko-Boveda,es ESP,DF,Athletic Club,27,1988,19,18,1554,17.3,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Denys Boyko\Denys-Boyko,ua UKR,GK,Málaga,28,1988,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Darko Brašanac\Darko-Brasanac,rs SRB,MF,Betis,24,1992,25,19,1674,18.6,1,1,1,0,0,7,0,0.05,0.05,0.11,0.05,0.11,Matches
Claudio Bravo\Claudio-Bravo,cl CHI,GK,Barcelona,33,1983,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Alberto Brignoli\Alberto-Brignoli,it ITA,GK,Leganés,24,1991,1,0,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Alberto Bueno\Alberto-Bueno,es ESP,FWMF,Leganés,28,1988,11,3,384,4.3,1,1,1,0,0,0,0,0.23,0.23,0.47,0.23,0.47,Matches
Alberto Bueno\Alberto-Bueno,es ESP,MF,Granada,28,1988,13,5,565,6.3,1,1,1,0,0,0,0,0.16,0.16,0.32,0.16,0.32,Matches
Aitor Buñuel\Aitor-Bunuel,es ESP,DFMF,Osasuna,18,1998,15,10,1031,11.5,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Burgui\Burgui,es ESP,MFFW,Sporting Gijón,22,1993,32,21,1984,22,2,4,2,0,0,6,0,0.09,0.18,0.27,0.09,0.27,Matches
Sergio Busquets\Sergio-Busquets,es ESP,MF,Barcelona,28,1988,33,33,2681,29.8,0,2,0,0,0,9,0,0,0.07,0.07,0,0.07,Matches
Unai Bustinza\Unai-Bustinza,es ESP,DF,Leganés,24,1992,22,21,1791,19.9,0,1,0,0,0,10,0,0,0.05,0.05,0,0.05,Matches
Gustavo Cabral\Gustavo-Cabral,ar ARG,DF,Celta Vigo,30,1985,25,25,2175,24.2,2,1,2,0,0,6,0,0.08,0.04,0.12,0.08,0.12,Matches
Felipe Caicedo\Felipe-Caicedo,ec ECU,FW,Espanyol,27,1988,27,14,1278,14.2,2,1,2,0,1,4,2,0.14,0.07,0.21,0.14,0.21,Matches
Ignacio Camacho\Ignacio-Camacho,es ESP,MF,Málaga,26,1990,35,35,3144,34.9,4,2,4,0,0,15,0,0.11,0.06,0.17,0.11,0.17,Matches
Víctor Camarasa\Victor-Camarasa,es ESP,MF,Alavés,22,1994,31,28,2480,27.6,3,2,3,0,0,4,0,0.11,0.07,0.18,0.11,0.18,Matches
Sergio Canales\Sergio-Canales,es ESP,MFFW,Real Sociedad,25,1991,31,7,1011,11.2,0,3,0,0,0,2,0,0,0.27,0.27,0,0.27,Matches
João Cancelo\Joao-Cancelo,pt POR,DFMF,Valencia,22,1994,35,27,2434,27,1,4,1,0,0,6,2,0.04,0.15,0.18,0.04,0.18,Matches
Roberto Canella\Roberto-Canella,es ESP,DF,Sporting Gijón,28,1988,20,20,1751,19.5,2,1,2,0,0,4,0,0.1,0.05,0.15,0.1,0.15,Matches
Aitor Cantalapiedra\Aitor-Cantalapiedra,es ESP,FWMF,Villarreal,20,1996,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ander Capa\Ander-Capa,es ESP,DF,Eibar,24,1992,31,29,2552,28.4,0,3,0,0,0,9,2,0,0.11,0.11,0,0.11,Matches
Mehdi Carcela\Mehdi-Carcela,ma MAR,MFFW,Granada,27,1989,22,20,1742,19.4,5,1,5,0,0,6,0,0.26,0.05,0.31,0.26,0.31,Matches
José Carlos\Jose-Carlos,es ESP,DF,Betis,20,1996,6,6,494,5.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Carlos Carmona\Carlos-Carmona,es ESP,MFFW,Sporting Gijón,29,1987,25,21,1856,20.6,8,2,8,0,0,5,0,0.39,0.1,0.48,0.39,0.48,Matches
Yannick Carrasco\Yannick-Carrasco,be BEL,MFFW,Atlético Madrid,22,1993,35,27,2302,25.6,10,4,10,0,1,5,0,0.39,0.16,0.55,0.39,0.55,Matches
Daniel Carriço\Daniel-Carrico,pt POR,DF,Sevilla,27,1988,6,6,451,5,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Federico Cartabia\Federico-Cartabia,ar ARG,MFFW,Valencia,23,1993,4,2,151,1.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Dani Carvajal\Dani-Carvajal,es ESP,DF,Real Madrid,24,1992,23,21,2018,22.4,0,4,0,0,0,11,0,0,0.18,0.18,0,0.18,Matches
Casemiro\Casemiro,br BRA,MF,Real Madrid,24,1992,25,20,1703,18.9,4,1,4,0,0,9,0,0.21,0.05,0.26,0.21,0.26,Matches
Nacho Cases\Nacho-Cases,es ESP,MF,Sporting Gijón,28,1987,21,16,1469,16.3,2,1,2,0,0,5,0,0.12,0.06,0.18,0.12,0.18,Matches
Kiko Casilla\Kiko-Casilla,es ESP,GK,Real Madrid,29,1986,11,11,990,11,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Dani Castellano\Dani-Castellano,es ESP,DF,Las Palmas,28,1987,27,25,2105,23.4,0,1,0,0,0,2,0,0,0.04,0.04,0,0.04,Matches
Javi Castellano\Javi-Castellano,es ESP,DFMF,Las Palmas,28,1987,5,0,102,1.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Samu Castillejo\Samu-Castillejo,es ESP,MF,Villarreal,21,1995,33,24,2044,22.7,2,3,2,0,0,2,0,0.09,0.13,0.22,0.09,0.22,Matches
Carlos Castro\Carlos-Castro,es ESP,FW,Sporting Gijón,21,1995,25,10,1027,11.4,4,1,4,0,0,1,0,0.35,0.09,0.44,0.35,0.44,Matches
Chory Castro\Chory-Castro,uy URU,MFFW,Málaga,31,1984,29,21,1790,19.9,1,3,1,0,0,5,2,0.05,0.15,0.2,0.05,0.2,Matches
Jonny Castro\Jonny-Castro,es ESP,DF,Celta Vigo,22,1994,30,23,2221,24.7,0,3,0,0,0,8,0,0,0.12,0.12,0,0.12,Matches
Rubén Castro\Ruben-Castro,es ESP,FW,Betis,35,1981,35,32,2778,30.9,13,3,11,2,2,3,0,0.42,0.1,0.52,0.36,0.45,Matches
Goran ?auši?\Goran-Causic,rs SRB,MF,Osasuna,24,1992,26,22,2007,22.3,1,1,1,0,0,4,0,0.04,0.04,0.09,0.04,0.09,Matches
Dani Ceballos\Dani-Ceballos,es ESP,MF,Betis,19,1996,30,24,2341,26,2,2,2,0,0,8,0,0.08,0.08,0.15,0.08,0.15,Matches
Álvaro Cejudo\Alvaro-Cejudo,es ESP,MFFW,Betis,32,1984,17,6,822,9.1,1,1,1,0,0,9,0,0.11,0.11,0.22,0.11,0.22,Matches
Alessio Cerci\Alessio-Cerci,it ITA,FWMF,Atlético Madrid,29,1987,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Nereo Champagne\Nereo-Champagne,ar ARG,GK,Leganés,31,1985,4,4,360,4,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Charles\Charles,br BRA,FW,Málaga,32,1984,21,11,1145,12.7,3,1,3,0,0,5,0,0.24,0.08,0.31,0.24,0.31,Matches
Pape Cheikh Diop\Pape-Cheikh-Diop,sn SEN,MFFW,Celta Vigo,18,1997,16,5,580,6.4,1,0,1,0,0,3,0,0.16,0,0.16,0.16,0.16,Matches
Denis Cheryshev\Denis-Cheryshev,ru RUS,MF,Villarreal,25,1990,11,2,346,3.8,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Michaël Ciani\Michael-Ciani,fr FRA,DF,Espanyol,32,1984,1,0,55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jasper Cillessen\Jasper-Cillessen,nl NED,GK,Barcelona,27,1989,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Carlos Clerc\Carlos-Clerc,es ESP,DFMF,Osasuna,24,1992,25,22,1948,21.6,1,0,1,0,0,2,0,0.05,0,0.05,0.05,0.05,Matches
Fábio Coentrão\Fabio-Coentrao,pt POR,DF,Real Madrid,28,1988,3,2,169,1.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Emre Çolak\Emre-Colak,tr TUR,MF,La Coruña,25,1991,33,29,2462,27.4,3,6,3,0,1,5,0,0.11,0.22,0.33,0.11,0.33,Matches
David Concha\David-Concha,es ESP,MF,Real Sociedad,19,1996,8,1,123,1.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Duje ?op\Duje-Cop,hr CRO,FW,Sporting Gijón,26,1990,31,27,2269,25.2,9,3,6,3,4,6,0,0.36,0.12,0.48,0.24,0.36,Matches
Ángel Correa\Angel-Correa,ar ARG,MFFW,Atlético Madrid,21,1995,31,10,1241,13.8,4,7,4,0,0,6,0,0.29,0.51,0.8,0.29,0.8,Matches
Joaquín Correa\Joaquin-Correa,ar ARG,MFFW,Sevilla,21,1994,26,15,1318,14.6,4,0,4,0,0,6,0,0.27,0,0.27,0.27,0.27,Matches
Jaume Costa\Jaume-Costa,es ESP,DF,Villarreal,28,1988,31,30,2681,29.8,1,3,1,0,0,13,2,0.03,0.1,0.13,0.03,0.13,Matches
David Costas\David-Costas,es ESP,DF,Celta Vigo,21,1995,1,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Iván Cuéllar\Ivan-Cuellar,es ESP,GK,Sporting Gijón,32,1984,36,36,3240,36,0,0,0,0,0,5,0,0,0,0,0,0,Matches
Isaac Cuenca\Isaac-Cuenca,es ESP,MFDF,Granada,25,1991,25,18,1749,19.4,2,0,2,0,0,4,0,0.1,0,0.1,0.1,0.1,Matches
Danilo\Danilo,br BRA,DF,Real Madrid,25,1991,17,17,1484,16.5,1,2,1,0,0,2,0,0.06,0.12,0.18,0.06,0.18,Matches
Martín Demichelis\Martin-Demichelis,ar ARG,DF,Málaga,35,1980,10,7,680,7.6,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Martín Demichelis\Martin-Demichelis,ar ARG,DF,Espanyol,35,1980,2,1,100,1.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Deyverson\Deyverson,br BRA,FW,Alavés,25,1991,32,29,2577,28.6,7,1,7,0,0,14,0,0.24,0.03,0.28,0.24,0.28,Matches
Marcelo Díaz\Marcelo-Diaz,cl CHI,MF,Celta Vigo,29,1986,26,17,1649,18.3,1,2,1,0,0,5,0,0.05,0.11,0.16,0.05,0.16,Matches
Víctor Díaz\Victor-Diaz,es ESP,DF,Leganés,28,1988,23,20,1811,20.1,1,1,1,0,0,6,0,0.05,0.05,0.1,0.05,0.1,Matches
Didier Digard\Didier-Digard,fr FRA,MF,Osasuna,30,1986,3,3,189,2.1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Lucas Digne\Lucas-Digne,fr FRA,DF,Barcelona,23,1993,17,14,1170,13,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Papakouli Diop\Papakouli-Diop,sn SEN,MF,Espanyol,30,1986,18,9,913,10.1,0,0,0,0,0,6,0,0,0,0,0,0,Matches
Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,25,1990,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ryan Donk\Ryan-Donk,sr SUR,MFDF,Betis,30,1986,16,9,865,9.6,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Jonathan dos Santos\Jonathan-dos-Santos,mx MEX,MF,Villarreal,26,1990,34,22,2222,24.7,2,3,2,0,0,4,0,0.08,0.12,0.2,0.08,0.2,Matches
Mauro dos Santos\Mauro-dos-Santos,ar ARG,DF,Eibar,27,1989,11,8,765,8.5,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Douglas\Douglas,br BRA,DFMF,Sporting Gijón,25,1990,21,20,1717,19.1,3,0,3,0,0,6,0,0.16,0,0.16,0.16,0.16,Matches
Óscar Duarte\Oscar-Duarte,cr CRC,DF,Espanyol,27,1989,15,13,1125,12.5,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Rubén Duarte\Ruben-Duarte,es ESP,DF,Espanyol,20,1995,3,1,103,1.1,0,0,0,0,0,1,0,0,0,0,0,0,Matches
