Rk,Squad,GF,GA,GD,Pts,Attendance
1,Manchester City,95,23,72,98,54130
2,Liverpool,89,22,67,97,52983
3,Chelsea,63,39,24,72,40437
4,Tottenham,67,39,28,71,54216
5,Arsenal,73,51,22,70,59899
6,Manchester Utd,65,54,11,66,74498
7,Wolves,47,46,1,57,31030
8,Everton,54,46,8,54,39043
9,Leicester City,51,48,3,52,31851
10,West Ham,52,55,-3,52,58336
11,Watford,52,59,-7,50,20016
12,Crystal Palace,51,53,-2,49,25455
13,Newcastle Utd,42,48,-6,45,51121
14,Bournemouth,56,70,-14,45,10532
15,Burnley,45,68,-23,40,20534
16,Southampton,45,65,-20,39,30139
17,Brighton,35,60,-25,36,30426
18,Cardiff City,34,69,-35,34,31408
19,Fulham,34,81,-47,26,24371
20,Huddersfield,22,76,-54,16,23203
