Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Patrick Bamford\Patrick-Bamford,eng ENG,FWMF,Burnley,22,1993,6,0,39,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Patrick Bamford\Patrick-Bamford,eng ENG,FW,Middlesbrough,22,1993,8,2,287,3.2,1,0,1,0,0,1,0,0.31,0,0.31,0.31,0.31,Matches
Phil Bardsley\Phil-Bardsley,sco SCO,DF,Stoke City,31,1985,15,14,1168,13,0,0,0,0,0,5,2,0,0,0,0,0,Matches
Ross Barkley\Ross-Barkley,eng ENG,MFFW,Everton,22,1993,36,32,2899,32.2,5,8,5,0,0,5,0,0.16,0.25,0.4,0.16,0.4,Matches
Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,26,1989,28,20,1773,19.7,6,2,4,2,2,7,2,0.3,0.1,0.41,0.2,0.3,Matches
Antonio Barragán\Antonio-Barragan,es ESP,DF,Middlesbrough,29,1987,26,26,2193,24.4,0,0,0,0,0,5,0,0,0,0,0,0,Matches
Modou Barrow\Modou-Barrow,gm GAM,MFFW,Swansea City,23,1992,18,12,1145,12.7,0,2,0,0,0,1,0,0,0.16,0.16,0,0.16,Matches
Gareth Barry\Gareth-Barry,eng ENG,MF,Everton,35,1981,33,23,2108,23.4,2,1,2,0,0,10,0,0.09,0.04,0.13,0.09,0.13,Matches
Joey Barton\Joey-Barton,eng ENG,MF,Burnley,33,1982,14,12,1105,12.3,1,0,1,0,0,4,0,0.08,0,0.08,0.08,0.08,Matches
Borja Bastón\Borja-Baston,es ESP,FW,Swansea City,23,1992,18,4,561,6.2,1,0,1,0,0,0,0,0.16,0,0.16,0.16,0.16,Matches
Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,22,1993,20,1,254,2.8,5,1,5,0,0,0,0,1.77,0.35,2.13,1.77,2.13,Matches
Asmir Begovi?\Asmir-Begovic,ba BIH,GK,Chelsea,29,1987,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Valon Behrami\Valon-Behrami,ch SUI,MF,Watford,31,1985,27,26,2030,22.6,0,2,0,0,0,7,0,0,0.09,0.09,0,0.09,Matches
Héctor Bellerín\Hector-Bellerin,es ESP,DFMF,Arsenal,21,1995,33,27,2503,27.8,1,4,1,0,0,4,0,0.04,0.14,0.18,0.04,0.18,Matches
Yohan Benalouane\Yohan-Benalouane,tn TUN,DF,Leicester City,29,1987,11,11,917,10.2,0,0,0,0,0,4,0,0,0,0,0,0,Matches
Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,25,1990,36,36,3131,34.8,15,2,13,2,4,10,0,0.43,0.06,0.49,0.37,0.43,Matches
Jonathan Benteke\Jonathan-Benteke,be BEL,FW,Crystal Palace,21,1995,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Saido Berahino\Saido-Berahino,bi BDI,FW,Stoke City,22,1993,13,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Saido Berahino\Saido-Berahino,bi BDI,FW,West Brom,22,1993,4,3,243,2.7,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,25,1990,20,10,998,11.1,1,2,1,0,0,1,0,0.09,0.18,0.27,0.09,0.27,Matches
Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,26,1989,28,28,2507,27.9,2,3,2,0,0,3,0,0.07,0.11,0.18,0.07,0.18,Matches
Mame Biram Diouf\Mame-Biram-Diouf,sn SEN,MFFW,Stoke City,28,1987,27,15,1385,15.4,1,2,1,0,0,3,0,0.06,0.13,0.19,0.06,0.19,Matches
