Rk,Squad,GF,GA,GD,Pts,Attendance
1,Bayern Munich,89,22,67,82,75000
2,RB Leipzig,66,39,27,67,41455
3,Dortmund,72,40,32,64,79653
4,Hoffenheim,64,37,27,62,28155
5,Köln,51,42,9,49,49571
6,Hertha BSC,43,47,-4,49,50267
7,Freiburg,42,60,-18,48,23959
8,Werder Bremen,61,64,-3,45,40881
9,M'Gladbach,45,49,-4,45,51494
10,Schalke 04,45,40,5,43,60703
11,Eint Frankfurt,36,43,-7,42,49165
12,Leverkusen,53,55,-2,41,28428
13,Augsburg,35,51,-16,38,28172
14,Hamburger SV,33,61,-28,38,52341
15,Mainz 05,44,55,-11,37,29026
16,Wolfsburg,34,52,-18,37,27586
17,Ingolstadt 04,36,57,-21,32,14601
18,Darmstadt 98,28,63,-35,25,16753
