Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,28,1990,33,33,2970,33,51,1.55,159,114,71.7,12,12,9,5,15.2,7,6,1,0,14.3,Matches
Fabian Bredlow\Fabian-Bredlow,de GER,GK,Nürnberg,23,1995,14,12,1127,12.5,28,2.24,60,32,55,2,3,7,2,16.7,3,1,1,1,50,Matches
Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,27,1990,32,32,2880,32,40,1.25,125,88,71.2,21,7,4,10,31.3,4,4,0,0,0,Matches
Koen Casteels\Koen-Casteels,be BEL,GK,Wolfsburg,26,1992,26,26,2295,25.5,39,1.53,121,86,71.1,11,6,9,8,30.8,5,4,1,0,20,Matches
Jaroslav Drobný\Jaroslav-Drobny,cz CZE,GK,Düsseldorf,38,1979,2,2,180,2,3,1.5,9,6,66.7,1,0,1,0,0,0,0,0,0,,Matches
Michael Esser\Michael-Esser,de GER,GK,Hannover 96,30,1987,32,32,2880,32,67,2.09,209,149,70.3,5,6,21,5,15.6,6,5,1,0,16.7,Matches
Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Schalke 04,29,1988,17,16,1469,16.3,26,1.59,80,57,70,4,3,9,3,18.8,2,2,0,0,0,Matches
Mark Flekken\Mark-Flekken,nl NED,GK,Freiburg,25,1993,1,1,90,1,1,1,5,4,80,1,0,0,0,0,0,0,0,0,,Matches
Fabian Giefer\Fabian-Giefer,de GER,GK,Augsburg,28,1990,4,4,360,4,7,1.75,18,11,61.1,1,1,2,0,0,0,0,0,0,,Matches
Péter Gulácsi\Peter-Gulacsi,hu HUN,GK,RB Leipzig,28,1990,33,33,2925,32.5,28,0.86,108,86,77.8,19,9,5,16,48.5,5,4,0,1,0,Matches
Marwin Hitz\Marwin-Hitz,ch SUI,GK,Dortmund,30,1987,2,2,180,2,4,2,5,1,20,2,0,0,0,0,1,0,0,1,,Matches
Lukáš Hrádecký\Lukas-Hradecky,fi FIN,GK,Leverkusen,28,1989,32,32,2880,32,49,1.53,125,83,63.2,18,4,10,9,28.1,4,3,1,0,25,Matches
Rune Jarstein\Rune-Jarstein,no NOR,GK,Hertha BSC,33,1984,31,31,2745,30.5,48,1.57,141,96,67.4,9,10,12,8,25.8,4,2,1,1,33.3,Matches
Stefanos Kapino\Stefanos-Kapino,gr GRE,GK,Werder Bremen,24,1994,1,0,45,0.5,1,2,3,2,66.7,0,0,0,0,,0,0,0,0,,Matches
Gregor Kobel\Gregor-Kobel,ch SUI,GK,Augsburg,20,1997,16,16,1390,15.4,42,2.72,85,44,51.8,4,2,10,3,18.8,2,1,1,0,50,Matches
Gregor Kobel\Gregor-Kobel,ch SUI,GK,Hoffenheim,20,1997,1,1,90,1,1,1,6,6,100,1,0,0,0,0,1,1,0,0,0,Matches
Thomas Kraft\Thomas-Kraft,de GER,GK,Hertha BSC,30,1988,4,3,315,3.5,9,2.57,13,6,46.2,2,0,1,1,33.3,2,2,0,0,0,Matches
Andreas Luthe\Andreas-Luthe,de GER,GK,Augsburg,31,1987,15,14,1310,14.6,22,1.51,77,56,71.4,3,5,6,2,14.3,0,0,0,0,,Matches
Christian Mathenia\Christian-Mathenia,de GER,GK,Nürnberg,26,1992,22,22,1933,21.5,40,1.86,116,75,66.4,1,7,14,2,9.1,1,1,0,0,0,Matches
Florian Müller\Florian-Muller,de GER,GK,Mainz 05,20,1997,24,24,2160,24,43,1.79,118,78,66.1,8,3,13,5,20.8,4,3,0,1,0,Matches
Yvon Mvogo\Yvon-Mvogo,ch SUI,GK,RB Leipzig,24,1994,2,1,135,1.5,2,1.33,3,2,66.7,0,0,1,1,100,1,1,0,0,0,Matches
Manuel Neuer\Manuel-Neuer,de GER,GK,Bayern Munich,32,1986,26,26,2303,25.6,23,0.9,51,32,60.8,20,3,3,10,38.5,3,3,0,0,0,Matches
Alexander Nübel\Alexander-Nubel,de GER,GK,Schalke 04,21,1996,18,18,1588,17.6,29,1.64,77,49,66.2,4,6,8,4,22.2,4,3,1,0,25,Matches
Ramazan Özcan\Ramazan-Ozcan,at AUT,GK,Leverkusen,34,1984,2,2,180,2,5,2.5,12,8,66.7,0,0,2,0,0,2,1,1,0,50,Matches
Ji?í Pavlenka\Jiri-Pavlenka,cz CZE,GK,Werder Bremen,26,1992,34,34,2978,33.1,47,1.42,153,108,71.2,14,11,9,5,14.7,4,3,0,1,0,Matches
Pavao Pervan\Pavao-Pervan,at AUT,GK,Wolfsburg,30,1987,10,8,765,8.5,11,1.29,41,29,73.2,5,1,2,1,12.5,1,0,0,1,,Matches
Luca Plogmann\Luca-Plogmann,de GER,GK,Werder Bremen,18,2000,1,0,37,0.4,1,2.43,0,0,,0,0,0,0,,1,1,0,0,0,Matches
Michael Rensing\Michael-Rensing,de GER,GK,Düsseldorf,34,1984,32,32,2880,32,62,1.94,164,107,66.5,12,5,15,5,15.6,7,7,0,0,0,Matches
Frederik Rønnow\Frederik-Ronnow,dk DEN,GK,Eint Frankfurt,25,1992,2,1,122,1.4,0,0,8,8,100,1,0,0,1,100,0,0,0,0,,Matches
Samuel ?ahin-Radlinger\Samuel-Sahin-Radlinger,at AUT,GK,Hannover 96,25,1992,1,1,90,1,2,2,6,4,66.7,0,0,1,0,0,0,0,0,0,,Matches
Alexander Schwolow\Alexander-Schwolow,de GER,GK,Freiburg,26,1992,33,33,2970,33,60,1.82,162,108,67.3,7,12,14,5,15.2,7,7,0,0,0,Matches
Yann Sommer\Yann-Sommer,ch SUI,GK,M'Gladbach,29,1988,34,34,3060,34,43,1.26,154,115,74,16,7,11,13,38.2,3,3,0,0,0,Matches
Kevin Trapp\Kevin-Trapp,de GER,GK,Eint Frankfurt,28,1990,33,33,2938,32.6,48,1.47,159,113,70.4,14,9,10,8,24.2,1,1,0,0,0,Matches
Philipp Tschauner\Philipp-Tschauner,de GER,GK,Hannover 96,32,1985,1,1,90,1,3,3,5,3,60,0,0,1,0,0,1,1,0,0,0,Matches
Sven Ulreich\Sven-Ulreich,de GER,GK,Bayern Munich,29,1988,9,8,757,8.4,9,1.07,20,13,65,4,3,1,2,25,3,2,0,1,0,Matches
Robin Zentner\Robin-Zentner,de GER,GK,Mainz 05,23,1994,10,10,900,10,14,1.4,51,37,72.5,4,4,2,2,20,0,0,0,0,,Matches
Ron-Robert Zieler\Ron-Robert-Zieler,de GER,GK,Stuttgart,29,1989,34,34,3060,34,70,2.06,178,114,61.8,7,7,20,6,17.6,3,2,0,1,0,Matches
