Rk,Squad,GF,GA,GD,Pts,Attendance
1,Barcelona,90,36,54,87,76104
2,Atlético Madrid,55,29,26,76,56216
3,Real Madrid,63,46,17,68,61040
4,Valencia,51,35,16,61,39504
5,Getafe,48,35,13,59,11000
6,Sevilla,62,47,15,59,35993
7,Espanyol,48,50,-2,53,19388
8,Athletic Club,41,45,-4,53,40664
9,Real Sociedad,45,46,-1,50,22310
10,Betis,44,52,-8,50,44525
11,Alavés,39,50,-11,50,17295
12,Eibar,46,50,-4,47,4896
13,Leganés,37,43,-6,45,10416
14,Villarreal,49,52,-3,44,16732
15,Levante,59,66,-7,44,20216
16,Valladolid,32,51,-19,41,18992
17,Celta Vigo,53,62,-9,41,17603
18,Girona,37,53,-16,37,10948
19,Huesca,43,65,-22,33,6605
20,Rayo Vallecano,41,70,-29,32,11928
