Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Salomón Rondón\Salomon-Rondon,ve VEN,FW,West Brom,26,1989,32.1,2,0,0,41,59,29,9,8,14,0,0,0,Matches
Marten de Roon\Marten-de-Roon,nl NED,MF,Middlesbrough,25,1991,30.8,8,0,0,65,23,3,24,46,50,0,2,0,Matches
Wayne Rooney\Wayne-Rooney,eng ENG,MFFW,Manchester Utd,30,1985,17.1,8,0,0,23,11,8,98,18,11,0,0,0,Matches
Danny Rose\Danny-Rose,eng ENG,DFMF,Tottenham,26,1990,17,8,0,0,29,48,1,65,22,34,0,0,0,Matches
Wayne Routledge\Wayne-Routledge,eng ENG,FWMF,Swansea City,31,1985,21.4,1,0,0,28,14,9,82,16,20,0,0,0,Matches
Bacary Sagna\Bacary-Sagna,fr FRA,DF,Manchester City,33,1983,15,2,0,0,3,8,1,26,23,16,0,0,0,Matches
Diafra Sakho\Diafra-Sakho,sn SEN,FW,West Ham,26,1989,2,0,0,0,3,3,6,2,0,1,0,0,0,Matches
Mamadou Sakho\Mamadou-Sakho,fr FRA,DF,Crystal Palace,26,1990,7.6,0,0,0,1,4,0,1,14,1,0,0,0,Matches
Bakary Sako\Bakary-Sako,ml MLI,MF,Crystal Palace,28,1988,1.6,0,0,0,2,5,1,16,0,6,0,0,0,Matches
Alexis Sánchez\Alexis-Sanchez,cl CHI,FWMF,Arsenal,27,1988,35.7,6,0,0,48,71,27,65,27,40,1,0,0,Matches
Leroy Sané\Leroy-Sane,de GER,MFFW,Manchester City,20,1996,19.8,4,0,0,14,17,12,53,17,22,2,0,0,Matches
Jeffrey Schlupp\Jeffrey-Schlupp,gh GHA,MF,Leicester City,23,1992,1.6,0,0,0,0,2,0,4,0,5,0,0,0,Matches
Jeffrey Schlupp\Jeffrey-Schlupp,gh GHA,DF,Crystal Palace,23,1992,11.1,0,0,0,4,9,0,12,26,21,1,0,0,Matches
Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,29,1986,29.6,1,0,0,0,4,0,1,1,2,0,0,0,Matches
Morgan Schneiderlin\Morgan-Schneiderlin,fr FRA,MF,Manchester Utd,26,1989,0.2,0,0,0,0,1,0,0,1,0,0,0,0,Matches
Morgan Schneiderlin\Morgan-Schneiderlin,fr FRA,MF,Everton,26,1989,11.8,2,0,0,21,7,0,1,33,20,0,0,0,Matches
Xherdan Shaqiri\Xherdan-Shaqiri,ch SUI,MF,Stoke City,24,1991,18.9,2,0,0,16,28,5,129,10,6,1,0,0,Matches
Luke Shaw\Luke-Shaw,eng ENG,DF,Manchester Utd,21,1995,7.6,1,0,0,7,6,0,20,14,7,1,0,0,Matches
Ryan Shawcross\Ryan-Shawcross,eng ENG,DF,Stoke City,28,1987,35,6,0,0,34,23,2,2,56,36,1,1,2,Matches
Gylfi Sigurðsson\Gylfi-Sigurdsson,is ISL,FWMF,Swansea City,26,1989,37,2,0,0,19,33,1,308,37,33,2,0,0,Matches
David Silva\David-Silva,es ESP,MF,Manchester City,30,1986,30.7,6,0,0,29,54,7,126,20,32,1,0,0,Matches
Danny Simpson\Danny-Simpson,eng ENG,DF,Leicester City,29,1987,33.2,12,0,0,35,12,2,26,69,41,0,1,0,Matches
Josh Sims\Josh-Sims,eng ENG,FW,Southampton,19,1997,2.3,0,0,0,2,3,0,8,1,3,0,0,0,Matches
Jerome Sinclair\Jerome-Sinclair,eng ENG,FW,Watford,19,1996,1.3,0,0,0,4,3,0,0,0,0,0,0,0,Matches
Moussa Sissoko\Moussa-Sissoko,fr FRA,MFFW,Tottenham,26,1989,10.1,3,0,0,21,10,2,34,7,12,0,0,0,Matches
Islam Slimani\Islam-Slimani,dz ALG,FW,Leicester City,28,1988,14.2,1,0,0,27,15,11,3,3,10,0,0,0,Matches
Chris Smalling\Chris-Smalling,eng ENG,DF,Manchester Utd,26,1989,13.5,0,0,0,8,8,1,0,13,10,0,0,0,Matches
Adam Smith\Adam-Smith,eng ENG,DFMF,Bournemouth,25,1991,34.2,6,0,0,44,70,3,57,55,60,0,1,1,Matches
Brad Smith\Brad-Smith,au AUS,DFMF,Bournemouth,22,1994,3.2,1,0,0,2,3,0,5,3,3,0,0,0,Matches
Robert Snodgrass\Robert-Snodgrass,sco SCO,FWMF,Hull City,28,1987,19,2,0,0,33,38,5,137,11,22,1,2,0,Matches
Robert Snodgrass\Robert-Snodgrass,sco SCO,MFFW,West Ham,28,1987,9.3,0,0,0,14,10,3,74,4,10,0,0,0,Matches
Cédric Soares\Cedric-Soares,pt POR,DF,Southampton,24,1991,27.9,7,0,0,22,19,2,144,37,61,0,0,0,Matches
Ramadan Sobhi\Ramadan-Sobhi,eg EGY,MF,Stoke City,19,1997,9.5,2,0,0,10,9,3,7,5,20,0,0,0,Matches
Pape Souaré\Pape-Souare,sn SEN,DF,Crystal Palace,26,1990,3,0,0,0,1,4,0,15,10,4,0,0,0,Matches
Junior Stanislas\Junior-Stanislas,eng ENG,MF,Bournemouth,26,1989,16.3,1,0,0,8,9,5,70,9,11,0,0,0,Matches
Maarten Stekelenburg\Maarten-Stekelenburg,nl NED,GK,Everton,33,1982,18.7,2,0,0,0,4,0,0,0,0,0,0,1,Matches
Jack Stephens\Jack-Stephens,eng ENG,DF,Southampton,22,1994,16.3,1,0,0,15,5,1,5,27,18,0,1,0,Matches
Raheem Sterling\Raheem-Sterling,eng ENG,MFFW,Manchester City,21,1994,27.9,7,0,0,35,55,15,85,20,20,3,1,0,Matches
Kevin Stewart\Kevin-Stewart,eng ENG,DFMF,Liverpool,22,1993,0.2,0,0,0,1,0,0,0,0,0,0,0,0,Matches
John Stones\John-Stones,eng ENG,DF,Manchester City,22,1994,22.4,1,0,0,9,9,0,0,42,22,0,0,0,Matches
Cristhian Stuani\Cristhian-Stuani,uy URU,FWMF,Middlesbrough,29,1986,15,4,0,0,21,30,4,26,10,26,0,0,0,Matches
Daniel Sturridge\Daniel-Sturridge,eng ENG,FW,Liverpool,26,1989,8.6,1,0,0,5,9,7,8,3,1,1,0,0,Matches
Isaac Success\Isaac-Success,ng NGA,MF,Watford,20,1996,5.8,2,0,0,12,24,1,13,6,12,0,0,0,Matches
Ki Sung-yueng\Ki-Sung-yueng,kr KOR,MF,Swansea City,27,1989,14.3,3,0,0,18,22,1,10,21,18,1,1,0,Matches
Andrew Surman\Andrew-Surman,eng ENG,MF,Bournemouth,29,1986,20,2,2,1,16,18,0,6,39,11,0,0,0,Matches
Dušan Tadi?\Dusan-Tadic,rs SRB,FWMF,Southampton,27,1988,26.8,4,0,0,30,41,9,186,19,16,0,1,0,Matches
Matt Targett\Matt-Targett,eng ENG,DF,Southampton,20,1995,4.1,0,0,0,2,3,0,25,8,8,0,0,0,Matches
James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,23,1992,6.3,1,0,0,10,9,2,3,10,13,0,0,0,Matches
Neil Taylor\Neil-Taylor,wal WAL,DF,Swansea City,27,1989,10.2,1,0,0,13,4,0,28,26,18,0,0,0,Matches
John Terry\John-Terry,eng ENG,DF,Chelsea,35,1980,5.5,1,0,0,5,3,0,3,5,2,0,0,0,Matches
James Tomkins\James-Tomkins,eng ENG,DF,Crystal Palace,27,1989,21.9,4,0,0,11,11,0,4,38,19,0,0,0,Matches
Gökhan Töre\Gokhan-Tore,tr TUR,MFFW,West Ham,24,1992,2.7,0,0,0,4,2,1,13,0,3,0,0,0,Matches
Yaya Touré\Yaya-Toure,ci CIV,MF,Manchester City,33,1983,21.6,4,0,0,27,10,0,5,19,31,0,0,0,Matches
Andros Townsend\Andros-Townsend,eng ENG,MF,Crystal Palace,25,1991,28,4,0,0,19,35,3,236,44,64,1,0,0,Matches
Adama Traoré\Adama-Traore,es ESP,MFFW,Middlesbrough,20,1996,17.1,1,0,0,20,42,1,79,7,26,0,0,0,Matches
Kieran Trippier\Kieran-Trippier,eng ENG,DFMF,Tottenham,25,1990,6.3,1,0,0,8,6,1,29,7,14,0,0,0,Matches
Axel Tuanzebe\Axel-Tuanzebe,eng ENG,MFDF,Manchester Utd,18,1997,3.4,0,0,0,6,4,0,0,7,4,0,0,0,Matches
Josh Tymon\Josh-Tymon,eng ENG,MFDF,Hull City,17,1999,3.6,1,0,0,4,2,0,7,6,6,0,0,0,Matches
Leonardo Ulloa\Leonardo-Ulloa,ar ARG,FW,Leicester City,30,1986,5,0,0,0,20,5,4,1,2,8,0,0,0,Matches
Víctor Valdés\Victor-Valdes,es ESP,GK,Middlesbrough,34,1982,28,1,0,0,0,4,0,0,3,1,0,0,0,Matches
Antonio Valencia\Antonio-Valencia,ec ECU,DF,Manchester Utd,30,1985,27.6,5,0,0,33,17,7,142,43,44,0,0,0,Matches
Enner Valencia\Enner-Valencia,ec ECU,FWMF,Everton,26,1989,8,1,0,0,17,14,4,21,8,13,1,0,0,Matches
Enner Valencia\Enner-Valencia,ec ECU,FW,West Ham,26,1989,2.3,0,0,0,9,3,3,2,4,1,0,0,0,Matches
Jamie Vardy\Jamie-Vardy,eng ENG,FW,Leicester City,29,1987,31.1,2,1,0,26,27,25,49,10,14,1,0,0,Matches
Jan Vertonghen\Jan-Vertonghen,be BEL,DF,Tottenham,29,1987,32.2,5,0,0,21,21,0,9,44,37,0,0,0,Matches
Sam Vokes\Sam-Vokes,wal WAL,FW,Burnley,26,1989,22.9,0,0,0,24,29,23,7,5,8,1,0,0,Matches
Michel Vorm\Michel-Vorm,nl NED,GK,Tottenham,32,1983,4.6,0,0,0,0,1,0,0,0,1,0,0,0,Matches
Mat?j Vydra\Matej-Vydra,cz CZE,FWMF,Watford,24,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Theo Walcott\Theo-Walcott,eng ENG,MF,Arsenal,27,1989,21.3,1,0,0,15,29,17,50,13,27,1,0,0,Matches
Kyle Walker\Kyle-Walker,eng ENG,DFMF,Tottenham,26,1990,30,8,0,0,36,33,3,96,38,53,0,0,0,Matches
Jonathan Walters\Jonathan-Walters,ie IRL,FWMF,Stoke City,32,1983,14.5,1,0,0,13,23,12,37,7,7,1,0,0,Matches
Victor Wanyama\Victor-Wanyama,ke KEN,MF,Tottenham,25,1991,33.5,10,0,0,64,37,0,15,39,64,0,0,0,Matches
Joel Ward\Joel-Ward,eng ENG,DF,Crystal Palace,26,1989,38,7,0,0,36,53,0,79,64,67,0,0,0,Matches
Stephen Ward\Stephen-Ward,ie IRL,DF,Burnley,30,1985,35.9,5,0,0,34,56,0,115,75,49,0,0,0,Matches
James Ward-Prowse\James-Ward-Prowse,eng ENG,MF,Southampton,21,1994,20.9,4,0,0,27,18,1,144,19,21,0,0,0,Matches
Marcin Wasilewski\Marcin-Wasilewski,pl POL,DF,Leicester City,36,1980,1,0,0,0,0,0,0,0,2,1,0,0,0,Matches
Duncan Watmore\Duncan-Watmore,eng ENG,MFFW,Sunderland,22,1994,11.4,1,0,0,10,22,4,22,9,11,1,0,0,Matches
Ben Watson\Ben-Watson,eng ENG,MF,Watford,31,1985,0.6,0,1,0,2,0,0,0,4,1,0,0,0,Matches
Danny Welbeck\Danny-Welbeck,eng ENG,FWMF,Arsenal,25,1990,8.3,0,0,0,7,9,2,2,6,5,0,0,0,Matches
Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,26,1990,6.1,3,0,0,8,1,0,2,5,6,0,0,0,Matches
Glenn Whelan\Glenn-Whelan,ie IRL,MF,Stoke City,32,1984,25.3,5,0,0,18,21,0,24,41,31,0,0,1,Matches
Connor Wickham\Connor-Wickham,eng ENG,FWMF,Crystal Palace,23,1993,4.6,1,0,0,12,5,1,6,2,2,0,0,0,Matches
Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,25,1990,33,2,0,0,21,31,3,14,25,36,0,0,0,Matches
Ashley Williams\Ashley-Williams,wal WAL,DF,Everton,31,1984,35.1,7,1,0,37,14,3,2,57,43,1,1,0,Matches
Willian\Willian,br BRA,FWMF,Chelsea,27,1988,17,3,0,0,12,23,2,106,7,12,0,0,0,Matches
Jack Wilshere\Jack-Wilshere,eng ENG,MF,Arsenal,24,1992,0.4,1,0,0,2,3,0,1,1,2,0,0,0,Matches
Jack Wilshere\Jack-Wilshere,eng ENG,MF,Bournemouth,24,1992,21.2,3,0,0,19,49,0,27,14,18,0,0,0,Matches
Callum Wilson\Callum-Wilson,eng ENG,FW,Bournemouth,24,1992,15.8,0,0,0,29,26,18,10,5,6,2,0,0,Matches
Marc Wilson\Marc-Wilson,ie IRL,DF,West Brom,28,1987,2.8,3,0,0,5,2,0,6,5,3,0,0,0,Matches
