Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Gabriel Barbosa\Gabriel-Barbosa,br BRA,FWMF,Inter,19,1996,1.3,3,0,0,2,3,1,8,1,1,0,0,0,Matches
Nicolò Barella\Nicolo-Barella,it ITA,MF,Cagliari,19,1997,21.2,10,2,1,44,49,0,44,28,46,0,1,0,Matches
Antonio Barreca\Antonio-Barreca,it ITA,DF,Torino,21,1995,26.2,2,0,0,28,29,5,93,44,35,1,1,0,Matches
Édgar Barreto\Edgar-Barreto,py PAR,MF,Sampdoria,32,1984,29.8,4,1,0,55,40,2,28,41,76,0,0,0,Matches
Andrea Barzagli\Andrea-Barzagli,it ITA,DF,Juventus,35,1981,17,2,0,0,9,12,0,3,32,15,0,0,0,Matches
Daniele Baselli\Daniele-Baselli,it ITA,MF,Torino,24,1992,25.4,6,0,0,49,31,0,16,44,58,0,0,0,Matches
Dušan Basta\Dusan-Basta,rs SRB,DFMF,Lazio,31,1984,23.6,2,0,0,19,20,3,52,31,27,0,0,0,Matches
Samuel Bastien\Samuel-Bastien,be BEL,MFFW,Chievo,19,1996,8.9,0,0,0,12,12,0,8,11,9,0,0,0,Matches
Alessandro Bastoni\Alessandro-Bastoni,it ITA,DF,Atalanta,17,1999,1.7,0,0,0,4,5,0,1,6,3,0,0,0,Matches
Bastos\Bastos,ao ANG,DFMF,Lazio,25,1991,8.6,5,2,1,13,10,1,1,10,20,0,1,0,Matches
Andrea Beghetto\Andrea-Beghetto,it ITA,MF,Genoa,21,1994,1.7,0,0,0,1,4,0,7,2,2,0,0,0,Matches
Giuseppe Bellusci\Giuseppe-Bellusci,it ITA,DF,Empoli,26,1989,33,15,0,0,37,33,0,8,68,33,0,2,0,Matches
Andrea Belotti\Andrea-Belotti,it ITA,FW,Torino,22,1993,34.1,5,0,0,77,125,37,24,13,30,5,0,0,Matches
Ahmad Benali\Ahmad-Benali,ly LBY,FWMF,Pescara,24,1992,27.7,5,2,1,24,43,8,78,34,29,0,0,0,Matches
Marco Benassi\Marco-Benassi,it ITA,MF,Torino,21,1994,22.7,5,0,0,32,18,2,30,30,31,0,0,0,Matches
Medhi Benatia\Medhi-Benatia,ma MAR,DF,Juventus,29,1987,13.1,3,0,0,23,11,2,1,37,23,0,0,0,Matches
Accursio Bentivegna\Accursio-Bentivegna,it ITA,MFFW,Palermo,20,1996,1,0,0,0,0,6,0,1,0,2,0,0,0,Matches
Domenico Berardi\Domenico-Berardi,it ITA,FW,Sassuolo,21,1994,19.2,6,0,0,47,56,13,90,27,27,2,0,0,Matches
Bartosz Bereszy?ski\Bartosz-Bereszynski,pl POL,DF,Sampdoria,24,1992,11.7,1,0,0,11,15,0,28,17,22,0,1,0,Matches
Etrit Berisha\Etrit-Berisha,al ALB,GK,Atalanta,27,1989,26,2,0,0,0,6,0,1,2,2,0,2,0,Matches
Federico Bernardeschi\Federico-Bernardeschi,it ITA,MFFW,Fiorentina,22,1994,25.5,5,1,0,34,62,4,110,23,11,1,1,0,Matches
Andrea Bertolacci\Andrea-Bertolacci,it ITA,MF,Milan,25,1991,9.1,3,0,0,18,20,0,10,5,10,1,0,0,Matches
Jonathan Biabiany\Jonathan-Biabiany,fr FRA,FWMF,Inter,28,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Roberto Biancu\Roberto-Biancu,it ITA,MF,Cagliari,16,2000,0.1,0,0,0,0,0,0,0,0,1,0,0,0,Matches
Lucas Biglia\Lucas-Biglia,ar ARG,MF,Lazio,30,1986,25.2,8,0,0,45,29,0,105,56,69,0,1,0,Matches
Davide Biondini\Davide-Biondini,it ITA,MF,Sassuolo,33,1983,9.5,6,0,0,15,10,1,17,14,19,0,0,0,Matches
Cristiano Biraghi\Cristiano-Biraghi,it ITA,DF,Pescara,23,1992,33.2,11,0,0,43,30,2,130,47,65,0,0,0,Matches
Davide Biraschi\Davide-Biraschi,it ITA,DFMF,Genoa,22,1994,4.4,2,0,0,10,8,0,8,7,4,0,0,0,Matches
Valter Birsa\Valter-Birsa,si SVN,MFFW,Chievo,29,1986,30.7,5,0,0,37,33,3,225,27,31,0,0,0,Matches
Luca Bittante\Luca-Bittante,it ITA,DF,Cagliari,22,1993,3.5,3,0,0,8,3,0,4,10,5,0,0,0,Matches
Albano Bizzarri\Albano-Bizzarri,ar ARG,GK,Pescara,38,1977,29,2,0,0,0,7,0,0,2,0,0,0,0,Matches
Giacomo Bonaventura\Giacomo-Bonaventura,it ITA,MFFW,Milan,26,1989,17.4,3,0,0,16,45,2,73,22,15,1,0,0,Matches
Leonardo Bonucci\Leonardo-Bonucci,it ITA,DF,Juventus,29,1987,26.8,5,0,0,26,17,4,5,61,22,0,0,0,Matches
Marco Borriello\Marco-Borriello,it ITA,FW,Cagliari,34,1982,28.8,4,0,0,38,46,24,25,11,12,1,1,1,Matches
Ouasim Bouy\Ouasim-Bouy,nl NED,DFMF,Palermo,23,1993,0.4,1,0,0,3,1,0,3,1,1,0,0,0,Matches
Cesare Bovo\Cesare-Bovo,it ITA,DF,Pescara,33,1983,9.1,4,0,0,10,8,1,1,16,16,0,0,0,Matches
Cesare Bovo\Cesare-Bovo,it ITA,DF,Torino,33,1983,4,2,0,0,5,3,0,7,7,5,0,0,0,Matches
Lucas Boyé\Lucas-Boye,ar ARG,FWMF,Torino,20,1996,16.2,5,0,0,55,25,2,21,23,19,1,0,0,Matches
Marcelo Brozovi?\Marcelo-Brozovic,hr CRO,MF,Inter,23,1992,19.3,7,0,0,22,24,1,79,26,33,0,1,0,Matches
Gastón Brugman\Gaston-Brugman,uy URU,MF,Pescara,23,1992,21.5,7,0,0,40,23,0,10,39,63,0,0,0,Matches
Alessandro Bruno\Alessandro-Bruno,it ITA,MFDF,Pescara,33,1983,10.8,6,0,0,20,5,0,2,18,25,0,0,0,Matches
Marcel Büchel\Marcel-Buchel,li LIE,MFFW,Empoli,25,1991,9.1,5,0,0,16,7,0,7,16,10,0,0,0,Matches
Ante Budimir\Ante-Budimir,hr CRO,FW,Sampdoria,25,1991,3.5,0,0,0,17,7,3,2,0,4,0,0,0,Matches
Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,Juventus,38,1978,29.5,0,0,0,0,1,0,0,1,1,0,0,0,Matches
Nicolás Burdisso\Nicolas-Burdisso,ar ARG,DF,Genoa,35,1981,34.7,10,0,0,43,13,0,2,68,29,0,3,0,Matches
Bryan Cabezas\Bryan-Cabezas,ec ECU,MF,Atalanta,19,1997,0.3,0,0,0,0,0,1,0,0,2,0,0,0,Matches
Rafael Cabral\Rafael-Cabral,br BRA,GK,Napoli,26,1990,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Fabrizio Cacciatore\Fabrizio-Cacciatore,it ITA,DF,Chievo,29,1986,27.9,7,1,0,32,28,0,97,44,33,0,1,0,Matches
Davide Calabria\Davide-Calabria,it ITA,DF,Milan,19,1996,11,3,0,0,13,11,0,37,21,27,0,0,0,Matches
