Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Sunderland,24,1990,33,33,2970,33,4,3,4,0,0,2,0,0.12,0.09,0.21,0.12,0.21,Matches
Rolando Aarons\Rolando-Aarons,eng ENG,DFMF,Newcastle Utd,19,1995,10,3,381,4.2,1,1,1,0,0,1,0,0.24,0.24,0.47,0.24,0.47,Matches
Almen Abdi\Almen-Abdi,ch SUI,MF,Watford,28,1986,32,25,1974,21.9,2,0,2,0,0,4,0,0.09,0,0.09,0.09,0.09,Matches
Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,17,1997,2,0,55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Charlie Adam\Charlie-Adam,sco SCO,MF,Stoke City,29,1985,22,12,1044,11.6,1,1,1,0,0,6,1,0.09,0.09,0.17,0.09,0.17,Matches
Emmanuel Adebayor\Emmanuel-Adebayor,tg TOG,FW,Crystal Palace,31,1984,12,7,619,6.9,1,1,1,0,0,1,0,0.15,0.15,0.29,0.15,0.29,Matches
Adrián\Adrian,es ESP,GK,West Ham,28,1987,32,32,2880,32,0,0,0,0,0,1,1,0,0,0,0,0,Matches
Ibrahim Afellay\Ibrahim-Afellay,nl NED,MF,Stoke City,29,1986,31,24,2102,23.4,2,2,2,0,0,3,1,0.09,0.09,0.17,0.09,0.17,Matches
Benik Afobe\Benik-Afobe,cd COD,FW,Bournemouth,22,1993,15,12,930,10.3,4,0,4,0,0,0,0,0.39,0,0.39,0.39,0.39,Matches
Gabby Agbonlahor\Gabby-Agbonlahor,eng ENG,FW,Aston Villa,28,1986,15,13,1031,11.5,1,2,1,0,0,0,0,0.09,0.17,0.26,0.09,0.26,Matches
Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,27,1988,30,29,2360,26.2,24,2,20,4,5,1,0,0.92,0.08,0.99,0.76,0.84,Matches
Nathan Aké\Nathan-Ake,nl NED,DF,Watford,20,1995,24,20,1875,20.8,1,0,1,0,0,4,1,0.05,0,0.05,0.05,0.05,Matches
Marc Albrighton\Marc-Albrighton,eng ENG,MF,Leicester City,25,1989,38,34,2749,30.5,2,6,2,0,0,4,0,0.07,0.2,0.26,0.07,0.26,Matches
Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,26,1989,38,38,3419,38,4,2,4,0,0,3,0,0.11,0.05,0.16,0.11,0.16,Matches
Joe Allen\Joe-Allen,wal WAL,MF,Liverpool,25,1990,19,8,735,8.2,2,1,2,0,0,0,0,0.24,0.12,0.37,0.24,0.37,Matches
Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,19,1996,33,28,2470,27.4,10,9,10,0,0,7,0,0.36,0.33,0.69,0.36,0.69,Matches
Ryan Allsop\Ryan-Allsop,eng ENG,GK,Bournemouth,23,1992,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,20,1994,5,1,104,1.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jordi Amat\Jordi-Amat,es ESP,DF,Swansea City,23,1992,8,5,463,5.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jordan Amavi\Jordan-Amavi,fr FRA,DF,Aston Villa,21,1994,10,9,837,9.3,0,2,0,0,0,2,0,0,0.22,0.22,0,0.22,Matches
Nordin Amrabat\Nordin-Amrabat,ma MAR,MFFW,Watford,28,1987,12,4,506,5.6,0,0,0,0,0,3,1,0,0,0,0,0,Matches
José Ángel Crespo\Jose-Angel-Crespo,es ESP,FW,Aston Villa,28,1987,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Victor Anichebe\Victor-Anichebe,ng NGA,FW,West Brom,27,1988,10,3,369,4.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Vurnon Anita\Vurnon-Anita,cw CUW,MFDF,Newcastle Utd,26,1989,28,24,2101,23.3,1,3,1,0,0,6,0,0.04,0.13,0.17,0.04,0.17,Matches
Michail Antonio\Michail-Antonio,eng ENG,MFFW,West Ham,25,1990,26,23,2057,22.9,8,3,8,0,0,3,0,0.35,0.13,0.48,0.35,0.48,Matches
Ikechi Anya\Ikechi-Anya,sco SCO,MFDF,Watford,27,1988,28,17,1686,18.7,0,1,0,0,0,0,0,0,0.05,0.05,0,0.05,Matches
Giedrius Arlauskis\Giedrius-Arlauskis,lt LTU,GK,Watford,27,1987,1,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Marko Arnautovi?\Marko-Arnautovic,at AUT,MFFW,Stoke City,26,1989,34,33,2807,31.2,11,6,8,3,3,2,0,0.35,0.19,0.55,0.26,0.45,Matches
Harry Arter\Harry-Arter,ie IRL,MF,Bournemouth,25,1989,21,21,1661,18.5,1,0,1,0,0,7,0,0.05,0,0.05,0.05,0.05,Matches
